Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A student needs to specify the direction of a force in the xy-plane without changing its magnitude. Which mathematical tool should be used?,Scalar vector,Unit vector,Position vector,Null vector,B,A unit vector is used only to specify direction; its magnitude is exactly one. Option C is wrong because unit vectors are dimensionless.,Unit Vectors,Easy,Physics,Vectors and Equilibrium
Two forces of equal magnitude act on a stationary block in exactly opposite directions. What is the resultant of these two vectors?,Unit vector,Position vector,Negative vector,Null vector,D,"The null vector has zero magnitude and arbitrary direction. Option A is tempting but wrong because it implies a specific, non-zero direction.",Null Vector,Easy,Physics,Vectors and Equilibrium
A porter carries a heavy suitcase while walking horizontally. What is the work done by the force of gravity on the suitcase?,Maximum positive,Maximum negative,Zero,Infinite,C,The dot product is zero when vectors are perpendicular (cos 90 = 0). Option A is wrong because work is a scalar product.,Scalar Product,Medium,Physics,Vectors and Equilibrium
"When applying a force to a wrench, the resulting torque is a vector quantity. What is the orientation of this torque vector?",Perpendicular to the plane,Parallel to the displacement,Parallel to the force,At 45 degrees to the plane,A,The cross product results in a vector perpendicular to the plane of the operands. Option B is wrong as it's only for dot products.,Vector Product,Medium,Physics,Vectors and Equilibrium
A mechanic applies a 100 N force at an angle of 30 degrees to a wrench of length 20 cm. What is the torque?,20 Nm,10 Nm,17.3 Nm,5 Nm,B,"Torque is rF sin(theta); sin(30) is 0.5, so 0.2m * 100N * 0.5 = 10 Nm. Option C fails by using cosine.",Torque,Hard,Physics,Vectors and Equilibrium
A car moves along a straight highway at a constant velocity of 80 km/h. Which condition of equilibrium is strictly satisfied?,Sum of torques is zero,Velocity is increasing,Sum of forces is zero,Acceleration is non-zero,C,The first condition requires the vector sum of all external forces to be zero. Option A is only for rotational equilibrium.,First Condition of Equilibrium,Easy,Physics,Vectors and Equilibrium
A uniform beam is balanced on a pivot such that it does not rotate. Which condition is being satisfied in this scenario?,Second condition of equilibrium,First condition of equilibrium,Law of inertia,Newton's third law,A,The second condition ensures no net rotation by requiring the sum of torques to be zero. Option B describes translational equilibrium.,Second Condition of Equilibrium,Easy,Physics,Vectors and Equilibrium
A vector of magnitude 10 units makes an angle of 60 degrees with the positive x-axis. What is the horizontal component?,8.66 units,10 units,7.07 units,5 units,D,"The x-component is calculated as A cos(theta). For 10 units at 60 degrees, 10 * 0.5 = 5. Option A incorrectly uses sine.",Rectangular Components,Medium,Physics,Vectors and Equilibrium
"An air traffic controller tracks a plane at coordinates (3, 4, 5) relative to the tower. What vector describes this location?",Unit vector,Position vector,Displacement vector,Null vector,B,"Position vectors start from the origin (0,0,0) to the point (x,y,z). Option C represents a displacement vector between two points.",Position Vector,Medium,Physics,Vectors and Equilibrium
Two forces of 6 N and 8 N act on a single point. Which of the following could possibly be their resultant magnitude?,16 N,1 N,10 N,15 N,C,"The resultant range is |A-B| to |A+B|. Here, 8-6=2 and 8+6=14. Option B is wrong as it's below the minimum.",Resultant Magnitude,Hard,Physics,Vectors and Equilibrium
