Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemical engineer calculates the energy required to separate one mole of solid NaCl into its constituent gaseous ions. This value is known as:,Hydration energy,Lattice energy,Ionization energy,Sublimation energy,B,Lattice energy measures the energy required to separate ions; hydration energy is the most tempting error as it involves ion-water interactions.,Lattice energy,Easy,Chemistry,Solids
"A mineralogist identifies a sample of Zircon (ZrSiO4) in a lab. According to PTB classification, which crystal system does this mineral belong to?",Cubic,Orthorhombic,Tetragonal,Monoclinic,C,Zircon belongs to the tetragonal system where two axes are equal; cubic is tempting because it is the most symmetrical system.,Crystal systems,Easy,Chemistry,Solids
"A jeweler applies sharp pressure to a crystal, causing it to split along definite planes. This characteristic property of crystalline solids is termed:",Cleavage,Fracture,Anisotropy,Isomorphism,A,"Cleavage is the tendency to break along specific planes; fracture is the tempting wrong choice referring to irregular, non-planar breakage.",Properties of crystalline solids,Easy,Chemistry,Solids
"In an industrial sulfur storage unit, the temperature is raised to observe the phase change from rhombic to monoclinic. What is this transition temperature?",12.5 Celsius,119 Celsius,32.0 Celsius,95.5 Celsius,D,Sulfur transitions from rhombic to monoclinic at 95.5 Celsius; 119 Celsius is tempting because it is the actual melting point.,Transition temperature,Easy,Chemistry,Solids
"Frozen carbon dioxide, commonly known as dry ice, is used for cooling food during transport. How is dry ice classified based on its bonding?",Molecular solid,Covalent solid,Ionic solid,Metallic solid,A,Dry ice is a molecular solid held by London dispersion forces; covalent solid is tempting due to the intramolecular C-O bonds.,Molecular solids,Easy,Chemistry,Solids
An electrical engineer uses graphite as a lubricant and conductor. In which direction does graphite exhibit high electrical conductivity?,Perpendicular to the layers,Parallel to the layers,Through the nuclei,Across the covalent bonds,B,Graphite conducts electricity parallel to its layers via free electrons; perpendicular is tempting but incorrect as it lacks mobile electrons vertically.,Covalent solids,Easy,Chemistry,Solids
A student dissolves NaCl in water rather than benzene. Which property of water allows it to overcome the lattice energy of ionic solids?,High boiling point,Low density,High dielectric constant,Linear geometry,C,Water's high dielectric constant weakens the electrostatic forces in ionic crystals; high boiling point is tempting but irrelevant to the dissolution mechanism.,Ionic solids,Easy,Chemistry,Solids
"During the manufacturing of copper wires, the metal is drawn into thin strands. This malleability and ductility are primarily due to:",Non-directional bonding,Directional covalent bonding,Strong electrostatic repulsion,Rigid lattice points,A,"Metallic bonds are non-directional, allowing layers to slide without breaking; directional bonding is tempting but describes covalent solids which are brittle.",Metallic solids,Easy,Chemistry,Solids
A researcher notes that NaNO3 and CaCO3 both form rhombohedral crystals with a 1:1:3 atomic ratio. This phenomenon is scientifically described as:,Allotropy,Anisotropy,Polymorphism,Isomorphism,D,Isomorphism occurs when different substances share the same crystal form; polymorphism is tempting but refers to one substance in many forms.,Isomorphism,Medium,Chemistry,Solids
An engineer designing precision instruments notices that a crystal expands more in length than in width when heated. This direction-dependent property is:,Isotropy,Anisotropy,Isomorphism,Allotropy,B,Thermal expansion in crystals depends on the direction of measurement; isotropy is tempting but only applies to amorphous solids or liquids.,Anisotropy,Medium,Chemistry,Solids
Calcium carbonate exists in nature as both Calcite (trigonal) and Aragonite (orthorhombic). What is this existence of a compound in multiple forms called?,Isomorphism,Allotropy,Polymorphism,Isotropy,C,"One compound existing in two crystalline forms is polymorphism; allotropy is tempting but only applies to pure elements, not compounds.",Polymorphism,Medium,Chemistry,Solids
"In industrial drilling, diamond-tipped bits are used to cut through rock. The extreme hardness of diamond is attributed to its:",3D network of covalent bonds,Van der Waals forces,Ionic interactions,Hexagonal layered structure,A,Diamond's hardness comes from its 3D tetrahedral network; graphite is tempting because it is also carbon but has a layered structure.,Covalent solids,Medium,Chemistry,Solids
"A glass manufacturer uses silica (SiO2) as a primary raw material. In the crystalline form of Quartz, what is the geometry around Silicon?",Trigonal planar,Linear,Octahedral,Tetrahedral,D,"In Quartz, each Silicon atom is tetrahedrally bonded to four Oxygen atoms; linear geometry is tempting but only occurs in gaseous CO2.",Covalent solids,Medium,Chemistry,Solids
A student studies monoclinic sulfur and needs to identify the correct unit cell angle parameters. Which of the following defines this system?,Alpha = Beta = Gamma = 90,"Alpha = Gamma = 90, Beta != 90","Alpha = Beta = 90, Gamma = 120",Alpha != Beta != Gamma != 90,B,Monoclinic systems have three unequal axes and one angle not equal to 90; triclinic is tempting because all its angles are unequal.,Crystal systems,Medium,Chemistry,Solids
A furnace lining uses Magnesium Oxide (MgO) because of its high melting point compared to NaCl. This is primarily due to MgO's:,Greater atomic size of Mg,Higher ionic charges,Lower electronegativity,Presence of covalent character,B,"Lattice energy increases with higher ionic charges; MgO has +2/-2 charges while NaCl has +1/-1, making MgO's lattice much stronger.",Lattice energy,Medium,Chemistry,Solids
"A chemist adds 10% urea to a sodium chloride solution, causing the resulting crystals to be octahedral instead of cubic. This change is in:",Isomorphism,Polymorphism,Crystal habit,Unit cell geometry,C,"The external shape of a crystal is its habit, which can be modified by impurities; polymorphism is tempting but involves internal structure change.",Properties of crystalline solids,Medium,Chemistry,Solids
"Potassium nitrate (KNO3) is stored in a fertilizer plant. Upon heating to 128 Celsius, it undergoes a phase transition between which two systems?",Orthorhombic to Rhombohedral,Cubic to Tetragonal,Rhombic to Monoclinic,Hexagonal to Cubic,A,"KNO3 changes from orthorhombic to rhombohedral at 128 Celsius; monoclinic is tempting but is the system for sulfur, not KNO3.",Transition temperature,Hard,Chemistry,Solids
"During a sublimation experiment, iodine vapor deposits as shiny grey-black crystals. According to PTB, these crystals belong to which system?",Cubic,Hexagonal,Triclinic,Orthorhombic,D,"Solid iodine crystals belong to the orthorhombic system; hexagonal is tempting due to the common shape of flakes, but the lattice is orthorhombic.",Crystal systems,Hard,Chemistry,Solids
