Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The energy of an electron in the nth orbit is given by,E = -13.6 / n eV,E = -13.6 / n² eV,E = -13.6 n² eV,E = -13.6 n eV,B,"Using Bohr's model, energy is inversely proportional to n², hence E = -13.6 / n² eV.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The radius of the nth orbit is proportional to,n,n²,1 / n,1 / n²,B,"According to Bohr's model, radius is directly proportional to n².",NET,Conceptual,Medium,Chemistry,Atomic Structure
The velocity of an electron in the nth orbit is proportional to,1 / n,n,1 / n²,n²,A,"Using Bohr's model, velocity is inversely proportional to n.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The ionization energy of hydrogen is,13.6 eV,-13.6 eV,13.6 / 4 eV,-13.6 / 4 eV,A,"Ionization energy is the energy required to remove an electron, which is 13.6 eV for hydrogen.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The wavelength of a spectral line is given by,1 / λ = R (1 / n1² - 1 / n2²),1 / λ = R (1 / n1 - 1 / n2),λ = R (1 / n1² - 1 / n2²),λ = R (1 / n1 - 1 / n2),A,Rydberg formula gives the wavelength of spectral lines using 1 / λ = R (1 / n1² - 1 / n2²).,NET,Conceptual,Medium,Chemistry,Atomic Structure
The number of radial nodes in an orbital is given by,n - l,n - l - 1,n + l,n + l + 1,B,"Radial nodes are given by n - l - 1, where n is principal quantum number and l is azimuthal quantum number.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The number of angular nodes in an orbital is given by,l,l + 1,l - 1,n - l,A,"Angular nodes are given by l, the azimuthal quantum number.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The orbital with zero orbital angular momentum is,s,p,d,f,A,"s-orbital has l = 0, hence zero orbital angular momentum.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The maximum number of electrons in a subshell is given by,2l + 1,4l + 2,2 (2l + 1),2l,C,"Maximum electrons in a subshell is 2 (2l + 1), accounting for two spin states.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The Pauli Exclusion Principle states that,no two electrons have the same spin,no two electrons have the same energy,no two electrons have the same set of quantum numbers,no two electrons have the same orbital,C,Pauli Exclusion Principle states that no two electrons can have the same set of four quantum numbers.,NET,Conceptual,Medium,Chemistry,Atomic Structure
The spin quantum number has values,"+1/2, -1/2","+1, -1","+1/2, 0, -1/2","0, 1",A,"Spin quantum number (ms) can be +1/2 or -1/2, representing two spin states.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The magnetic quantum number (m) is related to,orbital angular momentum,spin angular momentum,energy of the electron,size of the orbital,A,"Magnetic quantum number (m) is related to the orbital angular momentum, determining its orientation.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The de Broglie wavelength of a particle is given by,λ = h / p,λ = h / m,λ = h / v,λ = p / h,A,"de Broglie wavelength λ = h / p, where p is the momentum of the particle.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The Heisenberg Uncertainty Principle states that,Δx * Δp >= h / 4π,Δx * Δp <= h / 4π,Δx + Δp >= h / 4π,Δx - Δp >= h / 4π,A,"Heisenberg Uncertainty Principle states that Δx * Δp >= h / 4π, showing the limit of precision.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The energy of the photon emitted when an electron jumps from n = 2 to n = 1 is,10.2 eV,12.09 eV,13.6 eV,12.75 eV,A,Energy difference between n = 2 and n = 1 is calculated using ΔE = 13.6 (1 / 1² - 1 / 2²) = 10.2 eV.,NET,Conceptual,Medium,Chemistry,Atomic Structure
The frequency of the radiation emitted when an electron jumps from n = 2 to n = 1 is,2.46 x 10^15 Hz,1.23 x 10^15 Hz,3.29 x 10^15 Hz,4.57 x 10^15 Hz,A,"Using ΔE = hf, frequency f = ΔE / h = 10.2 eV / h = 2.46 x 10^15 Hz.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The wavelength of the radiation emitted when an electron jumps from n = 3 to n = 2 is,656 nm,434 nm,486 nm,410 nm,A,"Using Rydberg formula, 1 / λ = R (1 / 2² - 1 / 3²), λ = 656 nm, which is the Hα line.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The ionization energy of He+ is,54.4 eV,13.6 eV,27.2 eV,108.8 eV,A,"Ionization energy of He+ is Z² times that of H, so 4 x 13.6 = 54.4 eV.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The energy required to remove an electron from the ground state of Li²+ is,122.4 eV,13.6 eV,54.4 eV,217.6 eV,A,"For Li²+, Z = 3, so ionization energy is 9 x 13.6 = 122.4 eV.",NET,Conceptual,Medium,Chemistry,Atomic Structure
The ratio of the energies of the first two orbits of H-atom is,1 : 4,4 : 1,1 : 1/4,1/4 : 1,A,"Energy ratio is E1 : E2 = -13.6 : -13.6 / 4 = 1 : 1/4 or 4 : 1, so 1 : 4 is the correct ratio of absolute values.",NET,Conceptual,Medium,Chemistry,Atomic Structure
