Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
5,Intizar Hussain ka kaun sa afsana hai jis mein tasawwuf ko buniyad banaya gaya?,Zaru Kutta,Kaya Palat,Akri,Aakhri Aadmi,D
6,Sir Syed Ahmed Khan kahan madfan hain?,Dehli,Mumbai,Ali Garh,Agra,C
7,Sukhan Abad kis shair ke kulliyat hain?,Naseer Hashmi,Irfan Siddiqui,Meer Taqi Meer,In mein se koi nahi,B
8,Durust zarb-ul-misal ki nishandahi karein:,Ek machhli saare paani ko gandah karti hai,Ek machhli saare jal ko gandah karti hai,Ek machhli saare talaab ko gandah karti hai,In mein se koi nahi,B
9,Tain Tain Fish se kya murad hai?,Be nateejah,Shoar Sharaba,Tang karna,In mein se koi nahi,A
10,"""Syed-ush-Shuhada"" qawaid ki ro se kya hai?",Khitaab,Khaas,Luqab,Urf,C
11,'Kali Das ne drama Shakuntala kis zaban mein likha?,Sanskrit,Turki,Hindi,In mein se koi nahi,A
12,Maghrib ke tanqeedi usool kis ki kitaab hai?,Akbar Ali,Mehmood Sherani,Sajjad Baqar Rizvi,In mein se koi nahi,C
13,Ghazal ke matla mein shair kis cheez ka lehaaz rakhta hai?,Radeef,Qafia,Lafz gari,In mein se koi nahi,B
14,In mein se durust jumla kaun sa hai?,Bhoke log daka na daalen to aur kya karein,Bhoke log daka na daalen to aur kya karein,Bhoke log daak na daalen to aur kya karein,In mein se koi nahi,C
15,"Aisa fail jis mein kisi kaam ka karna ya hona guzray huay zamane ka pata de lekin yeh maloom na ho ke guzra hua zamana qareeb ka hai ya door ka, qawaid ki ro se ise kya kahen ge?",Fail-e-Mazi,Mazi Mutliq,Mazi Istimrari,Mazi Shakya,B
16,Tamk toiiyan marne se kya murad hai?,Mushkil se kaam lena.,Atkal se kaam lena.,Bewaqoofi se kaam lena.,Andazay se kaam lena.,B
17,Rehman Baba kis zaban ke shair hain?,Pashto,Sindhi,Punjabi,Balochi,A
18,"Darj zail sher kis mashhoor shair ka hai: ""Ab ke hum bichhre to shayad kabhi khwabon mein milen, jis tarah sukhe hue phool kitabon mein milen""?",Nasir Kazmi,Ahmad Faraz,Mohsin Naqvi,Faiz Ahmed Faiz,B
19,"Risala ""Tahzeeb-ul-Akhlaq"" kis ne jari kiya?",Anjuman Himayat-e-Islam,Anjuman Islamiya Amritsar,Sir Syed Ahmed Khan,Molana Maududi,C
20,Baitay ka baap apnay bachay ko kya karta hai?,Dekhe,Parhe,Khele,Dekhta hai,D
21,Kaun sa jumla durust hai?,Barae meherbani kal zaroor aayen.,Barae meherbani kar ke kal zaroor aayen.,Barah-e-meherbani kal zaroor aayen.,Barae meherbani kar ke kal zaroor aayen.,C
22,Mutriba falak sayara kis sayaray ko kehte hain?,Akbar Shah,Zuhal,Zohra,Mushtari,C
23,"""Aankhein pher kar namak bharna"" is muhawaray se kya murad hai?",Ghussa dilana,Neend mitane ki koshish karna,Jabr karna,Shadeed takleef dena,D
24,Haam bin Nabi ka Hazrat Abu Bakr r.a ke saath kya taalluq tha?,Dost,Rishta daar,Ustaad,Shareek,D
25,Uncle Urfi kis ka kirdar hai?,Haseena Moin,Zahida Hussain,Humaira Ahmed,Azmi Bukhari,A
26,In mein se kaun si zarb-ul-misl theek hai?,Cheel ke ghar mein kahan,Cheel ke ghonslay mein gosht kahan,Cheel ke ghonslay mein maas kahan,Cheel ke ghonslay mein billi kahan,C
27,Iqbal mu'asireen ki nazar mein Taraqqi Pasand Tehreek ke andar kis ne kitaab likhi thi?,Syed Waqar Azim,Sajjad Zaheer,Dr. Deen Muhammad Taseer,In mein se koi nahi,A
28,Ghalib ka yeh mashhoor misra mukammal kijiye: Maut se pehle aadmi nijaat paaye kyon ______,Gham se,Dukh se,Dil se,Us se,A
29,Musa ka lafzi matlab kya hai?,Pani se nikla hua,Paak,Kalaam karne wala,Moazzaz,A
30,Abdul Hameed Adam ko Urdu zaban ka Khayyam kyu kaha jata hai?,Mazah Nigari,Tareekh Seerat Nigari,Almiya Shairi,Rubaiyat,D
31,"""Aday aana"" muhawara hai is ka kya matlab hai?",Larhai karna,Darmiyan mein aana,Madad karna,In mein se koi nahi,B
32,Ghazal ke lughwi maani kya hain?,Isharon mein baat karna,Ishq mein shair o shairi karna,Aurton se baatein karna,In mein se koi nahi,C
33,Iqbal-e-jurm kis kitaab ka deebacha hai?,Surkh Feeta,Shahab Nama,Nafsane,In mein se koi nahi,B
34,"""When in Rome do as the Romans do"" ke darust matlab ka intikhab karein۔",Room mein wohi karo jo Roman karte hain,Jaisa des waisa bhais,Jaisa malik waisa naukar,Jaisa aaqa waisa naukar,B
35,Aab-e-Hayat bara maroof tazkira hai. Is ke musannif kaun hain?,Molana Muhammad Hussain Azad,Hamid Hasan Qadri,Hasan Askari,In mein se koi nahi,A
36,'Darj zail mein se konsa lafz durust nahi hai?,Asatiza,Qameez,Hairani,In mein se koi nahi,D
37,Zar-e-daagh-e-dil se kya murad hai?,Dili sadma,Dil ki asoodgi,Dil ki daulat,In mein se koi nahi,C
38,Main kis ke haath par apna lahu talash karun tamaam shehar ne pehne hue hain dastane yeh mashhoor sher kis ka hai?,Mustafa Zaidi,Ahmad Faraz,Faiz Ahmed Faiz,Ghulam Mustafa Hamdani,A
39,"Mashhoor novel ""Raja Gidh"" ki musannifa kaun hai?",Khadija Mastoor,Bano Qudsia,Altaf Fatima,Bushra Rehman,B
40,Dastan se afsane tak kis ki tasneef hai?,Syed Waqar Azim,Ashfaq Ahmed,Khursheed Naseem,Shaukat Siddiqui,A
41,Allama Muhammad Iqbal ka pehla shairi majmua kaun sa hai?,Bang-e-Dara,Baal-e-Jibril,Armaghan-e-Hijaz,Javed Nama,A
42,Latiya dabona ke maani hain?,Hansi o mazaaq,Nuqsan karna,Tanz karna,In mein se koi nahi,B
43,Musabaqat se kya murad hai?,Barabari,Muqabala,Dushmani,Sabqat le jana,A
