Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
Identify the inverted form of the sentence: 'The sun rises in the east.',In the east rises the sun.,In the east the sun rises.,Rises the sun in the east.,The sun in the east rises.,A,"Inversion occurs when the sentence starts with a prepositional phrase, 'In the east rises the sun.' is correct.",Inversion with Prepositional Phrases,Easy,English,Sentence Inversion
Which sentence is in the inverted form?,Here comes the bus.,The bus comes here.,The bus is coming here.,Here the bus comes.,A,'Here comes the bus' is an example of inversion where 'here' is followed by the verb.,Inversion with Adverbs,Easy,English,Sentence Inversion
Choose the correct inverted form of 'Rarely have I seen such beauty.',I have rarely seen such beauty.,Rarely I have seen such beauty.,I rarely have seen such beauty.,Such beauty I have rarely seen.,B,"Inversion occurs after negative adverbs; 'Rarely have I' is correct, but 'Rarely I have' is a common error.",Inversion after Negative Adverbs,Medium,English,Sentence Inversion
Select the sentence that demonstrates correct inversion.,Up went the balloon.,The balloon went up.,Up the balloon went.,The balloon up went.,A,"'Up went the balloon' correctly inverts the sentence, placing 'up' at the start.",Inversion with Prepositional Phrases,Easy,English,Sentence Inversion
Identify the correctly inverted sentence.,Never have I seen such a crowd.,I have never seen such a crowd.,Never I have seen such a crowd.,Such a crowd I have never seen.,A,'Never have I' is the correct inversion after the negative adverb 'never'.,Inversion after Negative Adverbs,Easy,English,Sentence Inversion
The correct inverted form of 'Seldom does he attend meetings.' is?,Seldom he does attend meetings.,He seldom attends meetings.,Seldom he attends meetings.,He does seldom attend meetings.,A,'Seldom does he' is the correct inversion; the verb 'does' is used before the subject.,Inversion after Negative Adverbs,Medium,English,Sentence Inversion
Which of the following is an example of inversion?,Out ran the children.,The children ran out.,The children out ran.,Out the children ran.,A,"'Out ran the children' is an inverted sentence, where 'out' is at the beginning.",Inversion with Prepositional Phrases,Easy,English,Sentence Inversion
Select the correctly inverted sentence.,So beautiful is she that everyone admires her.,She is so beautiful that everyone admires her.,She is beautiful so that everyone admires her.,So she is beautiful that everyone admires her.,A,'So beautiful is she' correctly inverts the sentence for emphasis.,Inversion for Emphasis,Medium,English,Sentence Inversion
"The sentence 'Not only is she intelligent, but also hardworking.' is an example of?",Inversion for emphasis,Simple sentence,Compound sentence,Complex sentence,A,'Not only is she' inverts the sentence to emphasize 'not only'.,Inversion for Emphasis,Medium,English,Sentence Inversion
Identify the sentence with correct inversion.,Only then did I realize my mistake.,Only then I did realize my mistake.,Only then I realized my mistake.,I realized my mistake only then.,A,'Only then did I' correctly inverts the sentence after 'only then'.,Inversion after 'Only',Medium,English,Sentence Inversion
In which sentence is inversion used correctly?,Hardly had I finished my work when the phone rang.,I had hardly finished my work when the phone rang.,Hardly I had finished my work when the phone rang.,I finished my work hardly when the phone rang.,A,'Hardly had I' is the correct inversion after 'hardly'.,Inversion after 'Hardly',Medium,English,Sentence Inversion
The inverted form of 'The manager will not attend the meeting.' is?,Not will the manager attend the meeting.,The manager will not attend the meeting.,Not attend the meeting will the manager.,Not will attend the meeting the manager.,A,"'Not will the manager' is an inversion, though less common, it follows the rule.",Inversion with Negatives,Hard,English,Sentence Inversion
Which sentence demonstrates correct inversion?,Under no circumstances will we surrender.,We will surrender under no circumstances.,Under no circumstances we will surrender.,We under no circumstances will surrender.,A,'Under no circumstances will we' is the correct inversion.,Inversion after Negative Phrases,Easy,English,Sentence Inversion
The correct inverted form of 'The bus arrives here.' is?,Here arrives the bus.,Here the bus arrives.,Arrives the bus here.,The bus here arrives.,A,'Here arrives the bus' correctly places 'here' at the start.,Inversion with Adverbs,Easy,English,Sentence Inversion
Select the sentence that correctly uses inversion.,In the garden played the children.,The children played in the garden.,Played the children in the garden.,In the garden the children played.,A,'In the garden played the children' is an example of inversion.,Inversion with Prepositional Phrases,Medium,English,Sentence Inversion
Identify the correctly inverted form of 'I have never seen such a sight.',Never have I seen such a sight.,I never have seen such a sight.,Never I have seen such a sight.,Such a sight I have never seen.,A,'Never have I' correctly inverts after 'never'.,Inversion after Negative Adverbs,Easy,English,Sentence Inversion
"The sentence 'Were I rich, I would donate.' is an example of?",Inversion in conditional sentences,Simple sentence,Inversion for emphasis,Complex sentence,A,'Were I rich' is an inverted conditional sentence.,Inversion in Conditional Sentences,Hard,English,Sentence Inversion
Select the correct inversion of 'The results will be announced soon.',Soon will be announced the results.,Soon the results will be announced.,The results soon will be announced.,Announced soon will be the results.,A,"'Soon will be announced the results' is an inverted form, although less common.",Inversion with Adverbs,Hard,English,Sentence Inversion
Identify the sentence that uses inversion correctly.,Nowhere can be found a more beautiful scene.,A more beautiful scene can be found nowhere.,Nowhere a more beautiful scene can be found.,Can be found nowhere a more beautiful scene.,A,'Nowhere can be found' correctly inverts after 'nowhere'.,Inversion after 'Nowhere',Hard,English,Sentence Inversion
"In a formal speech, the phrase 'Rarely have I seen' is used. Identify the grammatical function of this phrase.",To emphasize a statement,To show a contrast,To indicate a condition,To express a wish,A,The phrase 'Rarely have I seen' is an example of inversion used for emphasis. Option B fails because it doesn't primarily show contrast.,Emphasis through Inversion,Medium,English,Sentence Inversion
The sentence 'Not until the clock struck twelve did she arrive' illustrates which grammatical principle?,Subject-verb agreement,Inversion after negative adverbs,Use of passive voice,Conditional sentence structure,B,The sentence demonstrates inversion after a negative adverb. Option A is incorrect as it doesn't relate to subject-verb agreement.,Inversion after Negative Adverbs,Easy,English,Sentence Inversion
Identify the correct inversion in the sentence: '______ did the manager approve the proposal.',Only after review,Only after reviewing,Only after the review,Only after they reviewed,A,The correct inversion is 'Only after review did the manager approve.' Option D fails because it's not the most concise form.,Inversion with 'Only',Medium,English,Sentence Inversion
"In formal writing, 'At no point did the researcher ignore' is an example of which literary device?",Inversion for emphasis,Metaphor,Alliteration,Hyperbole,A,The sentence is an example of inversion used for emphasis. Option B is incorrect as it's not a metaphor.,Inversion for Emphasis,Easy,English,Sentence Inversion
The phrase 'Under no circumstances ______ allowed' requires which verb form to be grammatically correct?,is it,it is,are they,they are,A,The correct form is 'Under no circumstances is it allowed.' Option B fails because it doesn't invert correctly.,Inversion with Negative Phrases,Medium,English,Sentence Inversion
