Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,The two planets between the Earth and the Sun are:,Mercury and Saturn,Mars and Jupiter,Mercury and Venus,Venus and Jupiter,C
2,"When light enters from a rarer to a denser medium, it bends towards the normal line. This is called:",Reflection of light,Diffraction of light,Refraction of light,Absorption of light,C
3,One gram of carbohydrate provides about ______ of energy.,6.3 kcal,4.1 kcal,8.0 kcal,2.0 kcal,B
4,The least number of transfer RNA molecules for each of the twenty amino acids found in proteins is:,20,40,1,2,A
5,Apiculture refers to the:,Science of beekeeping,Science of gardening,Science of cultural norms and trends,Rearing of silkworms,A
6,The Earth's axis is tilted by:,21.0°,21.5°,23.0°,23.5°,D
7,Short-sightedness is due to:,Shifting of the iris,Weaker muscles,Elongation of eyeballs,Weakening of the retina,C
8,A deficiency of Vitamin K can cause:,Blood clotting disorders,Sterility,Scurvy,Loss of appetite,A
9,Through which organ does a fish respire?,Fins,Gills,Lungs,Nose,B
10,Who cured the victims of leprosy as a miracle?,Hazrat Idris (AS),Hazrat Isa (AS),Hazrat Yahya (AS),Hazrat Musa (AS),B
11,Diaphragm is a thin skeletal muscle in the body related to:,Digestion system,Respiratory system,Nervous system,None of these,B
12,LISP was designed for:,Artificial intelligence,Graphics,Mathematics,Logos,A
13,Which Umm-ul-Momineen died last?,Hazrat Safia (RA),Hazrat Ayesha (RA),Hazrat Umm Salma (RA),Hazrat Javeria (RA),C
14,"Black gold is oil, whereas ""black diamond"" is:",Wood,Coal,Iron,Copper,B
15,Which creature is the symbol of medicine?,Lizard,Cat,Snake,None of the above,C
16,Hazrat Ali (R.A.) ruled for,"4 years, 9 months","10 years, 5 months","5 years, 9 months",None of these,A
17,Osteomalacia is caused by the deficiency of:,Vitamin A,Vitamin D,Vitamin C,Vitamin B,B
18,Match the following: Invention (A) Television (B) Transformer (C) Steam Engine (D) Rocket Engine Inventor (1) James Watt (2) J. L. Baird (3) Goddard (4) William Stanley,2 4 1 3,2 1 4 3,1 3 2 4,4 1 3 2,A
19,The nation of Thamud was associated with which prophet?,Prophet Salih (AS),Prophet Nuh (AS),Prophet Lut (AS),None of these,A
20,"A car and a loaded truck are moving with the same speed along a road. As compared to the truck, the car shall possess:",More kinetic energy,More potential energy,Less kinetic energy,More mechanical energy,C
