Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Identify the part of speech of 'very' in 'She is very beautiful.',Adverb,Adjective,Verb,Noun,A,"'Very' modifies the adjective 'beautiful', so it's an adverb. Adverbs typically modify verbs, adjectives, or other adverbs.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
Which word is a pronoun in 'The book is mine.'?,The,book,is,mine,D,"'Mine' is a possessive pronoun, replacing 'my book'. Pronouns replace nouns in a sentence, making it more concise.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
"Choose the correct form of the verb: 'By the time I arrived, they ............ their work.'",have finished,had finished,finish,were finishing,B,"The sentence is in the past perfect tense, indicating an action completed before another past action. 'Had finished' shows this completion.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
Identify the adjective in 'The tired dog slept.',The,tired,dog,slept,B,"'Tired' describes the noun 'dog', making it an adjective. Adjectives modify or describe nouns or pronouns.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
"In 'The manager, who was very experienced, made the decision.', 'who was very experienced' is a/an ............",Independent clause,Dependent clause,Phrase,None of these,B,'Who was very experienced' is a dependent clause because it can't stand alone as a complete sentence. It depends on the main clause.,NET,Conceptual,Medium,English,Grammar and Parts of Speech
The word 'quickly' is an example of a/an ............,Adverb,Adjective,Verb,Noun,A,"'Quickly' modifies a verb, indicating the manner of the action, which is the function of an adverb.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
"In the sentence 'The teacher gave the students their assignments.', 'their' is a ............",Possessive adjective,Possessive pronoun,Reflexive pronoun,Demonstrative adjective,A,"'Their' modifies the noun 'assignments', showing possession, making it a possessive adjective.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
The phrase 'in the morning' is an example of a ............,Adverb phrase,Adjective phrase,Noun phrase,Prepositional phrase,D,"'In the morning' begins with a preposition and functions as a single unit, making it a prepositional phrase.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
Identify the verb in 'The flowers are blooming.',The,flowers,are,blooming,D,"'Blooming' is the main verb, and 'are' is a linking verb. Together, they form the present continuous tense.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
Which sentence is in the passive voice?,The dog bites the man.,The man was bitten by the dog.,The dog is biting the man.,The man bites the dog.,B,"In 'The man was bitten by the dog.', the subject 'man' receives the action, making it passive voice.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
The word 'happiness' is a ............,Concrete noun,Abstract noun,Collective noun,Proper noun,B,'Happiness' is an abstract noun because it represents an intangible concept or feeling.,NET,Conceptual,Medium,English,Grammar and Parts of Speech
"In 'Having finished the project, we went home.', 'Having finished the project' is a ............",Participle phrase,Gerund phrase,Infinitive phrase,Absolute phrase,A,'Having finished the project' is a participle phrase because it begins with a participle and functions as an adjective.,NET,Conceptual,Medium,English,Grammar and Parts of Speech
"The sentence 'The more you practice, the better you will become.' is an example of ............",Comparative form,Correlative conjunction,Parallel structure,Proportional construction,D,"The sentence shows a proportional relationship between two clauses, indicating a corresponding increase or decrease.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
"Identify the conjunction in 'I wanted to go, but I was tired.'",I,wanted,but,tired,C,'But' is a coordinating conjunction connecting two clauses.,NET,Conceptual,Medium,English,Grammar and Parts of Speech
The word 'loudly' in 'She sings loudly.' is an ............,Adverb,Adjective,Verb,Noun,A,"'Loudly' modifies the verb 'sings', indicating the manner of the action, making it an adverb.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
"In 'The city, which is very crowded, is also very polluted.', 'which is very crowded' is a ............",Restrictive clause,Non-restrictive clause,Independent clause,None of these,B,"'Which is very crowded' provides additional, non-essential information about 'The city', making it a non-restrictive clause.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
The phrase 'to eat a sandwich' is an example of a ............,Infinitive phrase,Gerund phrase,Participle phrase,Prepositional phrase,A,"'To eat a sandwich' begins with 'to' and functions as a single unit, making it an infinitive phrase.",NET,Conceptual,Medium,English,Grammar and Parts of Speech
