Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"During embryonic development, which structure gives rise to the female reproductive system?",Wolffian duct,Müllerian duct,Genital ridge,Cloaca,B,"Müllerian duct develops into female reproductive tract, unlike Wolffian duct.",Embryology of reproductive system,Easy,Biology,Reproduction
"During human embryogenesis, which layer forms the lining of the digestive tract?",Ectoderm,Endoderm,Mesoderm,Trophoblast,B,Endoderm forms digestive tract lining; ectoderm forms outer layer.,Embryogenesis,Easy,Biology,Reproduction
What is the term for the movement of sperm through the female reproductive tract?,Capacitation,Acrosome reaction,Sperm penetration,Sperm migration,D,Sperm migration refers to movement through female tract; capacitation is maturation.,Fertilization,Easy,Biology,Reproduction
"In humans, which hormone stimulates the growth of the ovarian follicle?",FSH,LH,Estrogen,Progesterone,A,FSH stimulates follicular growth; LH triggers ovulation.,Hormonal regulation,Easy,Biology,Reproduction
What is the term for the process by which the embryo attaches to the uterine wall?,Implantation,Embryogenesis,Gastrulation,Organogenesis,A,Implantation is attachment to uterine wall; embryogenesis is development.,Embryogenesis,Easy,Biology,Reproduction
"During puberty, which hormone stimulates the growth of the testes?",FSH,LH,Testosterone,GnRH,A,FSH stimulates testicular growth; LH stimulates testosterone production.,Hormonal regulation,Easy,Biology,Reproduction
What is the term for the release of an egg from the ovary?,Ovulation,Menstruation,Fertilization,Implantation,A,Ovulation is egg release; menstruation is uterine lining shedding.,Menstrual cycle,Easy,Biology,Reproduction
What is the term for the structure that develops from the morula during embryogenesis?,Blastocyst,Gastrula,Embryo,Fetus,A,Blastocyst forms from morula; gastrula forms during gastrulation.,Embryogenesis,Easy,Biology,Reproduction
"In humans, which hormone regulates the menstrual cycle?",Estrogen,Progesterone,FSH,GnRH,D,GnRH regulates FSH and LH; estrogen and progesterone are downstream.,Hormonal regulation,Medium,Biology,Reproduction
What is the term for the process by which a fertilized egg undergoes multiple cell divisions?,Cleavage,Gastrulation,Organogenesis,Morphogenesis,A,Cleavage is initial cell divisions; gastrulation forms germ layers.,Embryogenesis,Easy,Biology,Reproduction
A woman is experiencing infertility due to a blockage in her fallopian tubes. Which structure is responsible for the blockage?,Cilia,Muscle layer,Mucosal layer,Basal layer,C,Mucosal layer can become blocked; cilia help move egg.,Female reproductive system,Medium,Biology,Reproduction
What is the term for the hormone that stimulates the development of the male reproductive system?,Testosterone,Dihydrotestosterone,Estrogen,Progesterone,A,Testosterone stimulates male development; dihydrotestosterone is a metabolite.,Hormonal regulation,Easy,Biology,Reproduction
"During embryogenesis, which layer forms the muscles and skeleton?",Ectoderm,Endoderm,Mesoderm,Trophoblast,C,Mesoderm forms muscles and skeleton; ectoderm forms outer layer.,Embryogenesis,Easy,Biology,Reproduction
