Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A number sequence starts with 2, 5, 8, 11. What is the next number in the sequence?",14,15,12,13,A,"The sequence follows a pattern of adding 3 to the previous term, making 14 the next number. Option B fails because it doesn't follow the pattern.",Number Sequence,Easy,Logical_Reasoning,Cause and Effect
"Identify the next letter in the series: A, C, E, G, ?",I,H,J,K,A,"The series consists of consecutive odd letters in the alphabet, making 'I' the next letter. Option B fails because it's an even letter.",Letter Sequence,Easy,Logical_Reasoning,Cause and Effect
"A series is given as: 1, 2, 4, 8, ?. What comes next?",16,12,10,14,A,"The series is obtained by doubling the previous term, making 16 the next number. Option B fails because it's not a power of 2.",Number Sequence,Medium,Logical_Reasoning,Cause and Effect
"The sequence of numbers is: 3, 6, 9, 12, ?. What is the next number?",15,16,14,18,A,"The pattern involves adding 3 to the previous number, making 15 the next number. Option B fails because it doesn't follow the addition pattern.",Number Sequence,Easy,Logical_Reasoning,Cause and Effect
"What comes next in the series: 2, 4, 8, 16, ?",32,20,24,18,A,"The series involves doubling the previous term, making 32 the next number. Option B fails because it's not a power of 2.",Number Sequence,Medium,Logical_Reasoning,Cause and Effect
"In a certain code, letters are shifted by 2 places forward. 'CAT' becomes 'ECV'. What will 'DOG' become?",FQG,FQH,EQG,FRH,A,Shifting each letter of 'DOG' by 2 places forward results in 'FQG'. Option B fails due to incorrect shifting of the last letter.,Letter Sequence,Medium,Logical_Reasoning,Cause and Effect
"A pattern is observed as: 1, 3, 6, 10, ?. Identify the next number.",15,12,14,16,A,"The pattern represents triangular numbers, where each term increases by consecutive integers, making 15 the next number. Option B fails because it doesn't follow the triangular number sequence.",Number Sequence,Hard,Logical_Reasoning,Cause and Effect
"The sequence given is: 4, 9, 16, 25, ?. What comes next?",36,30,35,32,A,"The sequence consists of squares of consecutive integers starting from 2, making 36 the next number. Option B fails because it's not a perfect square.",Number Sequence,Medium,Logical_Reasoning,Cause and Effect
"In a series: 1, 4, 9, 16, ?, what is the missing number?",25,20,22,24,A,"The series is made of squares of consecutive integers, making 25 the next number. Option B fails because it's not a perfect square.",Number Sequence,Easy,Logical_Reasoning,Cause and Effect
"A series of numbers is: 2, 6, 12, 20, ?. What comes next?",30,28,32,25,A,"The pattern involves adding 4, 6, 8, and so on, to the previous term, making 30 the next number. Option B fails because it doesn't follow the pattern of increasing differences.",Number Sequence,Medium,Logical_Reasoning,Cause and Effect
