Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which of the following is the most reactive aldehyde towards nucleophilic addition?,HCHO,CH₃CHO,C₂H₅CHO,C₆H₅CHO,A,HCHO is most reactive due to least steric hindrance and high electrophilicity of carbonyl carbon.,NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
The reaction of aldehydes with NaHSO₃ is an example of?,Nucleophilic substitution,Nucleophilic addition,Electrophilic addition,Electrophilic substitution,B,"NaHSO₃ adds to carbonyl group, characteristic of nucleophilic addition reactions.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
Tollens' reagent is used to distinguish between?,Aldehydes and ketones,Alcohols and ethers,Alkanes and alkenes,Alkynes and alkadienes,A,"Tollens' reagent oxidizes aldehydes to carboxylates, forming silver mirror, while ketones are not oxidized.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
Which ketone is most reactive towards nucleophilic addition?,Acetone,Cyclohexanone,Cyclopentanone,Diethyl ketone,C,Cyclopentanone is more reactive due to angle strain relief on going from sp² to sp³.,NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
The product of the reaction of acetone with HCN is?,Acetone cyanohydrin,Acetone oxime,Acetone hydrazone,Acetone semicarbazone,A,"CN⁻ adds to carbonyl carbon of acetone, forming acetone cyanohydrin.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
The reaction of benzaldehyde with CH₃MgBr followed by hydrolysis gives?,Benzyl alcohol,1-Phenylethanol,2-Phenylethanol,Benzene,B,"Grignard reagent adds to benzaldehyde, forming secondary alcohol after hydrolysis.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
Fehling's solution is used to distinguish between?,Aliphatic and aromatic aldehydes,Aldehydes and ketones,Primary and secondary alcohols,Tertiary and secondary alcohols,B,"Fehling's solution oxidizes aldehydes to carboxylates, while ketones are not oxidized.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
The product of aldol condensation of acetaldehyde is?,Crotonaldehyde,But-2-enal,3-Hydroxybutanal,Butanal,C,"Aldol condensation involves nucleophilic addition of enolate to carbonyl group, forming β-hydroxy aldehyde.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
Cannizzaro reaction is characteristic of?,Aldehydes having α-H,Aldehydes lacking α-H,Ketones,Esters,B,"Aldehydes without α-H undergo disproportionation in presence of strong base, characteristic of Cannizzaro reaction.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
The reaction of aldehydes with NH₂OH gives?,Oximes,Hydrazones,Semicarbazones,Cyanohydrins,A,"NH₂OH reacts with carbonyl group, forming oximes.",NET,Conceptual,Medium,Chemistry,Aldehydes and Ketones
