Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemist synthesizes a polymer using only vinyl chloride as the starting material. What classification describes this resulting macromolecule based on monomer type?,Homopolymer,Copolymer,Terpolymer,Biopolymer,A,"Homopolymers consist of a single type of monomer; copolymers, the most tempting distractor, require at least two different monomer types.",Classification of Polymers,Easy,Chemistry,Macromolecules
"During the industrial production of Nylon 6,6, adipic acid reacts with a specific diamine. Identify the exact number of carbon atoms in this diamine.",Two,Four,Six,Eight,C,"Nylon 6,6 is named for the six carbons in both adipic acid and hexamethylenediamine; Nylon 6 is a common distractor.",Synthetic Polymers,Easy,Chemistry,Macromolecules
A manufacturer requires a polymer for electrical insulation that is resistant to chemicals and non-inflammable. Which vinyl polymer is most suitable?,Polyethylene,Polyvinyl chloride,Polystyrene,Polypropylene,B,PVC is uniquely non-inflammable due to its chlorine content; polyethylene is a tempting distractor but lacks this specific chemical resistance.,Synthetic Polymers,Easy,Chemistry,Macromolecules
"In polymer chemistry, the length of a polymer chain is often expressed by a specific ratio. What is the term for the number of repeating units?",Polymerization constant,Degree of polymerization,Chain length index,Molar mass factor,B,Degree of polymerization represents the total number of monomer units; molar mass factor is tempting but refers to the total weight.,Classification of Polymers,Easy,Chemistry,Macromolecules
"A technician heats a mixture of phenol and formaldehyde in the presence of an acid catalyst to form a hard, infusible resin. What type of polymerization is occurring?",Addition polymerization,Condensation polymerization,Substitution polymerization,Elimination polymerization,B,Bakelite forms via condensation with water loss; addition polymerization is tempting but involves no byproduct and occurs mostly in vinyl monomers.,Synthetic Polymers,Easy,Chemistry,Macromolecules
Terylene is a widely used synthetic fiber in the textile industry. Which two functional groups react to form this specific polyester?,Amine and Carboxylic acid,Alcohol and Carboxylic acid,Alcohol and Aldehyde,Amine and Amide,B,"Polyesters form between diols and dicarboxylic acids; amines and acids form polyamides like Nylon, which is a very common distractor.",Synthetic Polymers,Easy,Chemistry,Macromolecules
A plastic material softens upon heating and regains its hardness on cooling without undergoing any chemical change. How is this polymer classified?,Thermosetting polymer,Thermoplastic polymer,Elastomer,Fiber,B,Thermoplastics soften repeatedly with heat; thermosetting polymers are tempting but they harden permanently due to cross-linking when heated the first time.,Classification of Polymers,Easy,Chemistry,Macromolecules
"Natural rubber is a polymer of isoprene. According to IUPAC nomenclature, what is the correct chemical name for this specific monomer?","2-Methyl-1,3-butadiene","2-Chloro-1,3-butadiene","1,3-Butadiene","2,3-Dimethyl-1,3-butadiene",A,"Isoprene is 2-methyl-1,3-butadiene; 2-chloro-1,3-butadiene is the monomer for neoprene, which is a common synthetic rubber distractor.",Synthetic Polymers,Easy,Chemistry,Macromolecules
"During the free-radical polymerization of ethene, an organic peroxide is added to the reaction mixture. What is the specific role of this peroxide?",Chain terminator,Reaction inhibitor,Polymerization initiator,Solvent medium,C,Peroxides generate free radicals to start the reaction; inhibitors are tempting but they actually stop or slow the polymerization process.,Polymerization Mechanism,Medium,Chemistry,Macromolecules
A student examines the linkage between two amino acids in a polypeptide. Which atoms directly form the peptide backbone connection?,Carbon and Nitrogen,Carbon and Oxygen,Nitrogen and Hydrogen,Sulfur and Carbon,A,The peptide bond is a C-N linkage; C-O is tempting but refers to the carbonyl bond within the amide group.,Proteins,Medium,Chemistry,Macromolecules
A sample of egg white coagulates when heated to 100 degrees Celsius. Which structural level of the protein remains intact during this denaturation?,Primary structure,Secondary structure,Tertiary structure,Quaternary structure,A,Denaturation disrupts folding but leaves the amino acid sequence untouched; secondary structure is tempting but it unfolds during the process.,Proteins,Medium,Chemistry,Macromolecules
"Starch consists of two polysaccharides, one of which is water-soluble and forms a blue color with iodine. Identify this component.",Amylopectin,Amylose,Glycogen,Cellulose,B,"Amylose is the unbranched, water-soluble fraction; amylopectin is tempting but is branched and generally insoluble in cold water.",Carbohydrates,Medium,Chemistry,Macromolecules
"A lab analyst adds a drop of iodine solution to an unknown carbohydrate sample, resulting in a deep red color. Which substance is likely present?",Starch,Glycogen,Cellulose,Glucose,B,Glycogen gives a red color with iodine; starch is a tempting distractor but yields a characteristic deep blue color.,Carbohydrates,Medium,Chemistry,Macromolecules
The quality of an edible oil is tested by determining the milligrams of KOH required to neutralize the fatty acids in one gram of oil. What is this value?,Iodine value,Acid value,Saponification value,Ester value,B,Acid value measures free fatty acids; saponification value is tempting but measures both free and combined fatty acids in the sample.,Lipids,Medium,Chemistry,Macromolecules
"To determine the degree of unsaturation in a sample of vegetable ghee, a chemist uses a halogen titration. Which parameter is being measured?",Saponification value,Iodine value,Acid value,Acetyl value,B,Iodine value quantifies C=C double bonds; saponification value is tempting but relates to molecular weight and total ester content.,Lipids,Medium,Chemistry,Macromolecules
Epoxy resins are used as high-strength adhesives. Which substance is commonly reacted with epichlorohydrin to produce these industrial resins?,Phenol,Bisphenol-A,Ethylene glycol,Phthalic anhydride,B,Bisphenol-A reacts with epichlorohydrin for epoxy synthesis; phenol is tempting but is used primarily for Bakelite production.,Synthetic Polymers,Medium,Chemistry,Macromolecules
"At a specific pH known as the isoelectric point, an amino acid exists as a zwitterion. Which functional groups carry the charges in this state?",COO+ and NH3-,COO- and NH3+,COOH and NH2,COO- and NH2,B,The carboxyl group loses a proton and the amino group gains one; COO+ is chemically impossible and a common distractor.,Proteins,Hard,Chemistry,Macromolecules
The alpha-helix structure of a protein is maintained by intramolecular forces. Between which specific groups do these bonds form?,Side chains of distant residues,N-H and C=O groups of the backbone,Disulfide bridges of cysteine,Hydrophobic interactions of non-polar groups,B,Alpha-helices are stabilized by backbone H-bonds; side chain interactions are tempting but stabilize the tertiary structure instead.,Proteins,Hard,Chemistry,Macromolecules
