Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
Water flows through a horizontal pipe of cross-sectional area 4.0 cm² at a speed of 2.0 m/s. What is the speed in a constricted section of 2.0 cm²?,1.0 m/s,4.0 m/s,8.0 m/s,0.5 m/s,B,Equation of continuity states speed is inversely proportional to area. Halving the area must double the speed to maintain constant flow rate.,Equation of Continuity,Easy,Physics,Fluid Dynamics
An open water tank develops a small hole in its side at a depth of 5.0 m below the water surface. Calculate the speed of efflux.,4.9 m/s,9.8 m/s,9.9 m/s,19.6 m/s,C,"According to Torricelli's theorem, speed equals sqrt(2gh). With g=9.8 and h=5, the calculation yields approximately 9.9 m/s. Option B is just g.",Torricelli's Theorem,Easy,Physics,Fluid Dynamics
A spherical fog droplet of radius 'r' falls with a terminal velocity of 0.2 m/s. What is the terminal velocity of a droplet with radius '2r'?,0.2 m/s,0.4 m/s,0.1 m/s,0.8 m/s,D,Terminal velocity is directly proportional to the square of the radius. Doubling the radius increases the velocity by a factor of four.,Terminal Velocity,Medium,Physics,Fluid Dynamics
A tiny sphere of radius 0.02 m moves through a liquid of viscosity 0.01 Ns/m² at 5 m/s. Calculate the viscous drag force acting on it.,0.019 N,0.113 N,0.003 N,0.060 N,A,Stokes' law states F = 6πηrv. Substituting the given values (6 * 3.14 * 0.01 * 0.02 * 5) results in approximately 0.019 N.,Stokes' Law,Easy,Physics,Fluid Dynamics
"Air of density 1.2 kg/m³ flows horizontally. If the speed increases from 10 m/s to 20 m/s, what is the resulting decrease in pressure?",120 Pa,180 Pa,300 Pa,360 Pa,B,"Using Bernoulli's equation for horizontal flow, ΔP = 0.5 * ρ * (v2² - v1²). Here, 0.5 * 1.2 * (400 - 100) equals 180 Pa.",Bernoulli's Equation,Medium,Physics,Fluid Dynamics
Water (1000 kg/m³) enters a pipe of radius 2 cm at 2 m/s. It then enters a region where the radius is 1 cm. Calculate the pressure drop.,"15,000 Pa","20,000 Pa","30,000 Pa","60,000 Pa",C,"By continuity, v2 = v1 * (r1/r2)². Since r2 = 0.5r1, v2 = 2 * 4 = 8 m/s. Bernoulli's then gives ΔP = 0.5 * 1000 * (64 - 4) = 30,000 Pa.",Bernoulli's Equation,Hard,Physics,Fluid Dynamics
"A pipe has a cross-sectional area of 2.0 cm². If water moves through it at a speed of 5.0 m/s, what is the volume flow rate?",0.001 m³/s,10.0 m³/s,0.010 m³/s,0.0005 m³/s,A,"Flow rate Q = Area * velocity. Converting 2.0 cm² to 0.0002 m², Q = 0.0002 * 5 = 0.001 m³/s. Option B uses cm² directly.",Fluid Flow Rate,Easy,Physics,Fluid Dynamics
"An aorta of area 2.0 cm² has blood flowing at 30 cm/s. It branches into 20 capillaries, each of area 0.1 cm². Find the capillary blood speed.",1.5 cm/s,3.0 cm/s,15.0 cm/s,30.0 cm/s,D,"Blood flow rate is conserved (A1v1 = nA2v2). Thus, 2.0 * 30 = 20 * 0.1 * v, which simplifies to 60 = 2v, giving 30 cm/s.",Blood Flow,Medium,Physics,Fluid Dynamics
"In a Venturi meter, the pressure difference between the main pipe and the throat is 1000 Pa. If fluid density is 1000 kg/m³, find the throat speed.",1.0 m/s,1.4 m/s,2.0 m/s,2.8 m/s,B,"Venturi meter uses P1 - P2 = 0.5 * ρ * v2² (if v1 is negligible). Here, 1000 = 0.5 * 1000 * v2², so v2 = sqrt(2) ≈ 1.4 m/s.",Venturi Effect,Medium,Physics,Fluid Dynamics
"If a force of 10 N is required to move a 2 m² plate at 5 m/s over a 1 m thick liquid layer, what is the viscosity?",1.0 Ns/m²,1.0 Nm/s,1.0 J/m²,1.0 kg/ms²,A,Viscosity is defined as η = (Force * distance) / (Area * velocity). Using units: (N * m) / (m² * m/s) = Ns/m². Option C is power.,Viscosity,Easy,Physics,Fluid Dynamics
