Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemistry student observes that atomic radius decreases from Sodium to Argon in the third period. What is the primary cause of this periodic trend?,Increase in shielding effect,Increase in nuclear charge,Decrease in number of shells,Increase in atomic mass,B,Radius decreases because nuclear charge increases while shielding remains constant. Option A fails as shielding does not increase across a period.,Atomic Radii,Easy,Chemistry,Chemical Bonding
Two elements with an electronegativity difference of 2.1 react to form a compound. What is the most likely nature of the chemical bond formed?,Non-polar Covalent Bond,Polar Covalent Bond,Coordinate Covalent Bond,Ionic Bond,D,Ionic bonds require electronegativity difference above 1.7. Option B is wrong because 2.1 is far above the covalent threshold of 1.7.,Electronegativity Difference,Easy,Chemistry,Chemical Bonding
"In the formation of the ammonium ion (NH4+), the nitrogen atom provides both electrons for the bond with a proton. This is:",A polar covalent bond,A coordinate covalent bond,An ionic bond,A metallic bond,B,"Nitrogen donates its lone pair to the proton. Option C is incorrect because electrons are shared in coordinate bonds, not transferred.",Coordinate Covalent Bond,Medium,Chemistry,Chemical Bonding
Carbon tetrachloride (CCl4) is a non-polar solvent despite having polar C-Cl bonds. This lack of a net dipole is due to:,Low electronegativity of Carbon,High electronegativity of Chlorine,Symmetrical tetrahedral geometry,Presence of lone pairs on Carbon,C,"Symmetrical tetrahedral geometry cancels dipole moments in CCl4. Option B fails because even with high electronegativity, symmetry results in non-polarity.",Dipole Moment,Medium,Chemistry,Chemical Bonding
"According to VSEPR theory, the bond angle in Ammonia (NH3) is 107.5 degrees instead of 109.5 degrees. This deviation occurs because:",Bond pairs repel each other more than lone pairs,Lone pair occupies more space than bond pairs,Nitrogen atom undergoes sp2 hybridization,Three hydrogen atoms are too large to fit,B,Lone pair-bond pair repulsion reduces the angle from 109.5 to 107.5. Option A refers to the ideal tetrahedral angle without lone pairs.,VSEPR Theory,Easy,Chemistry,Chemical Bonding
"During the formation of ethene (C2H4), each carbon atom undergoes sp2 hybridization. What is the expected H-C-H bond angle in this molecule?",109.5 degrees,120 degrees,180 degrees,104.5 degrees,B,The sp2 geometry is trigonal planar with 120-degree angles. Option A fails because 109.5 degrees is characteristic of tetrahedral sp3 hybridization.,Hybridization,Medium,Chemistry,Chemical Bonding
Molecular Orbital Theory explains the paramagnetic behavior of Oxygen (O2). This property is attributed to the presence of:,Two unpaired electrons in antibonding orbitals,One unpaired electron in a bonding orbital,Completely filled molecular orbitals,Delocalized electrons across the molecule,A,MOT predicts two unpaired electrons in pi-star antibonding orbitals. Option C fails as it describes a diamagnetic substance with all electrons paired.,Molecular Orbital Theory,Hard,Chemistry,Chemical Bonding
Water has a significantly higher boiling point (100 C) compared to Hydrogen sulfide (-60 C). This is primarily due to:,Greater molar mass of water,Extensive intermolecular hydrogen bonding,Stronger London dispersion forces,Higher electronegativity of Sulfur,B,"Intermolecular hydrogen bonding increases the energy needed for boiling. Option D fails because Oxygen is more electronegative than Sulfur, not less.",Hydrogen Bonding,Easy,Chemistry,Chemical Bonding
The triple bond in a Nitrogen molecule (N2) is extremely stable. What is the approximate bond energy required to break it?,436 kJ/mol,946 kJ/mol,348 kJ/mol,163 kJ/mol,B,The nitrogen triple bond is exceptionally strong due to high electron density. Option A is the bond energy for hydrogen.,Bond Energy,Hard,Chemistry,Chemical Bonding
"The first ionization energy of Sodium is 496 kJ/mol, but the second ionization energy jumps to 4562 kJ/mol because:",The second electron is a valence electron,The electron is removed from a stable inner shell,The nuclear charge decreases after the first ionization,Shielding effect increases significantly,B,Removing an electron from a stable neon-like core requires massive energy. Option A fails as it describes the easier first ionization process.,Ionization Energy,Medium,Chemistry,Chemical Bonding
"While electronegativity usually tracks with electron affinity, Chlorine has a higher electron affinity than Fluorine. This exception exists because:",Fluorine has a higher nuclear charge,Chlorine has less inter-electronic repulsion,Fluorine's 2p subshell is very large,Chlorine is more electronegative than Fluorine,B,Chlorine's larger size reduces electron-electron repulsion compared to Fluorine. Option D fails because Fluorine is actually more electronegative than Chlorine.,Electron Affinity,Medium,Chemistry,Chemical Bonding
A sigma (σ) bond is formed by the linear overlap of atomic orbitals. This bond is characterized by:,Maximum electron density on the bond axis,Electron density above and below the axis,Formation by parallel overlap of p-orbitals,Lower bond energy than a pi bond,A,"Head-on overlap creates a stable, symmetrical sigma bond. Option B refers to pi bonds formed by lateral or parallel orbital overlap.",Sigma Bond,Easy,Chemistry,Chemical Bonding
