Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,What is the Islamic term for the period a woman must wait after the death of her husband or a divorce before she can remarry?,Iddah,Khul',Faskh,Li'an,A
2,"Which prophet was tested by Shaitan (Satan) at three places during a divine command, symbolizing the ritual of stoning the Jamarat?",Prophet Ibrahim (AS),Prophet Isma'il (AS),Prophet Musa (AS),Prophet Adam (AS),A
3,"The ""Hajj"" pilgrimage was made obligatory for Muslims in which year of the Hijra?",7 AH,8 AH,6 AH,9 AH,D
4,Who killed Walid bin Uqbah in the Battle of Badr?,Hazrat Khalid bin Waleed,Hazrat Ali,Hazrat Hamza,None of these,B
5,Muslims offered their first Salat al-Eid in the month of Shawwal of the 2nd Hijrah. When did they first offer the Salat of Eid al-Adha?,in Dhul Hijjah of the 2nd Hijrah,in Dhul Hijjah of the 3rd Hijrah,in Dhul Hijjah of the 4th Hijrah,None of these,A
6,How many Umrahs did the Holy Prophet perform in his life?,1,4,10,15,B
7,"What is the literal meaning of ""Jihad""?",Exemption,Sacrifice,Fight,Struggle,D
8,The longest Ayat of the Holy Quran is in which Surah:,Al-Ma'arij,Al-Baqarah,Al-Haqqah,None of these,B
9,"Who is titled ""Khateeb al-Anbiya"" (The Orator of the Prophets)?",Prophet Muhammad PBUH,Prophet Ibrahim (A.S),Prophet Musa (A.S),Prophet Shuaib (A.S),D
10,When was the Hijri calendar introduced?,16 AH,17 AH,15 AH,18 AH,B
11,What was the age of Hazrat Uthman (RA) at the time of his martyrdom?,82,90,70,None of these,A
12,Umm al-Masakin was the title given to one of the wives of the Prophet (SAW):,Hazrat Sawdah (R.A.),Hazrat Zaynab bint Jahsh (R.A.),Hazrat Zaynab bint Khuzaymah (R.A.),Hazrat Safiyyah (R.A.),C
13,"What is the meaning of the name of Muhammad (PBUH), ""Muddathir""?",The Wrapped One,The Sun,The Guided,None,A
14,What are the literal meanings of Hajj?,Intending to visit,Going for Hajj,Kissing the stone,Performing Tawaf,A
15,How many Rukus are there in the Qur'an?,358,558,458,658,B
16,"After the Quran and Hadith, the third source of Islamic jurisprudence is:",Ijma,Namaz,Zakat,Hajj,A
17,How many infidels were killed in the Battle of Badr?,170,270,370,70,D
18,"""There is no god but Allah, Hazrat Muhammad (SAW) is the Messenger of Allah."" This is the translation of",Kalima-e-Shahadat,Kalima-e-Tayyaba,Iman-e-Mufassal,Iman-e-Mujammal,B
19,When did the second migration to Habashah take place?,in 605 AD,in 615 AD,in 630 AD,in 620 AD,B
20,"In Surah al-Kahf, a dog is also mentioned with Ashab al-Kahf. What was the name of the dog?",Qitmir,Qahoor,Qitala,Qitmaar,A
21,"In 9 AH, there was a severe drought and scarcity of water in:",Madinah,Makkah,Hijaz,Khyber,A
22,Which Surah is known as Thuluth al-Qur'an?,Al-Kawthar,Al-Ikhlas,An-Nas,Ar-Rahman,B
23,What was the real name of Imam Abu Hanifa?,Nu'man ibn Nawfal,Nu'man ibn Thabit,Nu'man ibn Warqa,Nu'man ibn Talha,B
24,"At the conquest of Makkah, which Surah did the Holy Prophet (PBUH) recite?",First 5 verses of Surah Al-Baqarah,Surah Yasin,Surah Al-Ikhlas,Surah Al-Fatihah,D
25,Ramadan is the ________ month of the Islamic calendar.,9th,11th,10th,12th,A
26,Who was the childhood friend of the Holy Prophet Muhammad (S.A.W)?,Hazrat Abu Bakr (R.A),Hazrat Umar (R.A),Hazrat Usman (R.A),Hazrat Ali (R.A),A
27,Name the prayers in which there is no change in Farz Raka'at in case of Qasr.,Zuhr,Maghrib,Witr,All of them,B
28,When did Hazrat Hamza (RA) embrace Islam?,in the Fifth Nabvi,in the Sixth Nabvi,in the Seventh Nabvi,in the Fourth Nabvi,A
29,The Berber general who led the initial Muslim conquest of Spain alongside Tariq ibn Ziyad was:,Musa ibn Nusayr,Abd al-Aziz ibn Musa,Abd al-Rahman al-Ghafiqi,Yusuf ibn Tashfin,A
30,Which was the agreement that was titled 'Fath-um-Mubeen' without fighting a battle?,Treaty of Makkah,Meesaq-e-Madinah,Treaty of Hudaibiya (Sulh-e-Hudaibiya),None of the above,C
31,Ghazwa Tabook ke moqa par aap (SAW) ne niyabat ke liye kis ko muqarrar kiya?,Hazrat Abu Bakr Siddiq,Hazrat Umar,Hazrat Usman,Hazrat Ali,D
32,Walima is the Islamic term for the:,Dowry given to the bride,Engagement ceremony,Wedding feast hosted by the groom after consummation,Marriage proposal,C
33,"Kalimah Tayyaba, Salat, Zakat, Hajj, and Soam are the fundamental ____ of Islam.",Beliefs,Faiths,Pillars,Corners,C
34,In which year did the Holy Prophet (PBUH) perform his last pilgrimage (Hajj)?,7 A.H,8 A.H,9 A.H,10 A.H,D
35,Which of the following Ghazwa(s) took place in the 8th year of Hijra?,Ghazwa al-Fath (Conquest of Makkah) and Ghazwa Hunayn,Ghazwa al-Ta'if and Ghazwa Mu'tah,All of them,None of these,A
36,The Treaty of Madinah was a formal agreement between the Prophet (PBUH) and which other community?,The Christians of Najran,The Jewish tribes of Madinah,The Quraysh of Makkah,The Roman Empire,B
37,The daughter of which Jewish chief married the Prophet (SAW)?,Akhtab bin Yahya,Huyayy bin Akhtab,Kinana bin Hatim,None of these,B
38,Which Prophet's wife is mentioned in the Quran as an evil example for her disbelief?,Both B and C,Prophet Lut's (AS) wife,Prophet Nuh's (AS) wife,Prophet Ibrahim's (AS) wife,A
39,Babylon' is a famous ancient city of:,Iraq,Jordan,Kuwait,Greece,A
40,What is the function of Hazrat Mika'il (A.S.)?,To arrange rain,To supply food,Both of these,None of these,C
41,The miracle of the she-camel is related to which prophet?,Hazrat Musa (AS),Hazrat Salih (AS),Hazrat Ibrahim (AS),None of these,B
42,From which word is 'Aqeeda' derived?,Aqd,Aqaid,Aqleed,Taqleed,A
43,The Prophet recited which Surah at the conquest of Makkah?,Ankabut,Fath,Anfal,None of these,B
44,Which Prophet's story is mentioned most frequently in the Quran?,Prophet Ibrahim (AS),Prophet Musa (AS),Prophet Isa (AS),Prophet Yusuf (AS),B
45,How many undesirable (Makruh) acts of Ihram are there?,6,7,5,8,A
46,The mountains would break by the miracle of,Hazrat Yusuf (A.S.),Hazrat Ishaq (A.S.),Hazrat Yaqoob (A.S.),Hazrat Yahya (A.S.),C
47,Who met the Holy Prophet (SAW) on the first spiritual sky during Mi'raj?,Hazrat Harun (AS),Hazrat Adam (AS),Hazrat Isa (AS),Hazrat Sulayman (AS),B
48,Hazrat Ali (R.A.) belonged to:,Banu Adi,Banu Khazraj,Banu Hashim,Banu Aws,C
49,What is meant by 'Miqat?,Wearing of Ihram during Umrah,Wearing of Ihram during Hajj,Point where Ihram must be put on by pilgrims,Point where Tawaaf begins,C
50,Mount Uhud is located in:,Makkah,Madinah,Ta'if,Tabuk,B
51,"Which wife of the Prophet (PBUH) was known as ""Dhat al-Hijratayn"" (Possessor of the Two Migrations)?",Ruqayyah (RA),Sawda (RA),Zaynab bint Jahsh (RA),Umm Salama (RA),A
52,Queen Saba (Sheba) was the ruler of:,Egypt,Syria,Yemen,Taif,C
53,Approximately how many people embraced Islam in the period between the Treaty of Hudaybiyyah and the Conquest of Makkah?,5000,6000,3000,"Over 7,000",D
54,Who knew the language of the birds?,Hazrat Sulayman (AS),Hazrat Musa (AS),Hazrat Isa (AS),Hazrat Yusuf (AS),A
55,Name the Caliph whose parents were both from the Banu Hashim clan.,Umar (RA),Ali ibn Abi Talib (RA),Abu Bakr (RA),Uthman (RA),B
56,Najashi became a Muslim at the hands of,Hazrat Jafar,Usman,Saad bin Ubadah,None of these,A
57,What is the third Ashra of Ramazan called?,Ashra-e-Najat-e-Naar-e-Jahannam,Ashra-e-Maghfirat,Ashra-e-Rehmat,All of them,A
58,Between whom was the Charter of Medina concluded?,Muslims and Jews,Muslims and Non-Arabs,"Muslims, Jews, and other non-Muslims",None of these,C
59,How many Rukus are there in the Qur'an?,358,558,458,658,B
60,What was the name of the nation of Prophet Salih (AS)?,Bani Israel,Thamud,Talmud,None of these,B
61,Into which category of creature does the Qur'an put 'Iblis'?,Mala'ikah,Fire,Angel,Jinn,D
62,"The ""Reconquista"" is the historical term for the Christian reconquest of which territory from Muslim rule?",The Balkans,Sicily,Spain (Al-Andalus),The Levant,C
63,Which book was written by Hazrat Ali (RA)?,Kashf al-Mahjub,Nahj al-Balagha,Kitab al-Athar,None of these,B
64,Hajj al-Badal is the act of performing Hajj:,Only in conjunction with Umrah,For the second time,On behalf of someone who is unable to do so,During the month of Ramadan,C
65,To which tribe did Hazrat Umar (RA) belong?,Umayyad,Banu Adi,Banu Hashim,None of these,B
66,A tradition (hadith) whose chain of narrators is traced back only to a Companion of the Prophet (PBUH) is known as:,Mutawatir,Mawquf,Marfu',Maqtu',B
67,"Who compiled the first known work of Hadith, the ""Sahifah al-Sadiqah""?",Abu Bakr (RA),Imam Muslim,Abu Hurairah (RA),Abdullah ibn Amr (RA),D
68,Which method is used to prove the correctness of the matn of a hadith?,Riwayat,Dirayat,Sanad,None of these,B
69,Who killed the Jewish leader Ka'b ibn al-Ashraf for his treachery?,Muhammad ibn Maslamah (RA),Ali (RA),Abu Na'ilah (RA),Umar (RA),A
70,Which Surah of the Holy Quran throws light on the Halal and Haram of sacrificial animals?,Al-Ma'idah,Al-Imran,Al-Naml,Al-Ra'd,A
71,Name the treaty which was signed after Harb-e-Fijar.,Hilf al-Fudul,Half al-Quraish,Half al-Qais,Half al-Fijar,A
72,Hazrat Yusuf (AS) remained in the well for:,3 days,5 days,6 days,10 days,A
73,The compilation of Ahadith is called,Tadwin,Jama al-Hadith,Maariz,None of these,A
74,Name the first Sahabi who killed a disbeliever in the way of Allah.,Hazrat Sa'd ibn Abi Waqqas (RA),Hazrat Umar (RA),Hazrat Hamza (RA),Hazrat Ali (RA),A
75,"Fatimah, a notable woman from the era of the Battle of Uhud, was the sister of whom?",Sa'd ibn Abi Waqqas (RA),Khalid ibn al-Walid (RA),Umar ibn al-Khattab (RA),Ali ibn Abi Talib (RA),B
76,What is the ancient name of Makkah?,Yathrib,Bakkah,Mesopotamia,Transoxiana,B
77,What is the place called where pilgrims wear Ihram?,Meeqat,Muzdalifah,Safa,Arafat,A
78,"The ""Abbasid Revolution"" which overthrew the Umayyads began in which province?",Khorasan,Syria,Hijaz,Egypt,A
79,Makkah was conquered in:,8th Hijrah,9th Hijrah,10th Hijrah,12th Hijrah,A
80,Who was the most prolific author in Muslim history?,Ibn Battuta,Ibn Kathir,Ibn Jarir Tabari,Ibn Sa'd,C
81,Who was the commander of the Muslim army in the Battle of Jasr?,Khalid ibn al-Walid,Abu Ubaid al- Thaqfi,Talha ibn Ubaydullah,Hazrat Zubair,B
82,The scholar Al-Khwarizmi made pioneering contributions to which field?,Algebra,Medicine,Optics,Geography,A
83,Which Prophet's story involves his brothers conspiring against him and throwing him into a well?,Prophet Isma'il (AS),Prophet Musa (AS),Prophet Yusuf (AS),Prophet Dawud (AS),C
84,How many Madni Surahs of the Holy Quran are there:,26,28,30,32,B
85,"How many categories of people are eligible to receive Zakat and Ushr, according to Quranic orders?",10,8,6,4,B
86,The 'Ghassanids' and 'Lakhmids' were Arab client kingdoms of which two rival empires?,Rome and Persia,Abyssinia and Yemen,Egypt and Syria,Persia and India,A
87,Who is called Umar-e-Sani?,Hazrat Umar bin Abdullah,Hazrat Umar bin Khattab,Hazrat Abdullah bin Umar,Hazrat Umar bin Abdul Aziz,D
88,Hazrat Ali (RA) was martyred in:,35 Hijrah,40 Hijrah,45 Hijrah,50 Hijrah,B
89,The Badshahi Mosque of Lahore was built by:,Akbar,Shah Jahan,Jehangir,Aurangzeb,D
90,"Which companion was nicknamed ""The Orator of the Prophet"" (Khatib al-Nabi)?",Thabit ibn Qays (RA),Hassan ibn Thabit (RA),Ka'b ibn Malik (RA),Abdullah ibn Rawaha (RA),A
91,To which clan of the Quraish did the family of Muhammad (PBUH) belong?,Bani Tamim,Bani Umayyah,Bani Asad,Bani Hashim,D
92,The book revealed to Hazrat Daud (A.S.) was the,Zabur,Tawrat,Quran,Injeel,A
93,In which Hijri year did the Battle of Uhud take place?,2 AH,3 AH,4 AH,5 AH,B
94,"At which occasion is Salat al-Istisqa offered, in which Muslims pray while keeping their hands high and their palms towards the ground?",Rain,Eclipse,War,Drought,D
95,The first Ghazwa (battle participated in by the Prophet PBUH) of Islam is:,Abwa (Waddan),Badr,Uhud,None of these,A
96,Which King tore the letter of the Prophet (PBUH) into pieces?,Khusrow Pervaiz,Muqawqis,Heraclius,Najashi,A
97,Hazrat Nabi Kareem (PBUH) ki wiladat waqia al-feel ke kitne roz baad hui?,25 roz baad,35 roz baad,40 roz baad,50 roz baad,D
98,"The ""Dar al-Tiraz"" was an official state institution in the medieval Islamic world responsible for producing:",Currency and coins,Paper and manuscripts,Maps and astronomical charts,High-quality textiles and robes of honor,D
99,The assassination of which Caliph led to the first civil war (Fitna) in Islam?,Umar (RA),Uthman (RA),Abu Bakr (RA),Ali (RA),B
100,Which prophet of Allah had the minimum age?,Hazrat Ibrahim (A.S.),Hazrat Muhammad (S.A.W.),Hazrat Musa (A.S.),Hazrat Isa (A.S.),D
101,How many times has the name Muhammad (PBUH) been mentioned in the Qur'an?,4 times,6 times,2 times,10 times,A
102,"Who was the first to be given the title ""Amir al-Mu'minin"" (Commander of the Faithful)?",Umar (RA),Ali ibn Abi Talib (RA),Uthman (RA),Abu Bakr (RA),A
103,"In Fiqh, a condition stipulated in a contract is known as a:",Sabab,Rukn,Shart,Mani',C
104,"When did the Holy Prophet (PBUH) perform ""Hajjat-ul-Wida""?",in 630 AD,in 632 AD,in 633 AD,in 636 AD,B
105,"The ""Seven Sleepers of Ephesus"" (Ashab al-Kahf) are mentioned in which Surah of the Quran?",Al-Kahf,Yusuf,Al-Imran,Al-Anbiya,A
106,Who was the first person to take the pledge of allegiance (Bay'ah) to Uthman (RA) as Caliph?,Ali ibn Abi Talib (RA),Amir Muawiya (RA),Abd al-Rahman ibn Awf (RA),Sa'd ibn Abi Waqqas (RA),C
107,"The ""Qur'an Gate"" (Darvazeh Qur'an) is a historical landmark in which Iranian city?",Tehran,Isfahan,Shiraz,Yazd,C
108,"The ""Al-Aqsa Mosque,"" the third holiest site in Islam, is located in the Old City of:",Jerusalem,Makkah,Madinah,Hebron,A
109,The theme of Hijrah (migration) and the role of the Muhajirun and Ansar are prominently mentioned in which Surah?,Al-Fatihah,Al-Tawbah and Al-Anfal,Al-Baqarah,Al-Imran,B
110,Which among the following is the third source of Islamic Law?,Hadith,Ijma,Qiyas,Istehsan,B
111,What is meant by Zabur?,Guidance,Book written in big letters,Book of instruction,Book of light,B
112,How many Ansar from Madinah embraced Islam in the 11th Nabvi year?,Four,Five,Six,Seven,C
113,"The Quranic word ""Ara'ayta"" means:",Have you seen?,Have you heard?,Do you listen?,None of these,A
114,"In the 10th year of the Holy Prophet's (PBUH) mission, Hazrat Khadijah (RA) and Hazrat Abu Talib died. This year is called:",Amm-ul-Fil,Amm-ul-Huzn,Amm-ul-Haq,None of these,B
115,Muhammad ibn Ismail al-Bukhari wrote which book of Hadith:,Sahih al-Bukhari,Sahih Muslim,Tirmizi,Abu Dawood,A
116,"The people of which oasis were given the option to embrace Islam or pay half their produce, and they chose the latter?",The Jews of Khyber,The Jews of Qaynuqa,The Jews of Sawiq,The Jews of Fadak,D
117,How much is the rate of Ushr on the produce of artificially irrigated land?,1 by 20,1 by 10,1 by 11,1 by 15,A
118,Name the wife of Harun al-Rashid who was the mother of Al-Amin and Al-Mamun:,Zubaidah,Farzana,Umamah,Buran,A
119,He was called 'Abu al-Bashar al-Thani':,Hazrat Ibrahim (AS),Hazrat Nuh (AS),Hazrat Adam (AS),Hazrat Musa (AS),B
120,When was the first wahi revealed to the Holy Prophet (PBUH)?,on 17th Ramadan,on 18th Ramadan,on 19th Ramadan,on 20th Ramadan,A
121,What is the title of Hazrat Ibrahim (A.S.)?,Khalil Ullah,Kalim Ullah,Saif Ullah,Jad-ul-Anbia,A
122,Which of the following was the first Commander-in-Chief of the Islamic Army?,Hazrat Ali (R.A.),Hazrat Hamza (R.A.),Hazrat Umar (R.A.),Hazrat Usman (R.A.),B
123,"The first ""Sultan"" to be officially granted the title by the Abbasid Caliph was the Seljuk ruler:",Alp Arslan,Malik-Shah,Sanjar,Tughril Beg,D
124,"The ""Minbar"" (pulpit) in a mosque was first introduced by:",Uthman (RA),Umar (RA),The Prophet Muhammad (PBUH),Amr ibn al-As (RA),C
125,What is the literal meaning of apostasy (Irtidad)?,To turn back,To reject,To associate partners (commit shirk),To die in disbelief,A
126,Whom did the Quraysh give command of their cavalry to intercept the Muslims at Hudaybiyyah?,Khalid ibn al-Walid and Ikrimah ibn Abi Jahl,Abu Sufyan,Both of these,None of these,A
127,Meaning of Wahi is:,Inspiration,Expression,Excitation,Revelation,D
128,Which animal was provided by Allah for sacrifice in place of Hazrat Ismail (A.S.)?,Camel,Goat,Cow,Ram,D
129,"If the narrators' chain reaches the Prophet (PBUH), what is the narration called?",Marfu',Sanad,Mu'aasal,None of these,B
130,Hajj is not completed unless you go to:,Makkah,Madinah,Mina,Arafat,D
131,Who gave Ghusl (ritual washing) to the body of the Holy Prophet (PBUH)?,Umar (RA),Abu Bakr (RA),Zayd ibn Harithah (RA),Ali (RA),D
132,Zou-Shadatain is the title of ________?,Hazrat Khuzaima bin Sabit R.A,Hazrat Huzaifa bin Yaman R.A,Hazart Ammar Bin Yasir R.Z,Hazrat Abu Zar Ghafari R.A,A
133,The hypocrites of Madinah built which mosque contrary to Masjid-e-Nabawi?,Masjid-e-Haram,Masjid-e-Aqsa,Masjid-e-Dirar,Masjid-e-Ubayy,C
134,How many circles did Hazrat Hajra complete while running between Safa and Marwa?,Five,Six,Seven,Ten,C
135,Did the command to prostrate before Adam prove his superiority?,In angels,In jinn,Over all creation,None of these,C
136,"The first person to hold the office of ""Qadi"" (judge) of Egypt after the Muslim conquest was:",Shurayh al-Qadi,Ibn Abi Layla,Ka'b ibn Sur,Qays ibn Abi al-As,D
137,What is Fiqh?,The science of Islamic Law,The science of the Qur'an,The science of the Sunnah,None of them,A
138,What was the name of the sword the Prophet (PBUH) gave to Ukasha ibn Mihsan (RA) in the Battle of Badr?,Awn,Aakash,Aailiyer,Zulfiqar,A
139,What does Zamzam mean?,Al-Shifa,To stop,To flow,Al-Rahmah,B
140,Which book is called the Old Testament?,Zubur,Torah,Injeel,Quran,B
141,When did Hazrat Abu Bakr (R.A.) die?,631 A.D.,632 A.D.,633 A.D.,634 A.D.,D
142,Which river is most often mentioned in the Bible?,Colorado,Jordan,Darling,Ganges,B
143,"How many prisoners of war, in thousands, were taken in the Battle of Hunayn?",6,7,5,4,A
144,On which date is the Wuquf-e-Arafat (Standing at Arafat) performed during Hajj?,On 9th Dhul-Hijjah,On 3rd Ramadan,On 2nd Safar,On 18th Shawwal,A
145,Name the animal on which the Holy Prophet (PBUH) travelled in the Mi'raj.,Camel,Horse,Buraq,None of these,C
146,"The ""Almohad"" movement, which later established a caliphate, originated in:",The Atlas Mountains of Morocco,Egypt,Spain,Tunisia,A
147,Which companion of the Holy Prophet (SAW) recited verses of the Holy Quran in the presence of the Najjashi?,Hazrat Ali (RA),Hazrat Usman (RA),Hazrat Jaffar Tayyar (RA),Hazrat Zaid Bin Haris (RA),C
148,Israel was the son of:,Hazrat Lut (AS),Hazrat Ishaq (AS),Hazrat Yusuf (AS),Hazrat Yunus (AS),B
149,How many total words are there in the Quran?,77.43,87.655,88.988,90.876,A
150,Who was the maternal grandfather of Umar (RA)?,Hisham ibn al-Mughirah,Utbah ibn Rabi'ah,Hashim ibn al-Mughirah,Walid ibn al-Mughirah,C
151,"During the Hudaybiyyah negotiations, how many Makkans who attacked the Muslim camp were captured, according to varying historical reports?",Exactly 85,Between 40 and 80,Exactly 100,Exactly 25,B
152,"About whom did Abbas (RA) say to the Prophet (PBUH) on the conquest of Makkah, ""O Prophet of Allah, he is a proud man. Would you not grant him some privilege""?",Ikrimah ibn Abi Jahl,Abu Sufyan,Budayl ibn Warqa,Hakim ibn Hizam,B
153,"The ""Taifas"" were small, independent Muslim principalities that emerged in Spain after the fall of the:",Nasrid Kingdom of Granada,Almohad Caliphate,Umayyad Caliphate of Cordoba,Almoravid Empire,C
154,Hazrat Ali (R.A.) ruled for,"4 years, 9 months","10 years, 5 months","5 years, 9 months",None of these,A
155,The largest army that ever marched out of Madinah was in ______.,Ghazwa Uhud,Ghazwa Tabuk,Ghazwa Sawiq,Ghazwa Ahzab,B
156,Who led the funeral prayer of Hazrat Abu Bakr (RA)?,Hazrat Abdur Rahman bin Abu Bakr,Hazrat Umar (RA),Hazrat Sa'd bin Abi Waqqas (RA),None of these,B
157,The tenure of Khilafat of Hazrat Ali (RA) was:,4 years and one month,3 years,5 years,None of these (4 years and 9 months),D
158,Which Umayyad ruler was called Umar-e-Sani?,Ameer Muawiya,Marwan,Abdul-Malik,Umar bin Abdul Aziz,D
159,"In the 10th Nabawi year, a very dear and near uncle of the Holy Prophet (PBUH) died. What was his name?",Hazrat Hamza (R.A),Hazrat Abu Talib (R.A),Hazrat Zubair (R.A),Hazrat Abbas (R.A),B
160,Where did Banu Thamud live?,Wadi al-Qura,Wadi al-Hijr,Both of these,None of these,C
161,In which religion is the belief in all angels a fundamental part of faith?,Christianity,Islam,Judaism,All of them,B
162,How is the lineage of Hazrat Umar (RA) connected to the Prophet (PBUH)?,Adiyy,Ka'b,Qaswa,None of these,B
163,Name the prophet who introduced the science of astronomy.,Hazrat Idrees (A.S.),Hazrat Isa (A.S.),Hazrat Musa (A.S.),Hazrat Lut (A.S.),A
