Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which element has the highest electron affinity in group 17?,Fluorine,Chlorine,Bromine,Iodine,B,Chlorine has the highest electron affinity in group 17 due to its optimal size and effective nuclear charge.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The most stable oxidation state of Tl is?,+1,+3,+2,-1,A,"Tl(+1) is more stable due to inert pair effect, where the heavier elements in a group tend to form ions with lower charge.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
Which of the following is the strongest reducing agent?,Li,Na,K,Cs,D,Cs has the lowest ionization energy and is the strongest reducing agent among the alkali metals.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The element with the highest ionization energy in group 2 is?,Be,Mg,Ca,Ba,A,Be has the highest ionization energy due to its small size and relatively high effective nuclear charge.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The compound that is colored is?,Na2O,Na2O2,KO2,K2O,C,"KO2 is colored due to the presence of superoxide ion (O2-), which has an unpaired electron.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The least reactive alkali metal is?,Li,Na,K,Cs,A,Li is the least reactive due to its high ionization energy and relatively high electronegativity.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The alkaline earth metal that reacts with water at room temperature is?,Mg,Ca,Sr,Ba,B,"Ca reacts with water at room temperature, releasing hydrogen gas.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The compound that is not a peroxide is?,Na2O2,BaO2,KO2,CaO2,C,"KO2 is a superoxide, not a peroxide, as it contains the O2- ion.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The most electropositive element in the periodic table is?,Cs,Fr,K,Na,B,Fr is the most electropositive due to its low ionization energy and high atomic radius.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The element that is a liquid at 30°C is?,Ga,Cs,Fr,Hg,A,"Ga has a low melting point (29.76°C), making it a liquid at 30°C.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The strongest base among the following is?,LiOH,NaOH,KOH,CsOH,D,"CsOH is the strongest base due to the high electropositivity of Cs, making it a strong electrolyte.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The ion that is not colored is?,Ti³⁺,V³⁺,Cr³⁺,Sc³⁺,D,"Sc³⁺ has no unpaired electrons, hence it is colorless.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The element that has the highest tendency to form complexes is?,Be,Mg,Ca,Ba,A,"Be has a high charge density, making it more likely to form complexes due to its ability to attract ligands.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The compound that is not a strong oxidizing agent is?,Cl2,Br2,I2,F2,C,I2 is a weaker oxidizing agent compared to the other halogens due to its lower electronegativity and reactivity.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The alkali metal that reacts with nitrogen to form a nitride is?,Li,Na,K,Cs,A,"Li reacts with N2 to form Li3N, a nitride, due to its high reactivity and small size.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The element that exhibits the most negative oxidation state is?,C,Si,Ge,N,D,"N can exhibit a -3 oxidation state, which is one of the most negative among the given elements.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The compound that is a strong reducing agent is?,NaBH4,LiAlH4,NaH,CaH2,B,"LiAlH4 is a strong reducing agent due to the presence of AlH4-, which can donate hydride ions.",NET,Conceptual,Medium,Chemistry,S and P Block Elements
The alkaline earth metal that forms a covalent compound with hydrogen is?,Be,Mg,Ca,Ba,A,BeH2 is a covalent compound due to the small size of Be and its relatively high electronegativity.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The element that has the lowest melting point among the alkali metals is?,Li,Na,K,Cs,D,Cs has the lowest melting point due to its low ionization energy and weak interatomic forces.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
The halide that is most soluble in water is?,LiF,NaCl,KF,CsI,D,CsI is highly soluble in water due to its low lattice energy and high hydration energy.,NET,Conceptual,Medium,Chemistry,S and P Block Elements
Which of the following is the most electropositive element?,Li,Na,K,Cs,D,"Electropositivity increases down the group, Cs being at the bottom of group 1 is the most electropositive.",ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
The element with atomic number 12 belongs to which group?,Group 1,Group 2,Group 13,Group 14,B,"Atomic number 12 corresponds to Mg, which is in group 2.",ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
Which of the following alkali metals has the highest melting point?,Li,Na,K,Rb,A,Li has the highest melting point among alkali metals due to its small size and strong metallic bonding.,ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
The oxide of which of the following elements is amphoteric?,Na,Mg,Al,Si,C,Al2O3 is amphoteric as it reacts with both acids and bases.,ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
Which of the following is a strong reducing agent?,Na,Al,LiAlH4,NaBH4,C,LiAlH4 is a strong reducing agent used in organic chemistry to reduce various functional groups.,ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
The element with the electronic configuration [Ar] 3d10 4s2 4p3 belongs to which group?,Group 14,Group 15,Group 16,Group 17,B,"The given configuration corresponds to As, which is in group 15.",ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
The ionization energy of which of the following elements is the highest?,He,Ne,Ar,Kr,A,He has the highest ionization energy due to its stable 1s2 configuration.,ECAT,Conceptual,Medium,Chemistry,S and P Block Elements
