Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A chemist measures the equilibrium concentrations for the H2 + I2 ℑ 2HI reaction at 444°C as [H2]=0.1 M, [I2]=0.1 M, and [HI]=0.4 M. What is the value of Kc?",4.0,8.0,1.6,16.0,D,Kc equals [HI]^2 / ([H2][I2]); substituting values gives (0.4)^2 / (0.1 * 0.1) = 16. Option A fails by forgetting to square the HI concentration.,Kc Calculation,Easy,Chemistry,Chemical Equilibrium
"During the thermal decomposition of PCl5 into PCl3 and Cl2 in a closed vessel, what is the mathematical relationship between Kp and Kc?",Kp = Kc,Kp = Kc(RT),Kp = Kc(RT)²,Kp = Kc(RT)⁻¹,B,"Kp = Kc(RT)^Δn; here Δn = 2 - 1 = 1, so Kp = Kc(RT). Option A assumes Δn is zero, which only happens when moles are equal.",Kp and Kc Relationship,Medium,Chemistry,Chemical Equilibrium
A laboratory technician prepares a solution of Sodium Hydroxide (NaOH) with a concentration of 0.001 M at 25°C. What is the pH of this solution?,3,14,11,10,C,"For NaOH, [OH-] = 0.001 M, so pOH = 3; since pH + pOH = 14, pH = 11. Option D is the pOH, not the pH.",pH of Bases,Easy,Chemistry,Chemical Equilibrium
"In a 1.0 dm³ flask, the equilibrium mixture for N2O4 ℑ 2NO2 contains 0.1 moles of N2O4 and 0.4 moles of NO2. Calculate the Kc value.",1.6 mol dm⁻³,0.4 mol dm⁻³,4.0 mol dm⁻³,0.16 mol dm⁻³,A,"In 1 dm³, moles equal molarity. Kc = [NO2]^2 / [N2O4] = (0.4)^2 / 0.1 = 1.6. Option B fails by not squaring the product concentration.",Kc Calculation,Medium,Chemistry,Chemical Equilibrium
The molar solubility of Lead (II) chloride (PbCl2) in water is 0.01 mol/dm³ at 25°C. What is the calculated solubility product (Ksp) for this salt?,1 × 10⁻⁴,4 × 10⁻⁶,2 × 10⁻⁶,4 × 10⁻⁴,B,Ksp for PbCl2 = 4s³; substituting s = 0.01 gives 4 * (10⁻²)³ = 4 × 10⁻⁶. Option A incorrectly uses the s² formula for AB type salts.,Solubility Product,Hard,Chemistry,Chemical Equilibrium
An acidic buffer is prepared using 0.1 M sodium acetate and 0.01 M acetic acid (pKa = 4.74). What is the pH of the resulting buffer?,4.74,3.74,5.00,5.74,D,pH = pKa + log([Salt]/[Acid]); pH = 4.74 + log(0.1/0.01) = 4.74 + 1 = 5.74. Option A is just the pKa without the log ratio.,Buffer Solution pH,Medium,Chemistry,Chemical Equilibrium
"According to the PTB textbook, what is the value of the ionic product of water (Kw) at exactly 25°C?",1.0 × 10⁻ⁱ⁴ mol²dm⁻⁶,14.0 mol²dm⁻⁶,1.0 × 10⁻⁷ mol²dm⁻⁶,7.0 mol²dm⁻⁶,A,"At 25°C, Kw = [H+][OH-] = 10⁻¹⁴. Option B is the pKw value, which is the negative log, not the product itself.",Ionic Product of Water,Easy,Chemistry,Chemical Equilibrium
"For the reaction A + B ℑ C + D, Kc is 10. If a mixture contains [A]=1, [B]=1, [C]=2, [D]=2, what is the predicted direction?",The system is already at equilibrium,The reaction proceeds in the reverse direction,The reaction proceeds in the forward direction,The reaction will stop completely,C,"Qc = [C][D] / ([A][B]) = (2*2)/(1*1) = 4. Since Qc (4) < Kc (10), the reaction proceeds forward. Option A is incorrect because Qc ≠ Kc.",Reaction Quotient,Medium,Chemistry,Chemical Equilibrium
Calculate the molar solubility of AgCl (Ksp = 1.0 × 10⁻ⁱ⁰) in a 0.1 M solution of Sodium Chloride (NaCl) at 25°C.,1.0 × 10⁻⁵ mol/dm³,1.0 × 10⁻⁹ mol/dm³,1.0 × 10⁻ⁱⁱ mol/dm³,1.0 × 10⁻ⁱ⁰ mol/dm³,B,Common ion effect: [Cl-] ≈ 0.1 M from NaCl. Ksp = [Ag+][Cl-] → 10⁻ⁱ⁰ = [Ag+](0.1) → [Ag+] = 10⁻⁹. Option A ignores the NaCl concentration.,Common Ion Effect,Hard,Chemistry,Chemical Equilibrium
A student finds that a hydrochloric acid solution has a concentration of 0.0001 M. What is the pOH of this solution at 25°C?,4,7,10,14,C,"HCl is a strong acid; [H+] = 10⁻⁴ M. pH = 4, so pOH = 14 - 4 = 10. Option A is the pH value, not the pOH.",pOH Calculation,Easy,Chemistry,Chemical Equilibrium
