Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,What is the radius of a basketball with a volume of approximately 6400 cm³?,10.52 cm,11.52 cm,12.52 cm,None of these,B
2,"Two varieties of wheat - A and B costing Rs. 9 per kg and Rs. 15 per kg were mixed in the ratio 3 : 7. If 5 kg of the mixture is sold at 25% profit, find the profit made?",Rs. 13.50,Rs. 14.50,Rs. 15.50,Rs. 16.50,D
3,"8 men can dig a pit in 20 days. If a man works half as much again as a boy, then 4 men and 9 boys can dig a similar pit in:__________?",12 days,16 days,18 days,20 days,B
4,What sum of money put at C.I amounts in 2 years to Rs.8820 and in 3 years to Rs.9261?,Rs0.80 ,Rs0.84 ,Rs0.75 ,None of these,A
5,"Taimoor left for his school at 6 am by foot and walked at the rate of 2 kmph. After reaching his school he found it was closed and immediately turned back and started walking back to his home at 3 kmph. If he reached his home at 9 am, find the distance",2.5 km,7.2 km,7 km,3.6 km,D
6,"Complete the sequence: 6, 11, ____, 27.",16,17,18,19,C
7,There are four prime numbers written in ascending order of magnitude. The product of the first three is 7429 and of the last three is 12673. Find the fourth number?,17,29,23,31,B
8,"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is__________?",53.33,54.68,55,None of these,B
9,"If four coins are tossed, the probability of getting two heads and two tails is__________?",03-Aug,06-Nov,02-May,04-May,A
10,"Find the value of x in the series: x, 9, 25, 49, 81, 121, ... Number Series",1,3,5,7,A
11,The length and breadth of a rectangle are increased by 30% and 20% respectively from the side length of an original square. By what percent does the area of the new rectangle exceed the area of the square?,56%,46%,65%,26%,A
12,"A and B together can complete a work in 12 days,. A alone can complete it in 20 days. If B does the work only for half a day daily, then in how many days A and B together will complete the work?",10 days,11 days,15 days,20 days,C
13,"If X% of 25/2 is 150, what is the value of X?",1000,1200,1400,None of these,B
14,The ratio of the area of a square to that of the square drawn on its diagonal is?,2:05,3:04,3:05,1:02,D
15,"If, x - y = 6 and x + y = 16, then Linear Equations",x=5 and y = 3,x=8 and y= 5,x=10 and y= 3,x=11 and y= 5,D
16,A rectangular carpet has an area of 60 sq.m its diagonal and longer side together equal 5 times the shorter side. The length of the carpet is:_________?,5m,12m,13m,14.5m,B
17,"Two pipes A and B can separately fill a tank in 12 and 15 minutes respectively. A third pipe C can drain off 45 liters of water per minute. If all the pipes are opened, the tank can be filled in 15 minutes. What is the capacity of the tank?",480 liters,540 liters,600 liters,675 liters,B
18,A circular path of 13 m radius has marginal walk 2 m wide all round it. Find the cost of leveling the walk at 25p per m2?,Rs0.45 ,Rs0.78 ,Rs0.44 ,Rs0.40 ,C
19,"The cost of 16 packets of salt, each weighing 900 grams, is Rs. 28. What will be the cost of 27 packets if each packet weighs 1 kg?",Rs. 52.5,Rs. 56,Rs. 58.50,Rs. 64.75,A
20,"According to a timetable, a coach was due to leave a station at 22:55 and arrive at its destination at 06:05 the next day. How long was the journey?",6 hours 30 minutes,7 hours 10 minutes,6 hours 40 minutes,None of these,B
21,"An orange costs C cents. For D dollars, how many oranges can be bought?",100ACD,100D/AC,AD/100C,100D/C,D
22,"If 220% of a number X is 44, what is 44% of X?",8.8,44,8.6,None of these,A
23,"If 10 workers can make 10 tables in 10 days, then how many days would it take for 5 workers to make 5 tables?",1,5,10,25,C
24,The length of a hall is (4/3) times its breadth. If the area of the hall be 300 square meters the difference between the length and breadth is__________?,15m,4m,3m,None of these,D
25,A vessel of capacity 90 litres is fully filled with pure milk. Nine litres of milk is removed from the vessel and replaced with water. Nine litres of the solution thus formed is removed and replaced with water. Find the quantity of pure milk in the final milk,72 litres,72.9 litres,73.8 litres,74.7 litres,B
26,"Complete the series: 3, 5, 10, 12, 24, 26, ____.",52,30,28,48,A
27,A candidate got 35% of the votes polled and he lost to his rival by 2250 votes. How many votes were cast?,7500,5000,6000,3500,A
28,"If Jack needs 2.5 pints of cream to make a dessert, how many pints will he need to make 3 desserts?",7.5,3,4,5.5,A
29,"A school has a strength of 550 in the year 2017, an increase of 12% in 2018. What is the total strength of the school?",550,600,616,None of these,C
30,"An ornament seller marks the price of an article at Rs. 28,800. What is the selling price of the article if he gives a discount of 20%?",Rs. 25920,Rs. 23040,Rs. 20160,Rs. 17280,B
31,"If the sum of three consecutive odd natural numbers is 57, then the first number is:",17,18,27,19,A
32,"A school has four classes. They have 10, 20, 30 and 40 students respectively. Students' pass percentage is 20%, 30%, 60% and 100%. What is the pass percentage of the entire school?",46%,66%,86%,None of these,B
33,"There are 6 candidates, and a voter must vote for any two of them. In how many ways can the voter cast their vote?",5,10,15,20,C
34,The speed of a boat in upstream is 60 kmph and the speed of the boat downstream is 80 kmph. Find the speed of the boat in still water and the speed of the stream?,70 kmph and 10 kmph,35 kmph and 27 kmph,50 kmph and 60 kmph,45 kmph and 15 kmph,A
35,"If the angle of elevation of a tower from a distance of 100 meters from its foot is 60°, what is the height of the tower?",100√2 m,100√3 m,50√3 m,None of these,B
36,Find the one which does not belong to that group?,8,27,64,125,C
37,A boat running downstream covers 24 km's in 4 hours while for covering the same distance upstream it takes 6 hours whats the speed of the boat in still water?,3.5km/hr,5 km/hr,6 km/hr,None of these,B
38,"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform:",120,260,240,220,C
39,A construction project can be completed by 150 workers in 40 days. The project manager brings in 30 more workers after 16 days. In how many days will the remaining work be finished?,30 days,20 days,16 days,None of these,B
40,What is the value of (2²)³?,16,18,32,64,D
41,What is the decimal equivalent of 1/1000?,0.001,1.001,2.001,3.001,A
