Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"At constant temperature, the volume of a gas is inversely proportional to pressure. This is known as:",Charles' Law,Boyle's Law,Avogadro's Law,Graham's Law,B,"Boyle's Law states that P1V1 = P2V2 at constant temperature, showing inverse proportionality between volume and pressure.",NET,Conceptual,Medium,Chemistry,Gases
The rate of diffusion of a gas is inversely proportional to the square root of its:,Molecular mass,Density,Pressure,Temperature,A,"Graham's Law states that rate of diffusion ∝ 1/√M, where M is molecular mass.",NET,Conceptual,Medium,Chemistry,Gases
The volume occupied by 1 mole of an ideal gas at STP is:,11.2 L,22.4 L,33.6 L,44.8 L,B,"At STP, 1 mole of ideal gas occupies 22.4 L, as per Avogadro's hypothesis.",NET,Conceptual,Medium,Chemistry,Gases
The ratio of specific heats (Cp/Cv) for a diatomic gas is:,1.33,1.4,1.67,1.29,B,"For diatomic gases, Cp/Cv = 7/5 = 1.4, due to 5 degrees of freedom.",NET,Conceptual,Medium,Chemistry,Gases
The pressure exerted by a mixture of non-reacting gases is the sum of their partial pressures. This is known as:,Dalton's Law,Henry's Law,Raoult's Law,Boyle's Law,A,Dalton's Law states that P_total = P1 + P2 + ... for non-reacting gases.,NET,Conceptual,Medium,Chemistry,Gases
The temperature at which the volume of a gas becomes zero is:,0°C,-273°C,100°C,273 K,B,"At -273°C or 0 K, the volume of an ideal gas becomes zero, as per Charles' Law.",NET,Conceptual,Medium,Chemistry,Gases
The kinetic energy of 1 mole of an ideal gas is:,(3/2)RT,(5/2)RT,(3/2)PV,(5/2)PV,A,"Kinetic energy = (3/2)nRT, where n = 1 mole, so KE = (3/2)RT.",NET,Conceptual,Medium,Chemistry,Gases
The compressibility factor (Z) for an ideal gas is:,0,1,2,-1,B,"For ideal gases, PV = nRT, so Z = PV/nRT = 1.",NET,Conceptual,Medium,Chemistry,Gases
The van der Waals equation for 1 mole of a real gas is:,(P + a/V²)(V - b) = RT,(P - a/V²)(V + b) = RT,(P + a/V)(V - b) = RT,(P - a/V)(V + b) = RT,A,The van der Waals equation accounts for intermolecular forces (a) and molecular volume (b).,NET,Conceptual,Medium,Chemistry,Gases
The critical temperature (Tc) is the temperature above which a gas:,Cannot be liquefied,Can be liquefied,Behaves ideally,Diffuses rapidly,A,"Above Tc, the gas cannot be liquefied, no matter how high the pressure.",NET,Conceptual,Medium,Chemistry,Gases
The root mean square speed of gas molecules is proportional to:,√T,T,1/√T,1/T,A,"The rms speed is given by √(3RT/M), so it is proportional to √T.",NET,Conceptual,Medium,Chemistry,Gases
The most probable speed of gas molecules is:,√(2RT/M),√(3RT/M),√(8RT/πM),√(RT/M),A,The most probable speed is given by √(2RT/M).,NET,Conceptual,Medium,Chemistry,Gases
The average kinetic energy of gas molecules is proportional to:,T,T²,1/T,1/T²,A,"The average KE is (3/2)kT, so it is directly proportional to T.",NET,Conceptual,Medium,Chemistry,Gases
"The partial pressure of a gas in a mixture is 0.5 atm. If the total pressure is 2 atm, the mole fraction is:",0.25,0.5,0.75,1,A,Mole fraction = partial pressure / total pressure = 0.5/2 = 0.25.,NET,Conceptual,Medium,Chemistry,Gases
The density of a gas is 2 g/L at 1 atm and 27°C. The molecular mass is:,24 g/mol,48 g/mol,49 g/mol,50 g/mol,C,"Using PV = nRT and density = mass/volume, M = dRT/P = 2 * 0.0821 * 300 / 1 = 49.26 g/mol.",NET,Conceptual,Medium,Chemistry,Gases
The ratio of rates of diffusion of two gases is 2:1. The ratio of their molecular masses is:,1:4,4:1,1:2,2:1,A,"According to Graham's Law, rate ∝ 1/√M, so M1/M2 = (rate2/rate1)² = (1/2)² = 1/4.",NET,Conceptual,Medium,Chemistry,Gases
The volume of a gas at 0°C and 1 atm is 100 mL. The volume at 273°C and 2 atm is:,100 mL,200 mL,50 mL,150 mL,C,"Using P1V1/T1 = P2V2/T2, we get V2 = P1V1T2 / P2T1 = (1 * 100 * 546) / (2 * 273) = 100 mL.",NET,Conceptual,Medium,Chemistry,Gases
The pressure of a gas is doubled at constant temperature. The volume becomes:,Double,Half,Unchanged,Quadruple,B,"According to Boyle's Law, P1V1 = P2V2, so if P2 = 2P1, V2 = V1/2.",NET,Conceptual,Medium,Chemistry,Gases
The temperature of a gas is increased from 27°C to 127°C at constant pressure. The volume becomes:,4/3 times,3/4 times,2 times,1/2 times,A,"Using Charles' Law, V1/T1 = V2/T2, so V2/V1 = T2/T1 = (400/300) = 4/3.",NET,Conceptual,Medium,Chemistry,Gases
The gas with the highest rate of diffusion is:,He,H2,O2,N2,B,"H2 has the lowest molecular mass, so it diffuses the fastest according to Graham's Law.",NET,Conceptual,Medium,Chemistry,Gases
"At 27°C, a gas occupies 5 L. At 127°C, its volume is (P constant)?",6.67 L,7.5 L,5 L,10 L,A,"Charles' Law: V1 / T1 = V2 / T2, so V2 = V1 * T2 / T1 = 5 * (400 / 300) = 6.67 L.",ECAT,Conceptual,Medium,Chemistry,Gases
A gas mixture contains 2 moles of N2 and 3 moles of O2. The partial pressure of N2 is 400 mmHg. What is the total pressure?,1000 mmHg,800 mmHg,1200 mmHg,600 mmHg,A,"Partial pressure = (moles of gas / total moles) * total pressure. So, total pressure = 400 * (5 / 2) = 1000 mmHg.",ECAT,Conceptual,Medium,Chemistry,Gases
The density of a gas is 1.8 g/L at 1 atm and 27°C. What is its molecular weight?,44 g/mol,40 g/mol,36 g/mol,30 g/mol,A,"Density = PM / RT, so M = density * RT / P = 1.8 * 0.0821 * 300 / 1 = 44 g/mol.",ECAT,Conceptual,Medium,Chemistry,Gases
A gas expands isothermally from 2 L to 4 L. What is the ratio of final to initial pressure?, 1 / 2,2, 1 / 4,4,A,"Boyle's Law: P1V1 = P2V2, so P2 / P1 = V1 / V2 = 2 / 4 = 1 / 2.",ECAT,Conceptual,Medium,Chemistry,Gases
"The rate of diffusion of a gas is inversely proportional to √M. If the rate of diffusion of O2 is 2, what is the rate of diffusion of SO2?",1.41,1,1.73,2.45,A,"Rate of diffusion ∝ 1 / √M. So, rate of SO2 / rate of O2 = √(M_O2 / M_SO2) = √(32 / 64) = 1 / √2 = 1.41 / 2, rate of SO2 = 1.41.",ECAT,Conceptual,Medium,Chemistry,Gases
A sample of gas has a volume of 10 L at 1 atm and 0°C. At what temperature will its volume be 5 L at 2 atm?,273 K,136.5 K,0°C,546 K,A,"P1V1 / T1 = P2V2 / T2, so T2 = P2V2T1 / P1V1 = (2 * 5 * 273) / (1 * 10) = 273 K.",ECAT,Conceptual,Medium,Chemistry,Gases
The compressibility factor (Z) for an ideal gas is?,1,0,2,-1,A,"For an ideal gas, PV = nRT, so Z = PV / nRT = 1.",ECAT,Conceptual,Medium,Chemistry,Gases
"A gas has a critical temperature of 30°C. At 50°C, it can be?",Liquefied,Not liquefied,Solidified,None of these,B,"Above critical temperature, a gas cannot be liquefied.",ECAT,Conceptual,Medium,Chemistry,Gases
The van der Waal's constant 'a' is related to?,Repulsion,Attraction,Both,None of these,B,The van der Waal's constant 'a' accounts for the intermolecular attractive forces.,ECAT,Conceptual,Medium,Chemistry,Gases
"At constant temperature, the volume of a gas is inversely proportional to?",Pressure,Density,Moles,None of these,A,Boyle's Law: V ∝ 1 / P at constant T.,ECAT,Conceptual,Medium,Chemistry,Gases
"The root mean square speed of gas molecules is √3RT / M. At 27°C, the rms speed of O2 is?",483 m/s,500 m/s,400 m/s,450 m/s,A,rms speed = √(3RT / M) = √(3 * 8.314 * 300 / 0.032) = 483 m/s.,ECAT,Conceptual,Medium,Chemistry,Gases
A mixture of H2 and O2 is allowed to effuse. The ratio of rates of effusion of H2 to O2 is?,4 : 1,1 : 4,2 : 1,1 : 2,A,"Rate of effusion ∝ 1 / √M, so rate of H2 / rate of O2 = √(M_O2 / M_H2) = √(32 / 2) = 4.",ECAT,Conceptual,Medium,Chemistry,Gases
The pressure exerted by 1 mole of a real gas is less than that of an ideal gas due to?,Intermolecular forces,Molecular size,Both,None of these,C,The van der Waal's equation accounts for both intermolecular forces and molecular size.,ECAT,Conceptual,Medium,Chemistry,Gases
A gas is heated at constant pressure. The fraction of heat energy used to increase the internal energy is?,1 / γ,γ - 1,1 / (γ - 1),γ,A,ΔU / ΔQ = 1 / γ for an ideal gas at constant pressure.,ECAT,Conceptual,Medium,Chemistry,Gases
The adiabatic index (γ) for a monatomic gas is?, 5 / 3, 7 / 5, 4 / 3,1.67,A,"For a monatomic gas, γ = Cp / Cv = 5/3.",ECAT,Conceptual,Medium,Chemistry,Gases
The average kinetic energy of gas molecules is proportional to?,T,T²,1 / T,√T,A,"Average kinetic energy = (3/2)kT, so it is directly proportional to T.",ECAT,Conceptual,Medium,Chemistry,Gases
A gas is allowed to expand adiabatically. The temperature of the gas?,Increases,Decreases,Remains constant,None of these,B,"In an adiabatic expansion, the gas does work at the expense of its internal energy, so its temperature decreases.",ECAT,Conceptual,Medium,Chemistry,Gases
The molar volume of an ideal gas at STP is?,22.4 L,22.7 L,24 L,20 L,A,"At STP, 1 mole of an ideal gas occupies 22.4 L.",ECAT,Conceptual,Medium,Chemistry,Gases
The ratio of specific heats (Cp / Cv) for a diatomic gas is?, 7 / 5, 5 / 3, 4 / 3,1.4,A,"For a diatomic gas, γ = Cp / Cv = 7/5.",ECAT,Conceptual,Medium,Chemistry,Gases
The temperature at which the rms speed of H2 is equal to that of O2 at 0°C is?,17 K,20 K,10 K,15 K,B,"rms speed = √(3RT / M). For H2 and O2 to have the same rms speed, T_H2 = T_O2 * (M_H2 / M_O2) = 273 * (2 / 32) = 17.06 K.",ECAT,Conceptual,Medium,Chemistry,Gases
"At 27°C, a gas occupies 500 ml. At 127°C, its volume will be?",666.7 ml,500 ml,750 ml,1000 ml,A,"Using Charles' Law: V1 / T1 = V2 / T2, we get V2 = V1 * T2 / T1 = 500 * (400 / 300) = 666.7 ml.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Gases
