Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The tourists got lost in the ___________ streets of the old city.,labyrinthine,narrow,straight,congested,A,"The word 'labyrinthine' means complex or confusing, like a maze, which fits the context of getting lost.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the new policy has been met with widespread criticism.,provisions,implementation,terms,aspects,B,"The word 'implementation' refers to the act of putting a plan into action, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ smell of freshly baked cookies filled the entire house.,pungent,sweet,savory,aromatic,D,"The word 'aromatic' means having a pleasant, sweet smell, which is the most fitting description.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the company's financial struggles led to the resignation of the CEO.,consequences,repercussions,effects,results,B,"The word 'repercussions' means a consequence, especially an unwelcome one, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ language used in the poem made it difficult to understand.,obscure,lucid,simple,complex,A,"The word 'obscure' means not clearly expressed or understood, which fits the context of the poem being difficult to understand.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the ancient civilization was discovered by archaeologists.,remains,relics,ruins,antiquities,A,"The word 'remains' refers to what is left of something, especially a building or a person's body, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ between the two companies led to a significant increase in sales.,partnership,merger,collaboration,alliance,C,"The word 'collaboration' means working together, which is the most suitable choice for a business context.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
"The ___________ of the new employee was impressive, and he was quickly promoted.",credentials,qualifications,experience,performance,D,"The word 'performance' refers to how well someone does their job, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ weather made it difficult to go outside.,inclement,pleasant,sunny,cloudy,A,"The word 'inclement' means unpleasant or severe, especially in terms of weather, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the company's mission statement is to provide quality products.,essence,purpose,goal,objective,B,"The word 'purpose' refers to the reason for which something is done, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ in the company's stock price was due to the economic downturn.,decline,rise,fluctuation,stability,A,"The word 'decline' means a decrease or deterioration, which is the most suitable choice for a negative change.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the new policy has been met with resistance from employees.,introduction,implementation,enactment,adoption,B,"The word 'implementation' refers to the act of putting a plan into action, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ smell of the chemicals was overwhelming.,pungent,sweet,foul,noxious,A,"The word 'pungent' means having a strong, unpleasant smell, which is the most fitting description.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ between the two friends was evident in their body language.,tension,relaxation,comfort,ease,A,"The word 'tension' refers to a feeling of anxiety or strain, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the data revealed some interesting trends.,analysis,interpretation,examination,evaluation,A,"The word 'analysis' refers to the process of breaking down complex information, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ language used in the contract was difficult to understand.,complex,simple,lucid,ambiguous,D,"The word 'ambiguous' means open to multiple interpretations, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the new product was a huge success.,launch,introduction,debut,presentation,A,"The word 'launch' refers to the act of introducing a new product, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ in the company's profits was due to the new marketing strategy.,increase,decrease,fluctuation,stability,A,"The word 'increase' means a rise or growth, which is the most suitable choice for a positive change.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the ancient temple was a major archaeological find.,discovery,uncovering,excavation,revelation,A,"The word 'discovery' refers to the act of finding something, which is the most fitting choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the company's financial reports was questionable.,accuracy,validity,integrity,authenticity,C,"The word 'integrity' refers to the quality of being honest and having strong moral principles, which is the most suitable choice.",NET,Conceptual,Medium,English,Vocabulary and Synonyms
The new policy has been met with widespread ___________ from the community.,approbation,criticism,indifference,apathy,B,"The word 'criticism' is a negative reaction, which is the opposite of 'approbation' (praise), making it the correct choice.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the ancient temple was evident in its intricate carvings.,opulence,poverty,grandeur,simplicity,C,"The word 'grandeur' means impressive or majestic, which is consistent with intricate carvings, indicating a grand or impressive quality.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ tone of the letter was unmistakable.,sarcastic,sincere,polite,cordial,A,"The word 'sarcastic' implies a tone that is mocking or ironic, which is distinct from being sincere, polite, or cordial.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ of the company's financial reports raised suspicions.,transparency,opacity,clarity,lucidity,B,"The word 'opacity' means a lack of transparency or clarity, which fits the context of raising suspicions due to unclear financial reports.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
The professor's ___________ explanation made the complex concept easy to understand.,obscure,lucid,convoluted,ambiguous,B,"The word 'lucid' means clear or easy to understand, which is the opposite of being obscure, convoluted, or ambiguous.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
The ___________ weather made it difficult to plan outdoor activities.,predictable,unpredictable,stable,consistent,B,"The word 'unpredictable' means unable to be forecast or anticipated, which fits the context of difficulty in planning due to changing weather.",ECAT,Conceptual,Medium,English,Vocabulary and Synonyms
