Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The equation of continuity is based on the principle of conservation of,mass,energy,momentum,charge,A,"The equation of continuity (A1v1 = A2v2) represents conservation of mass, as mass flow rate remains constant in a steady flow.",NET,Conceptual,Medium,Physics,Fluid Dynamics
Bernoulli's principle is applicable to,viscous fluids,non-viscous fluids,compressible fluids,turbulent fluids,B,"Bernoulli's principle applies to non-viscous (inviscid) fluids, where it relates pressure and velocity along a streamline.",NET,Conceptual,Medium,Physics,Fluid Dynamics
The terminal velocity of a sphere falling in a viscous fluid is proportional to,radius,radius²,1 / radius,1 / radius²,B,"Terminal velocity (v = 2r²(ρ - σ)g / 9η) is proportional to radius², where r is the radius of the sphere.",NET,Conceptual,Medium,Physics,Fluid Dynamics
The Reynolds number is a dimensionless quantity used to predict,laminar or turbulent flow,viscosity of a fluid,density of a fluid,surface tension,A,Reynolds number (Re = ρvd / η) predicts whether the flow will be laminar or turbulent based on its value.,NET,Conceptual,Medium,Physics,Fluid Dynamics
The velocity profile for a laminar flow in a pipe is,parabolic,linear,constant,irregular,A,"For laminar flow in a pipe, the velocity profile is parabolic, given by v = (1/4η)(dp/dx)(R² - r²).",NET,Conceptual,Medium,Physics,Fluid Dynamics
The pressure drop in a pipe due to viscous flow is given by,Hagen-Poiseuille equation,Bernoulli's equation,Torricelli's theorem,Stokes' law,A,The Hagen-Poiseuille equation (ΔP = 8ηLv / πR⁴) gives the pressure drop due to viscous flow in a pipe.,NET,Conceptual,Medium,Physics,Fluid Dynamics
The velocity of efflux from a tank is given by,Torricelli's theorem,Bernoulli's equation,Hagen-Poiseuille equation,Stokes' law,A,Torricelli's theorem states that the velocity of efflux (v = √(2gh)) is the same as if the liquid fell from the surface to the orifice.,NET,Conceptual,Medium,Physics,Fluid Dynamics
The force exerted by a fluid on a surface is proportional to,pressure,velocity,density,viscosity,A,"The force exerted by a fluid on a surface is given by F = PA, where P is the pressure and A is the area.",NET,Conceptual,Medium,Physics,Fluid Dynamics
The streamlines in a fluid flow are,always parallel,always perpendicular to the surface,the path taken by a fluid particle,imaginary lines tangent to the velocity vector,D,"Streamlines are imaginary lines that are tangent to the velocity vector at every point, representing the direction of flow.",NET,Conceptual,Medium,Physics,Fluid Dynamics
The viscosity of a fluid is a measure of its,resistance to flow,density,surface tension,compressibility,A,"Viscosity (η) is a measure of a fluid's resistance to flow, with higher viscosity indicating greater resistance.",NET,Conceptual,Medium,Physics,Fluid Dynamics
The flow rate through a pipe is given by,A1v1 = A2v2,P1 + 1/2ρv1² = P2 + 1/2ρv2²,∫v · dA,πR⁴ΔP / 8ηL,D,The flow rate (Q = πR⁴ΔP / 8ηL) through a pipe is given by the Hagen-Poiseuille equation for laminar flow.,NET,Conceptual,Medium,Physics,Fluid Dynamics
The Mach number is the ratio of,fluid velocity to sound velocity,fluid velocity to light velocity,pressure to density,viscosity to density,A,The Mach number (M = v / c) is the ratio of the fluid velocity (v) to the speed of sound (c) in the fluid.,NET,Conceptual,Medium,Physics,Fluid Dynamics
