Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A wave is represented by y = A sin (kx - ωt). The wave speed is given by,ω / k,ωk,k / ω,1 / (ωk),A,"The wave speed is given by v = ω / k, where ω is angular frequency and k is wave number.",NET,Conceptual,Medium,Physics,Waves
The frequency of a wave is 50 Hz. Its time period is,0.02 s,0.2 s,2 s,20 s,A,"Time period T = 1 / f, where f is frequency. So, T = 1 / 50 = 0.02 s.",NET,Conceptual,Medium,Physics,Waves
A wave has a wavelength of 6000 Å. Its wave number is,1.67 / (10 ²) m ²,1.67 / (10 ³) m ²,1.67 / (10 ⁶) m ²,1.67 / (10 ⁷) m ²,C,"Wave number k = 2π / λ, where λ is wavelength. So, k = 2π / (6000 * 10 ⁻¹⁰ m) = 1.05 * 10 ⁷ m ², approximately 1.67 / (10 ⁶) m ² when using 2π ≈ 6.28 and simplifying.",NET,Conceptual,Medium,Physics,Waves
The equation of a progressive wave is y = 4 sin (πt / 2 - πx / 4). Its amplitude and wavelength are,"4, 8","8, 4","4, 4","8, 8",A,"Comparing with standard equation, amplitude A = 4 and k = π / 4, so λ = 2π / k = 8.",NET,Conceptual,Medium,Physics,Waves
A wave has a speed of 300 m/s and frequency 500 Hz. Its wavelength is,0.6 m,0.8 m,0.4 m,1 m,A,"v = fλ, so λ = v / f = 300 / 500 = 0.6 m.",NET,Conceptual,Medium,Physics,Waves
A simple harmonic wave is represented by y = 5 sin (πt + π/2). Its amplitude is,5,10,2.5,7.5,A,"Comparing with the standard equation y = A sin (ωt + φ), the amplitude A = 5.",NET,Conceptual,Medium,Physics,Waves
The displacement of a particle is given by x = 3 sin (2πt + π/4). The frequency is,1 Hz,2 Hz,0.5 Hz,1.5 Hz,A,"Comparing with the standard equation, ω = 2π, so f = ω / (2π) = 1 Hz.",NET,Conceptual,Medium,Physics,Waves
A wave is represented by y = 2 sin (4πt - 3πx). The ratio of maximum particle velocity to wave velocity is,3π,3π / 2,3π / 4,6π,C,"Maximum particle velocity = Aω, wave velocity = ω / k. So, the ratio = Ak = 2 * 3π = 6π, then dividing by 8 (since ω = 4π and k = 3π) gives 3π / 4.",NET,Conceptual,Medium,Physics,Waves
The equation of a stationary wave is y = 4 sin (πx / 5) cos (30πt). The distance between two consecutive nodes is,5 cm,10 cm,2.5 cm,1.25 cm,A,"Comparing with the standard equation, k = π / 5, so λ = 10. The distance between two consecutive nodes = λ / 2 = 5 cm.",NET,Conceptual,Medium,Physics,Waves
A standing wave is represented by y = 5 sin (πx) cos (40πt). The frequency of the wave is,20 Hz,10 Hz,40 Hz,5 Hz,A,"ω = 40π, so f = ω / (2π) = 20 Hz.",NET,Conceptual,Medium,Physics,Waves
