Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Tota Kahani ka Urdu tarjuma kis ne kiya?,Prem Chand,Imtiaz Ali Taj,Haider Bakhsh Haidari,In mein se koi nahi,C
2,Iblees ki Majlis-e-Shura nazm:,Nasir Kazmi,Molana Zafar Ali Khan,Allama Iqbal,In mein se koi nahi,C
3,Mahawre ke liye kitne lafzon ka hona zaroori hai?,Do,Aik,Teen,In mein se koi nahi,A
4,Bahadur Shah Zafar ko kahan qaid kiya gaya?,Mumbai,Delhi,Rangoon,In mein se koi nahi,C
5,Ghalat imla ka intikhab karein.,Jinhon,Tumhein,Unhon,In mein se koi nahi,C
6,Shayari mein ibtizal se kya muraad hai?,Aamiyana,Tazad,Laf-o-Nashr,In mein se koi nahi,A
7,Kata aur ...... zarb-ul-misl mukammal karein.,Le bhaaga,Le bhaago,Le bhagay,In mein se koi nahi (le daudi),D
8,Allama Iqbal ki kisi Farsi kitab ka deebacha Urdu mein hai?,Armaghan-e-Hijaz,Payam-e-Mashriq,Zarb-e-Kaleem,In mein se koi nahi,B
9,Hayat-e-Saadi ki sanf kya hai?,Nazm,Novel,Afsana,Sawaneh Umari,D
10,"Hamd, naat aur qasida ke sab se dil aawiz sher ko kya kehte hain?",Bait-ul-Ghazal,Shah Bait,Shah Noor,In mein se koi nahi,B
11,Chah-e-zanakhdaan ka kya matlab hai?,Thori ka garha,Zakhm lagna,Ruswai hona,In mein se koi nahi,A
12,"Yeh sab tumhara karam hai aaqa ke baat ab tak bani hui hai, yeh naat kis ne likhi hai?",Iqbal Azim,Khalid Mahmood Naqshbandi,Muzaffar Waris,In mein se koi nahi,B
13,"""Jotiyan chatkhana"" muhawara hai, iska mafhoom hai:",Nai jooti zaib pa karna,Jotiyan baghal mein de lena,Drana dhamkana,Mare mare phirna,D
14,Taray gin'na muhawaray ka kya matlab hai?,Soye rehna,Jagte rehna,Raat bhar jagte rehna,In mein se koi nahi,C
15,"Aisa fail jis mein kisi kaam ka karna ya hona guzray huay zamane ka pata de lekin yeh maloom na ho ke guzra hua zamana qareeb ka hai ya door ka, qawaid ki ro se ise kya kahen ge?",Fail-e-Mazi,Mazi Mutliq,Mazi Istimrari,Mazi Shakya,B
16,Arastu se Eliot tak kis ki kitab hai?,Dr. Jameel Jalibi,Ghafoor Shah,Waheed Qazi,In mein se koi nahi,A
17,'Urdu shairi ke ilawa Mirza Ghalib ne kis sanf-e-nasr mein naam paida kiya?,Aap Beeti,Khutoot,Dastan,In mein se koi nahi,B
18,Pakistan ka qaumi tarana Hafeez Jalandhari ki kaun si kitab mein hai?,Roshan chiragh,Chiragh-e-Asr,Chiragh-e-Sehar,In mein se koi nahi,C
19,Iqbal aur us ka ahd kis ne likhi?,Abul Kalam Azad,Jagan Nath Azad,Maulvi Abdul Haq,Muhammad Hussain Azad,B
20,"""Swadeshi Rail"" kis ka mazahiya mazmoon hai?",Shaukat Thanvi,Majeed Lahori,Pitras Bukhari,Mushtaq Ahmed Yousufi,A
21,'Hayat-e-Saadi kis ne likhi hai?,Altaf Hussain Hali,Sir Syed Ahmed Khan,Molana Shibli Naumani,In mein se koi nahi,A
22,Jungle ki Shehzadi kis ki nazm hai?,Zameer Jafri,Kernal Muhammad Khan,Naseem Hijazi,Josh Malihabadi,D
23,Urdu zaban ka lafz kis zaban se mushtaq hai?,Turki,Arabi,Farsi,In mein se koi nahi,A
24,"""Aatish Kada"" kis mashhoor shair ka majmua-e-kalam hai?",Allama Iqbal,Mirza Ghalib,Dr. Muhammad Deen Taseer,Altaf Hussain Hali,C
25,Durust zarb-ul-misl ki nishandahi karein:,Bakray ki nani kab tak khair manaye gi,Bakray ki maan kab tak khair manaye gi,Bakray ki dadi kab tak khair manaye gi,In mein se koi nahi,B
26,Inkar ki shaira batain?,Noshi Gilani,Parveen Shakir,Ada Jafri,Rehana Qamar,B
27,'Is sher mein ilm-e-bayan ki kaun si soorat aayi hai? Boo-e-gul le gayi bairun-e- chaman raaz-e-chaman kya qayamat hai ke khud phool hain ghamaaz-e-chaman,Tashbeeh,Isti'ara,Majaz Mursal,Kinaya,B
28,Urdu adab ki mashhoor shakhsiyat Qurat-ul-Ain Haider ki wajah-e-shoharat kya hai?,Shairi,Novel Nigari,Mazah Nigari,Safar Nigari,B
29,Allama Iqbal ne qanoon aur PhD ke ilawa konsi degree Europe se li?,M.A.,B.A.,M.Phil,In mein se koi nahi,B
30,Umrao Jan Ada kis ki tahreer hai?,Sir Syed,Hadi Raswa,Rafiq Ahmed,Prem Chand,B
31,"Drama ""____"" kis zaban ka lafz hai?",Yunani,Latini,Farsi,French,A
32,Mandarjah zail mein se Huroof-e-Inbasat ki nishandahi karen:,Haye haye,Wah wah,Haif sad haif,In mein se koi nahi,B
33,Woh subah aur woh chaaon sitaron ki aur woh noor dekhe to ghash kare arne goi ooj- e-toor is sher mein ilm-e-bayan ki kaun si soorat aayi hai?,Tashbeeh,Isti'ara,Majaz Mursal,Kinaya,B
34,Raees-ul-Mutaghazzilin kis shair ko kaha jata hai?,Nasir Kazmi,Allama Iqbal,Jigar Moradabadi,Daagh Dehlvi,C
35,Durust zarb-ul-misl ki nishandahi karein:,Cheel ke ghonslay mein maas kahan,Cheel ke ghonslay mein booty kahan,Cheel ke ghonslay mein gosht kahan,In mein se koi nahi,A
36,Iqbal ka kaun sa majmua Urdu aur Farsi mein hai?,Armaghan-e-Hijaz,Bang-e-Dara,Zaboor-e-Ajam,In mein se koi nahi,A
37,"""Ism-e-Tasgheer"" talash karein:",Aankh,Bagh,Pyali,Tokra,C
38,Mirza Ghalib ko kis naam se pukara jata tha?,Mirza Khan,Mirza Nosha,Mirza Badshah,Mirza Jan,B
39,"Pata pata boota boota haal hamara jaane hai, jaane na jaane hai gul hi na jaane hai bagh to saara jaane hai - yeh sher kis ka hai?",Allama Iqbal,Meer Taqi Meer,Ghalib,In mein se koi nahi,B
40,Urdu ki aakhri kitaab kis ki tasneef hai?,Deputy Nazir Ahmad,Shafi Muhammad Chaudhry,Abdul Haleem Sharar,Ibn-e-Insha,D
41,"Zair, zabar, paish lagane ko Urdu mein kya kehte hain?",Ramooz-e-auqaaf,Waween,A'raab,In mein se koi nahi,C
42,Allama Iqbal ka kaun sa majmua-e-kalam un ki wafat ke baad shaya hua?,Bang-e-Dra,Zaboor-e-Ajam,Zarb Kaleem,Armaghan Hijaz,D
43,"Tum mere paas hotay ho goya jab koi doosra nahi hota, yeh sher kis ka hai?",Ghalib,Meer Taqi Meer,Meer Dard,(No option D in original),C
44,"Woh alfaaz jo talaffuz ke aitbaar se to mukhtalif hon magar un ke ma'ani aik hi hon, maslan: gham, alam, huzn waghera - kya kehlate hain?",Mutaradif,Mutazaad,Hum Awaz,Mohmil,A
45,"""Taara chamakna"" ka kya matlab hai?",Neeche girna,Urooj aana,Sitaare ki chamak,Sust ho jana,B
46,Durust zarb-ul-misal ki nishandahi karein:,Ek machhli saare paani ko gandah karti hai,Ek machhli saare jal ko gandah karti hai,Ek machhli saare talaab ko gandah karti hai,In mein se koi nahi,B
47,"""Yusuf-e be karwan"" ka mafhoom kya hai?",Mazloom o Matoob,Akeela,Lathani,Rahbar o Rehnuma,B
48,"Molana Hali ki taweel nazm ""Musaddas-e-Hali"" ka mauzoo kya hai?",Musalmanon ka tabnak maazi,Mad o jazar-e-Islam,Hayat-e-Tayyiba,Khulafa-e-Rashideen ka zamana,A
