Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A researcher analyzing the chemical composition of a prokaryotic cell finds that a specific inorganic compound dominates the mass. What is its percentage?,15%,70%,90%,20%,B,Bacterial cells consist of 70% water by weight. 90% is the water content found specifically in mammalian brain cells.,Chemical Composition of Cell,Easy,Biology,Biological Molecules
"During a laboratory experiment, a student measures the energy required to convert 1kg of liquid water into gas. Which PTB value matches this?",540 kcal/kg,580 kcal/kg,564 kcal/kg,574 kcal/kg,D,PTB specifies water's heat of vaporization as 574 kcal/kg. 540 kcal/kg is a general value not used in the PTB textbook.,Properties of Water,Easy,Biology,Biological Molecules
A nutritionist explains that the digestion of starch initially yields a disaccharide. What specific bond holds the two monomers of this disaccharide together?,Alpha 1-4 glycosidic linkage,Beta 1-4 glycosidic linkage,Alpha 1-2 glycosidic linkage,Alpha 1-6 glycosidic linkage,A,Maltose consists of two glucose units joined by an alpha 1-4 glycosidic linkage. Beta 1-4 linkages are found in cellulose.,Carbohydrates,Medium,Biology,Biological Molecules
"In the metabolic pathway of glycolysis, an intermediate is identified as a ketonic sugar containing only three carbon atoms. Name this molecule.",Glyceraldehyde,Ribulose,Dihydroxyacetone,Glucose,C,"Dihydroxyacetone is a keto-triose, while glyceraldehyde is an aldo-triose. Ribulose is a pentose, and glucose is a hexose.",Monosaccharides,Easy,Biology,Biological Molecules
"A patient with a sweet tooth consumes large amounts of cane sugar. Upon enzymatic hydrolysis in the digestive tract, which products are released?",Glucose and Galactose,Glucose and Fructose,Glucose and Glucose,Fructose and Galactose,B,"Sucrose (cane sugar) hydrolyzes into glucose and fructose. Glucose and galactose are the components of lactose, which is milk sugar.",Disaccharides,Medium,Biology,Biological Molecules
An athlete undergoes a period of fasting. The body begins to break down its primary animal storage polysaccharide. Where is this molecule mainly located?,Liver and muscles,Adipose tissue and blood,Brain and kidneys,Spleen and pancreas,A,"Glycogen is stored primarily in the liver and muscles of animals. Starch is the storage form in plants, not animals.",Polysaccharides,Medium,Biology,Biological Molecules
"Cotton fiber is almost pure cellulose. Based on its chemical properties in the PTB, how does this molecule behave in an aqueous environment?",Highly soluble in hot water,Soluble in organic solvents,Highly insoluble in water,Soluble in dilute acids,C,"Cellulose is highly insoluble in water. Starch is partially soluble (amylose) or insoluble (amylopectin), but cellulose is the most resistant.",Polysaccharides,Hard,Biology,Biological Molecules
A technician compares two fatty acids. One is a 16-carbon saturated chain. At what temperature does this specific fatty acid melt according to PTB?,8.0°C,45.5°C,70.2°C,63.1°C,D,Palmitic acid is a saturated fatty acid with a melting point of 63.1°C. Oleic acid is unsaturated and remains liquid at room temperature.,Lipids,Hard,Biology,Biological Molecules
"A cell membrane component consists of a diglyceride and a phosphate group. If this molecule is lecithin, which nitrogenous base is attached?",Choline,Serine,Ethanolamine,Inositol,A,"Phosphatidylcholine contains choline, phosphate, glycerol, and fatty acids. Serine is found in different phospholipids like phosphatidylserine, not lecithin.",Phospholipids,Medium,Biology,Biological Molecules
A botanist extracts a milky latex from a plant that can be polymerized into rubber. To which class of lipids does rubber belong?,Acylglycerol,Terpenoid,Wax,Phospholipid,B,Rubber is a polymer derived from terpene units. Waxes and acylglycerols are different classes of lipids entirely.,Terpenoids,Easy,Biology,Biological Molecules
"During protein synthesis, the ribosome adds an amino acid where the 'R' group is simply a hydrogen atom. Identify this amino acid.",Alanine,Valine,Glycine,Leucine,C,Glycine is the simplest amino acid because its R-group is a hydrogen atom. Alanine has a methyl group (CH3) as its R-group.,Amino Acids,Easy,Biology,Biological Molecules
"In the primary structure of a protein, amino acids are linked in a specific sequence. What is the chemical nature of this linkage?",C-N linkage,C-O linkage,N-H linkage,C-C linkage,A,The peptide bond is a C-N linkage between the carboxyl carbon of one amino acid and the amino nitrogen of another.,Proteins,Medium,Biology,Biological Molecules
"A structural biologist examines a secondary protein structure held by hydrogen bonds. For every complete turn of the helix, how many amino acids are present?",2.4 amino acids,4.2 amino acids,5.0 amino acids,3.6 amino acids,D,"The alpha helix is stabilized by hydrogen bonds, with exactly 3.6 amino acids per turn of the helix.",Protein Structure,Hard,Biology,Biological Molecules
