Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"At standard temperature and pressure, the molar volume of an ideal gas is",20.0 dm³,22.4 dm³,24.0 dm³,25.4 dm³,B,Molar volume at STP is 22.4 dm³; option B is correct. Option D is at 25°C and 1 atm.,Ideal Gas Law,Easy,Chemistry,Gases
The rate of diffusion of a gas is inversely proportional to the square root of its,density,molecular mass,pressure,temperature,B,Graham's law states rate ∝ 1/√M; molecular mass is correct. Density is related but not directly used.,Graham's Law,Easy,Chemistry,Gases
A real gas behaves most like an ideal gas at,high pressure and low temperature,low pressure and high temperature,high pressure and high temperature,low pressure and low temperature,B,"Low pressure and high temperature minimize intermolecular forces, making a real gas behave like an ideal gas.",Ideal vs Real Gases,Medium,Chemistry,Gases
The partial pressure of a gas in a mixture is,the pressure exerted by the gas if it alone occupied the total volume,the total pressure divided by the number of gases,the pressure exerted by the gas at absolute zero,the total pressure minus the vapor pressure of other components,A,Partial pressure is the pressure a gas would exert if it alone occupied the total volume; Dalton's Law.,Dalton's Law,Easy,Chemistry,Gases
The kinetic molecular theory assumes that gas molecules,have significant intermolecular forces,occupy a significant fraction of the total volume,are in constant random motion,have varying kinetic energies at a given temperature,C,Kinetic theory assumes gas molecules are in constant random motion; option C is correct. Option D is incorrect because kinetic energy is directly related to temperature.,Kinetic Molecular Theory,Medium,Chemistry,Gases
The critical temperature of a gas is the temperature,above which it cannot be liquefied,below which it cannot be liquefied,at which its vapor pressure is maximum,at which its density is maximum,A,"Critical temperature is the maximum temperature at which a gas can be liquefied; above it, liquefaction is impossible.",Critical Temperature,Easy,Chemistry,Gases
A gas deviates from ideal behavior because its molecules,have kinetic energy,are in constant motion,have intermolecular forces,collide elastically,C,"Real gases deviate from ideal behavior due to intermolecular forces; option C is correct. Options A, B, and D are assumptions of ideal gas behavior.",Real Gases,Medium,Chemistry,Gases
The vapor pressure of a liquid is the pressure exerted by the vapor,when the rate of evaporation equals the rate of condensation,when the liquid is at its boiling point,at absolute zero,in a vacuum,A,Vapor pressure is the pressure exerted when evaporation and condensation rates are equal; equilibrium condition.,Vapor Pressure,Easy,Chemistry,Gases
The boiling point of a liquid is the temperature at which its vapor pressure,equals the atmospheric pressure,is less than the atmospheric pressure,is greater than the atmospheric pressure,equals the critical pressure,A,Boiling occurs when vapor pressure equals atmospheric pressure; option A is correct.,Boiling Point,Easy,Chemistry,Gases
"At constant temperature, the volume of a given mass of an ideal gas is",directly proportional to its pressure,inversely proportional to its pressure,directly proportional to the square of its pressure,inversely proportional to the square of its pressure,B,Boyle's Law states V ∝ 1/P at constant T; option B is correct.,Boyle's Law,Easy,Chemistry,Gases
The density of a gas is directly proportional to its,molecular mass,temperature,pressure,volume,A,"Density = mass/volume; for a given volume, density ∝ molecular mass at constant T and P.",Gas Density,Medium,Chemistry,Gases
The effusion rate of a gas through a small orifice is inversely proportional to the square root of its,density,molecular mass,pressure,temperature,B,"Graham's law applies to effusion; rate ∝ 1/√M, so molecular mass is correct.",Graham's Law,Medium,Chemistry,Gases
A mixture of gases can be separated by,diffusion through a porous barrier,adsorption on activated charcoal,fractional distillation,all the above methods,D,"Gases can be separated by diffusion (Graham's law), adsorption, or fractional distillation; all are valid methods.",Gas Separation,Hard,Chemistry,Gases
The pressure exerted by a gas is due to,the intermolecular forces between its molecules,the collisions of its molecules with the container walls,the gravitational attraction between its molecules,the volume occupied by its molecules,B,Pressure is due to collisions of gas molecules with container walls; kinetic molecular theory.,Kinetic Molecular Theory,Medium,Chemistry,Gases
