Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary purpose of a firewall in network security?,To detect and prevent intrusions,To encrypt data transmitted over the network,To control incoming and outgoing network traffic,To authenticate users accessing the network,C,"A firewall controls incoming and outgoing network traffic based on predetermined security rules, acting as a barrier between a trusted network and an untrusted network.",NET,Conceptual,Medium,Computer_Science,Network Security
Which protocol is commonly used for secure web browsing?,HTTP,FTP,HTTPS,SSH,C,HTTPS (Hypertext Transfer Protocol Secure) is used for secure web browsing as it encrypts data between the client and server using SSL/TLS.,NET,Conceptual,Medium,Computer_Science,Network Security
What type of attack involves guessing or cracking passwords?,Phishing,Brute Force,SQL Injection,Cross-Site Scripting,B,"A brute force attack involves trying all possible combinations of passwords to guess the correct one, often using automated tools.",NET,Conceptual,Medium,Computer_Science,Network Security
Which of the following is a characteristic of a symmetric encryption algorithm?,It uses different keys for encryption and decryption,It is slower than asymmetric encryption,It uses the same key for encryption and decryption,It is less secure than asymmetric encryption,C,"Symmetric encryption uses the same key for both encryption and decryption, making it faster but requiring secure key exchange.",NET,Conceptual,Medium,Computer_Science,Network Security
What is the term for a security threat that comes from within an organization?,Insider Threat,External Threat,Malware,Phishing,A,"An insider threat refers to a security risk that originates from within an organization, often due to employees or contractors with authorized access.",NET,Conceptual,Medium,Computer_Science,Network Security
Which security measure involves creating a backup of data to prevent loss?,Encryption,Firewalls,Data Backup,Intrusion Detection,C,"Data backup involves creating copies of data to restore in case of data loss due to disasters, attacks, or system failures.",NET,Conceptual,Medium,Computer_Science,Network Security
What is the primary function of an Intrusion Detection System (IDS)?,To prevent intrusions,To detect and alert on potential intrusions,To encrypt network traffic,To authenticate users,B,An IDS monitors network traffic for signs of unauthorized access or malicious activities and alerts administrators.,NET,Conceptual,Medium,Computer_Science,Network Security
Which type of malware demands payment in exchange for restoring access to data?,Virus,Worm,Ransomware,Trojan,C,Ransomware is malware that encrypts a victim's files or locks their device and demands a ransom in exchange for the decryption key or unlock code.,NET,Conceptual,Medium,Computer_Science,Network Security
What is the term for the practice of tricking individuals into revealing sensitive information?,Social Engineering,Phishing,Spoofing,Sniffing,A,"Social engineering involves manipulating individuals into divulging confidential information, often through psychological tactics.",NET,Conceptual,Medium,Computer_Science,Network Security
Which protocol is used for secure remote access to a network?,Telnet,SSH,HTTP,FTP,B,"SSH (Secure Shell) is a protocol used for secure remote access to a network, providing encrypted communication between the client and server.",NET,Conceptual,Medium,Computer_Science,Network Security
