Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"A coil of 100 turns is rotated in a magnetic field, inducing an emf of 10 V. If rotation rate doubles, induced emf becomes",5 V,10 V,20 V,40 V,C,"Induced emf is directly proportional to rate of change of flux, hence doubling rotation rate doubles induced emf.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
The magnetic flux linked with a coil is given by φ = 5t² + 2t + 3. Induced emf at t = 1 s is,10 V,12 V,15 V,20 V,B,"Induced emf = -dφ/dt = -(10t + 2), at t = 1 s, emf = -12 V.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
A conducting rod of length 1 m moves with a velocity of 5 m/s in a magnetic field of 0.1 T. Induced emf is,0.1 V,0.5 V,1 V,5 V,B,Induced emf = Blv = 0.1 * 1 * 5 = 0.5 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"The self-inductance of a coil is 2 H. If current changes from 0 to 5 A in 1 / 2 s, induced emf is",10 V,20 V,40 V,80 V,B,Induced emf = -L(dI/dt) = -2 * (5 / 0.5) = -20 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
A coil of inductance 1 H and resistance 10 ohm is connected to a 10 V battery. Energy stored in the coil is,0.1 J,0.5 J,1 J,5 J,B,Energy stored = 1/2 * LI² = 1/2 * 1 * (10/10)² = 0.5 J.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"The mutual inductance between two coils is 0.5 H. If current in one coil changes from 0 to 2 A in 1 s, induced emf in the other coil is",0.5 V,1 V,2 V,4 V,B,Induced emf = -M(dI/dt) = -0.5 * (2 / 1) = -1 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"A rectangular coil of 100 turns, area 0.1 m², is rotated at 50 rev/s in a magnetic field of 0.01 T. Maximum induced emf is",10π V,20π V,30π V,40π V,C,Maximum induced emf = NABω = 100 * 0.1 * 0.01 * 2π * 50 = 30π V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
The magnetic flux through a coil is φ = 3t² + 4t + 9. The induced emf at t = 2 s is,12 V,16 V,20 V,24 V,B,"Induced emf = -dφ/dt = -(6t + 4), at t = 2 s, emf = -16 V.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
"A coil of self-inductance 0.5 H has a current of 2 A. If the current is reduced to zero in 0.1 s, induced emf is",5 V,10 V,15 V,20 V,B,Induced emf = -L(dI/dt) = -0.5 * (-2 / 0.1) = 10 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"Two coils have a mutual inductance of 0.01 H. If current in one coil changes at a rate of 100 A/s, induced emf in the other coil is",0.1 V,1 V,10 V,100 V,B,Induced emf = -M(dI/dt) = -0.01 * 100 = -1 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
The energy stored in an inductor is proportional to,I,I²,1/I,1/I²,B,"Energy stored = 1/2 * LI², hence proportional to I².",NET,Conceptual,Medium,Physics,Electromagnetic Induction
"A coil has 500 turns and is rotated in a magnetic field. If the flux linked with the coil changes from 0 to 1 Wb in 1 s, induced emf is",250 V,500 V,750 V,1000 V,B,Induced emf = N(dφ/dt) = 500 * (1 / 1) = 500 V.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"The self-inductance of a coil is given by L = μN²A/l. If number of turns is doubled, self-inductance becomes",2L,4L,8L,L/2,B,"L is proportional to N², hence doubling N makes L four times.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
The induced emf in a coil is maximum when the angle between the coil and magnetic field is,0°,45°,90°,180°,C,"Induced emf = NABωsin(ωt), maximum when ωt = 90°.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
A coil is placed in a magnetic field such that its plane is perpendicular to the field. The coil is rotated by 90°. Change in flux is,0,BA,-BA,2BA,B,"Initial flux = BA, final flux = 0, hence change in flux = BA.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
"The time constant of an L-R circuit is 2 s. If the inductance is 1 H, resistance is",0.5 ohm,1 ohm,2 ohm,4 ohm,A,"Time constant = L/R, hence R = L / time constant = 1 / 2 = 0.5 ohm.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
"A conducting loop is placed in a magnetic field. If the loop is shrinking, induced emf is",Zero,Non-zero,Alternating,Constant,B,Changing area induces an emf.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
The emf induced in a coil rotating in a magnetic field is maximum when,coil is parallel to field,coil is perpendicular to field,rate of change of flux is maximum,rate of change of flux is minimum,C,Induced emf is maximum when rate of change of flux is maximum.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
"Two coils are placed close to each other. If the current in one coil is changed, the emf induced in the other coil is due to",self-inductance,mutual inductance,capacitance,resistance,B,Mutual inductance is the phenomenon of inducing emf in one coil due to change in current in another coil.,NET,Conceptual,Medium,Physics,Electromagnetic Induction
A coil is connected to a battery. The current in the coil is,maximum at t = 0,maximum at t = ∞,minimum at t = 0,constant for all t,B,"In an L-R circuit, current grows exponentially and becomes maximum at t = ∞.",NET,Conceptual,Medium,Physics,Electromagnetic Induction
