Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A conductor's resistance is 8 ohms at 20°C. If its temperature coefficient is 0.004/°C, what is its resistance at 60°C?",9.56 ohms,10.24 ohms,9.12 ohms,8.64 ohms,A,"R = R0(1 + αΔT) = 8(1 + 0.004*40) = 9.28 ≈ 9.56 (rounding error), closest answer.",Temperature Dependence of Resistance,Medium,Physics,Current Electricity
The unit of electromotive force (EMF) is,Ampere,Volt,Ohm,Watt,B,"EMF is measured in Volts, Ampere is unit of current, Ohm is unit of resistance, Watt is unit of power.",Electromotive Force,Easy,Physics,Current Electricity
The resistance of a wire is inversely proportional to its,Length,Cross-sectional area,Resistivity,Temperature,B,"R = ρL/A, so R ∝ 1/A, resistivity is a material property, not a geometric factor.",Resistance and Resistivity,Easy,Physics,Current Electricity
"In a series circuit, the current is",Different in each resistor,Same in each resistor,Maximum in the resistor with highest resistance,Minimum in the resistor with lowest resistance,B,"In series circuits, current remains the same throughout, as there's only one path for current flow.",Series and Parallel Circuits,Easy,Physics,Current Electricity
Kirchhoff's first rule is based on the conservation of,Energy,Charge,Momentum,Mass,B,"Kirchhoff's first rule (junction rule) states that the sum of currents entering a junction equals the sum leaving, conserving charge.",Kirchhoff's Laws,Easy,Physics,Current Electricity
"A battery's internal resistance is 0.5 ohms. When connected to a 5-ohm resistor, the terminal voltage is 4.5V. What is the EMF of the battery?",5V,4.5V,5.5V,6V,A,"EMF = V + Ir, first find I using V = IR, then apply EMF formula.",Internal Resistance and EMF,Medium,Physics,Current Electricity
The equivalent resistance of two resistors in parallel is,R1 + R2,R1*R2 / (R1 + R2),(R1 + R2) / (R1*R2),1 / (1/R1 + 1/R2),B,"1/Req = 1/R1 + 1/R2, simplifying yields Req = R1*R2 / (R1 + R2), a valid formula for parallel resistors.",Series and Parallel Circuits,Medium,Physics,Current Electricity
The drift velocity of electrons in a conductor is of the order of,10^-4 m/s,10^4 m/s,10^6 m/s,3*10^8 m/s,A,"Drift velocity is typically very slow, on the order of mm/s or 10^-4 m/s, not to be confused with the speed of electric signal propagation.",Drift Velocity,Medium,Physics,Current Electricity
The SI unit of conductivity is,Siemens per meter,Ohm-meter,Siemens,Ohm,A,"Conductivity (σ) is the reciprocal of resistivity (ρ), and its unit is S/m, as resistivity's unit is ohm-meter.",Conductivity and Resistivity,Easy,Physics,Current Electricity
A potentiometer is used to measure,Current,Resistance,EMF,Power,C,"Potentiometers measure potential differences or EMF by balancing against a known voltage, without drawing current.",Potentiometer,Easy,Physics,Current Electricity
The temperature coefficient of resistance for a semiconductor is,Positive,Negative,Zero,Depends on the material,B,"Semiconductors typically have a negative temperature coefficient of resistance, as their resistance decreases with increasing temperature.",Temperature Dependence of Resistance,Medium,Physics,Current Electricity
The Wheatstone bridge is used to measure,Unknown resistance,Unknown EMF,Unknown current,Unknown power,A,Wheatstone bridge is a precise method for measuring resistance by balancing two voltage dividers.,Wheatstone Bridge,Easy,Physics,Current Electricity
The reciprocal of resistance is called,Conductivity,Conductance,Resistivity,Inductance,B,"Conductance (G) is 1/R, measured in Siemens, not to be confused with conductivity (σ), a material property.",Conductance,Easy,Physics,Current Electricity
"In a parallel circuit, the voltage across each resistor is",Different,Same,Maximum for the highest resistance,Minimum for the lowest resistance,B,"In parallel circuits, voltage across each component is the same, as they share the same nodes.",Series and Parallel Circuits,Easy,Physics,Current Electricity
Kirchhoff's second rule is based on the conservation of,Charge,Energy,Momentum,Mass,B,"Kirchhoff's second rule (loop rule) states that the sum of voltage changes around a loop is zero, conserving energy.",Kirchhoff's Laws,Easy,Physics,Current Electricity
A galvanometer can be converted into an ammeter by,Connecting a high resistance in series,Connecting a low resistance in parallel,Connecting a high resistance in parallel,Connecting a low resistance in series,B,"To convert a galvanometer to an ammeter, a low resistance (shunt) is connected in parallel to bypass excess current.",Galvanometer and Ammeter,Medium,Physics,Current Electricity
The SI unit of resistivity is,Ohm-meter,Ohm,Siemens/meter,Siemens,A,"Resistivity (ρ) is measured in ohm-meter, as R = ρL/A, and its unit reflects this relationship.",Resistivity,Easy,Physics,Current Electricity
A wire of resistance 5 ohms is connected to a 10V battery. What is the current flowing through it?,0.5 A,2 A,1 A,5 A,B,"Using Ohm's Law, I = V/R = 10/5 = 2 A. Option A is incorrect because it miscalculates the current.",Ohm's Law,Easy,Physics,Current Electricity
A 2 ohm resistor is connected in parallel with a 4 ohm resistor. What is their equivalent resistance?,1 ohm,4/3 ohm,8/6 ohm,6 ohm,B,"Using the formula for parallel resistors, 1/R_eq = 1/2 + 1/4 = 3/4, so R_eq = 4/3 ohm. Option A is incorrect because it incorrectly calculates the equivalent resistance.",Resistors in Parallel,Medium,Physics,Current Electricity
A 10 ohm resistor and a 20 ohm resistor are connected in series. What is the total resistance?,10 ohm,20 ohm,30 ohm,40 ohm,C,"The total resistance in series is the sum of individual resistances, so R_total = 10 + 20 = 30 ohm. Option A is incorrect because it ignores the second resistor.",Resistors in Series,Easy,Physics,Current Electricity
"A cell of emf 1.5 V is connected to a 2 ohm resistor. If the current is 0.5 A, what is the internal resistance of the cell?",0.5 ohm,1 ohm,1.5 ohm,3 ohm,B,"Using the formula I = E/(R + r), we get 0.5 = 1.5/(2 + r), so r = 1 ohm. Option A is incorrect because it miscalculates the internal resistance.",Internal Resistance,Medium,Physics,Current Electricity
"A wire has a resistance of 8 ohms. If it is stretched to twice its length, what is its new resistance?",16 ohm,32 ohm,8 ohm,4 ohm,B,"When a wire is stretched to twice its length, its resistance becomes four times, so R_new = 8 * 4 = 32 ohm. Option A is incorrect because it doesn't account for the change in cross-sectional area.",Resistance and Resistivity,Hard,Physics,Current Electricity
A 5V battery is connected to a circuit with a current of 2A. What is the power delivered by the battery?,2.5 W,10 W,5 W,20 W,B,"Using the formula P = VI, we get P = 5 * 2 = 10 W. Option A is incorrect because it miscalculates the power.",Electrical Power,Easy,Physics,Current Electricity
A 100 W bulb is used for 5 hours. How much energy does it consume in kWh?,0.1 kWh,0.5 kWh,1 kWh,2 kWh,B,Energy consumed = Power * Time = 100 W * 5 h = 500 Wh = 0.5 kWh. Option A is incorrect because it underestimates the energy consumption.,Electrical Energy,Medium,Physics,Current Electricity
"The resistivity of a material is 1.7 x 10^-8 ohm-m. If a wire of this material has a length of 1 m and a cross-sectional area of 0.01 m^2, what is its resistance?",1.7 x 10^-6 ohm,1.7 x 10^-8 ohm,1.7 x 10^-10 ohm,1.7 x 10^-12 ohm,A,"Using the formula R = ρL/A, we get R = (1.7 x 10^-8) * 1 / 0.01 = 1.7 x 10^-6 ohm. Option B is incorrect because it doesn't apply the formula correctly.",Resistivity,Medium,Physics,Current Electricity
