Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,“Mintaka Pass” is located on the boundary line of:,Pakistan & India,Pakistan & China,India & Bangladesh,China & India,B
2,Pakistan has given transit trade facilities to which neighboring country?,Iran,Oman,Nepal,Afghanistan,D
3,Haleji Lake is situated in ________.,Punjab,Sindh,Khyber Pakhtunkhwa,Baluchistan,B
5,The largest among the following is:,The Earth,The Sun,A Solar System,A Galaxy,D
6,Batura is the second-largest glacier in Pakistan with a length of:,57 km,67 km,68.5 km,69 km,A
8,Which of the following countries is situated on the Equator?,Maldives,Gabon,Indonesia,All of these,D
9,The largest ocean in the world is the:,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,B
11,Where is Seven Mile Beach located?,Maldives,Nicobar,Bali,Cayman Islands,D
12,Hanna Lake is situated near _______.,Peshawar,Quetta,Murree,Kaghan,B
14,The Don is a river of ______.,Turkey,Russia,UK,USA,B
15,The Indus River originates from ____.,India,China,Tibet,None of these,C
16,The land lying between the River Ravi and the River Chenab is called?,Bari Doab,Chaj Doab,Rachna Doab,Sindh Sagar Doab,C
17,The Khunjerab Pass connects Pakistan with:,Iran,Afghanistan,China,None of these,C
18,The Panama Canal connects which two oceans?,Mediterranean Sea and Red Sea,Pacific and Atlantic Oceans,South China Sea and Indian Ocean,None of these,B
19,Where do all the rivers of Punjab enter into the Indus?,Panjnad,Trimmu,Kot Mitthon,Kabir Wala,C
20,Which desert is located between the Indus and Chenab rivers?,Thar,Thal,Cholistan,Kharan,B
21,The largest lake in East Asia is:,Caspian Sea,Slave Lake,Qinghai Lake,Great Salt Lake,C
22,Which is the largest and deepest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Aectic Ocean,A
23,Bahauddin Zakariya University kahan hai?,Islamabad,Lahore,Multan,In mein se koi nahi,C
24,The Bolan Pass is in which range?,Toba Kakar Range,Sulaiman Range,Kirthar Range,None of these,A
25,Rann of Kutch is situated in:,North of Gilgit,South of Tharparkar,East of Turbat,South of Wana,B
26,What is the total length of the Hispar Glacier?,57 km,59 km,49 km,47 km,C
