Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The energy of the nth orbit of hydrogen atom is given by,E_n = -13.6 / n eV,E_n = -13.6 / n² eV,E_n = -13.6 n² eV,E_n = -13.6 n eV,B,"Using Bohr's model, energy is inversely proportional to n², hence E_n = -13.6 / n² eV.",NET,Conceptual,Medium,Physics,Atomic Spectra
The wavelength of the first line of Lyman series is,121.6 nm,102.6 nm,656.3 nm,434.1 nm,A,"Using Rydberg's formula, 1 / λ = R * (1 / 1² - 1 / 2²), we get λ = 121.6 nm.",NET,Conceptual,Medium,Physics,Atomic Spectra
The ratio of the wavelengths of the first members of Lyman and Balmer series is,1 : 4,1 : 5,5 : 27,27 : 5,C,"Using Rydberg's formula, we find λ_Lyman / λ_Balmer = (1 / 4 - 1 / 9) / (1 - 1 / 4) = 5 / 27.",NET,Conceptual,Medium,Physics,Atomic Spectra
The ionization energy of hydrogen atom is,13.6 eV,-13.6 eV,10.2 eV,-10.2 eV,A,"Ionization energy is the energy required to remove an electron, given by E = -E1 = 13.6 eV.",NET,Conceptual,Medium,Physics,Atomic Spectra
The energy of the photon emitted when an electron jumps from n = 3 to n = 2 is,1.89 eV,2.55 eV,3.4 eV,4.09 eV,A,"Using Bohr's model, ΔE = E3 - E2 = -1.51 - (-3.4) = 1.89 eV.",NET,Conceptual,Medium,Physics,Atomic Spectra
The radius of the nth orbit of hydrogen atom is proportional to,n,n²,1 / n,1 / n²,B,"Using Bohr's model, r_n ∝ n², hence radius is proportional to n².",NET,Conceptual,Medium,Physics,Atomic Spectra
The frequency of the photon emitted when an electron jumps from n = 4 to n = 3 is,3.2 x 10^14 Hz,4.1 x 10^14 Hz,1.6 x 10^14 Hz,2.1 x 10^14 Hz,C,"Using Bohr's model and Rydberg's formula, we can find the frequency.",NET,Conceptual,Medium,Physics,Atomic Spectra
The wavelength of the radiation emitted when an electron jumps from n = ∞ to n = 2 is,364.6 nm,410.2 nm,434.1 nm,656.3 nm,A,"Using Rydberg's formula, 1 / λ = R * (1 / 2² - 1 / ∞²), we get λ = 364.6 nm.",NET,Conceptual,Medium,Physics,Atomic Spectra
The minimum energy required to excite a hydrogen atom from its ground state is,10.2 eV,12.09 eV,13.6 eV,12.75 eV,A,"Minimum energy required is to excite it to n = 2, hence ΔE = E2 - E1 = 10.2 eV.",NET,Conceptual,Medium,Physics,Atomic Spectra
The number of spectral lines emitted when an electron jumps from n = 4 to n = 1 is,4,6,8,10,B,"Using the formula for spectral lines, N = n(n-1)/2, for n = 4, N = 6.",NET,Conceptual,Medium,Physics,Atomic Spectra
