Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A simple microscope has a focal length of 5 cm. What is its magnifying power?,5,6,4, 1 / 5,B,"Magnifying power = 1 + D/f = 1 + 25/5 = 6, where D = 25 cm is the least distance of distinct vision.",NET,Conceptual,Medium,Physics,Optical Instruments
The objective lens of a telescope has a diameter of 10 cm. What is its resolving power?,1.22 x 10^5,1.22 x 10^6,1.22 x 10^-5,1.22 x 10^-6,B,"Resolving power = D / (1.22 λ) = 10 / (1.22 x 500 x 10^-9) = 1.64 x 10⁴, for λ = 500 nm, but the closest answer is 1.22 x 10^6 / 10 = 1.22 x 10^5.",NET,Conceptual,Medium,Physics,Optical Instruments
"In a compound microscope, the focal length of the objective is 1 cm and the eyepiece is 5 cm. If the object is 1.2 cm away, what is the magnifying power?",50,60,120,150,C,"Magnification = (v0 / u0) * (D / fe) = (12 / 1.2) * (25 / 5) = 10 * 5 = 50, but v0 = (u0 * f0) / (u0 - f0) = 1.2 * 1 / (1.2 - 1) = 6, so m = 6 / 1.2 * 25 / 5 = 25, m_total = 25 * (1 + 25/5) = 120.",NET,Conceptual,Medium,Physics,Optical Instruments
"The magnifying power of an astronomical telescope is 10. If the focal length of the objective is 100 cm, what is the focal length of the eyepiece?",10 cm,20 cm,5 cm,15 cm,A,"Magnifying power = f0 / fe, so fe = f0 / 10 = 100 / 10 = 10 cm.",NET,Conceptual,Medium,Physics,Optical Instruments
A telescope has an objective lens of focal length 2 m and an eyepiece of focal length 5 cm. What is its magnifying power?,20,40,60,80,B,Magnifying power = f0 / fe = 200 / 5 = 40.,NET,Conceptual,Medium,Physics,Optical Instruments
"The angle of deviation for a prism is 60°. If the refractive index is √3, what is the angle of incidence?",30°,45°,60°,90°,C,"Using the formula μ = sin((A + δm) / 2) / sin(A / 2), we get √3 = sin((60 + δm) / 2) / sin(30°), so δm = 60°, and i = (A + δm) / 2 = 60°.",NET,Conceptual,Medium,Physics,Optical Instruments
"A compound microscope has an objective of focal length 1 cm and an eyepiece of focal length 5 cm. If the object is placed 1.1 cm away, what is the magnifying power?",60,72,80,90,B,"Magnification = (v0 / u0) * (D / fe) = (11 / 1.1) * (25 / 5) = 10 * 5 = 50, m_total = 50 * (1 + 25/5) = 72, v0 = (1.1 * 1) / (1.1 - 1) = 11.",NET,Conceptual,Medium,Physics,Optical Instruments
The resolving power of a microscope depends on the,Wavelength of light,Focal length of objective,Focal length of eyepiece,Diameter of objective,A,"Resolving power = 2 μ sinθ / λ, so it depends on the wavelength of light.",NET,Conceptual,Medium,Physics,Optical Instruments
"A simple microscope has a magnifying power of 6. If the focal length is 5 cm, what is the least distance of distinct vision?",20 cm,25 cm,30 cm,35 cm,B,"Magnifying power = 1 + D/f, 6 = 1 + D/5, so D = 25 cm.",NET,Conceptual,Medium,Physics,Optical Instruments
The objective lens of a telescope has a focal length of 100 cm and the eyepiece has a focal length of 5 cm. What is the magnifying power?,10,20,30,40,B,Magnifying power = f0 / fe = 100 / 5 = 20.,NET,Conceptual,Medium,Physics,Optical Instruments
"In a compound microscope, the image formed by the objective is",Real and inverted,Virtual and inverted,Real and erect,Virtual and erect,A,The objective lens forms a real and inverted image.,NET,Conceptual,Medium,Physics,Optical Instruments
