Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the condition for constructive interference in Young's double slit experiment?,Path difference = nλ,Path difference = (n + 1/2)λ,Path difference = nλ/2,Path difference = (2n + 1)λ/2,A,"Constructive interference occurs when path difference is integral multiple of wavelength, given by nλ.",NET,Conceptual,Medium,Physics,Physical Optics
"In a single slit diffraction, the central maxima has a width of 2.4 cm on a screen 1 m away. If λ = 600 nm, what is the slit width?",0.05 mm,0.1 mm,0.5 mm,1 mm,A,"Width of central maxima = 2λD/a, so a = 2λD/width = 2 * 600 * 10^(-9) * 1 / (2.4 * 10^(-2)) = 0.05 mm.",NET,Conceptual,Medium,Physics,Physical Optics
"A light wave is incident on a glass-air surface at an angle of 60°. If refractive index of glass is √3, what is the angle of refraction?",30°,45°,60°,90°,D,"Using Snell's law, n1 sin(θ1) = n2 sin(θ2), we get √3 sin(60°) = 1 sin(θ2), so θ2 = 90°.",NET,Conceptual,Medium,Physics,Physical Optics
The resolving power of a telescope is given by,λ/D,D/λ,1.22λ/D,D/1.22λ,D,"Resolving power = 1/θ = D / (1.22λ), where θ is the minimum angle of resolution.",NET,Conceptual,Medium,Physics,Physical Optics
"In a Young's double slit experiment, the intensity at the central maxima is I0. What is the intensity at a point where path difference is λ/4?",I0/2,I0/√2,I0/4,I0,A,"Phase difference = 2π/λ * λ/4 = π/2, so intensity = I0 cos²(π/4) = I0/2.",NET,Conceptual,Medium,Physics,Physical Optics
A plane wavefront is incident on a convex lens. What is the shape of the wavefront after refraction?,Plane,Spherical converging,Spherical diverging,Cylindrical,B,"Convex lens converges the plane wavefront to a point, making it spherical converging.",NET,Conceptual,Medium,Physics,Physical Optics
The critical angle for a glass-air surface is sin^(-1)(2/3). What is the refractive index of the glass?, 3/2, 2/3,1.5,1.2,A,"sin(C) = 1/n, so n = 1/sin(C) = 3/2.",NET,Conceptual,Medium,Physics,Physical Optics
"In a single slit diffraction, the angle of diffraction for the second minima is 30°. If λ = 600 nm, what is the slit width?",1.2 μm,2.4 μm,0.6 μm,0.3 μm,B,"a sin(θ) = nλ, so a = 2 * 600 * 10^(-9) / sin(30°) = 2.4 μm.",NET,Conceptual,Medium,Physics,Physical Optics
"A beam of light is incident on a polarizer. If the intensity of the transmitted light is half of the incident light, what is the angle between the polarizer and the direction of polarization?",0°,30°,45°,60°,C,"Malus' law: I = I0 cos²(θ), so cos²(θ) = 1/2, giving θ = 45°.",NET,Conceptual,Medium,Physics,Physical Optics
"The distance between the slits in a Young's double slit experiment is 0.1 mm. If λ = 600 nm, what is the fringe width on a screen 1 m away?",6 mm,3 mm,1 mm,0.6 mm,A,Fringe width = λD/d = 600 * 10^(-9) * 1 / (0.1 * 10^(-3)) = 6 mm.,NET,Conceptual,Medium,Physics,Physical Optics
A light wave is incident on a glass-air surface at an angle of incidence greater than the critical angle. What happens to the light?,Total internal reflection,Refraction,Reflection,Diffraction,A,"When angle of incidence exceeds critical angle, total internal reflection occurs.",NET,Conceptual,Medium,Physics,Physical Optics
"In a Young's double slit experiment, the slits are 0.5 mm apart. If λ = 500 nm, what is the distance to the screen if the fringe width is 1 mm?",0.5 m,1 m,1.5 m,2 m,B,"Fringe width = λD/d, so D = fringe width * d / λ = 1 * 10^(-3) * 0.5 * 10^(-3) / (500 * 10^(-9)) = 1 m.",NET,Conceptual,Medium,Physics,Physical Optics
A beam of unpolarized light is incident on a polarizer. What is the intensity of the transmitted light?,I0/2,I0,I0/√2,0,A,"Intensity of transmitted light = I0/2, as polarizer allows only one component of electric field.",NET,Conceptual,Medium,Physics,Physical Optics
