Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A 5 kg block accelerates at 3 m/s² when a force is applied. What is the magnitude of the force?,15 N,3 N,5 N,8 N,A,F = ma = 5 kg × 3 m/s² = 15 N. Option B confuses force with acceleration.,Newton's Second Law,Easy,Physics,Force and Motion
Which force opposes the relative motion of two surfaces in contact?,Gravitational force,Frictional force,Normal force,Tension force,B,Friction opposes relative motion. Gravitational force acts downward (option A).,Types of Forces,Easy,Physics,Force and Motion
A car accelerates from rest. What is the direction of the net force on the car?,Opposite to the car's motion,Same as the car's velocity,Same as the car's acceleration,Perpendicular to the car's motion,C,Net force direction equals acceleration direction (Newton’s Second Law). Option B confuses velocity with acceleration.,Newton's Second Law,Medium,Physics,Force and Motion
Which quantity remains constant during projectile motion?,Vertical velocity,Horizontal velocity,Kinetic energy,Acceleration,B,Horizontal velocity is constant (no air resistance). Acceleration is downward (option D is incorrect).,Projectile Motion,Medium,Physics,Force and Motion
What is the SI unit of impulse?,Newton-second,Joule,Watt,Pascal,A,"Impulse = F×t, measured in N·s. Joule (B) is energy’s unit.",Impulse and Momentum,Easy,Physics,Force and Motion
A 2 kg object moving at 4 m/s collides and sticks to a 3 kg object at rest. What is their combined velocity?,1.6 m/s,2.0 m/s,4.0 m/s,3.0 m/s,A,Conservation of momentum: (2×4) = (5)v → v=1.6 m/s. Option B ignores the combined mass.,Conservation of Momentum,Medium,Physics,Force and Motion
Which factor does NOT affect the maximum speed of a car on a banked road?,Radius of curvature,Angle of banking,Mass of the car,Friction coefficient,C,Mass cancels in equations for banked curves. Option D affects friction-dependent scenarios.,Circular Motion,Hard,Physics,Force and Motion
What is the acceleration of an object in uniform circular motion?,Zero,"Constant magnitude, changing direction",Constant in direction,Dependent on tangential velocity,B,Centripetal acceleration changes direction but magnitude is constant. Option A ignores acceleration.,Circular Motion,Medium,Physics,Force and Motion
A force of 10 N acts on a 5 kg object for 2 seconds. What is the change in momentum?,20 kg·m/s,5 kg·m/s,10 kg·m/s,2 kg·m/s,A,Impulse = F×t = 10 N × 2 s = 20 kg·m/s. Option C ignores time duration.,Impulse and Momentum,Easy,Physics,Force and Motion
A ball is thrown vertically upward. What is its acceleration at the highest point?,0 m/s²,9.8 m/s² downward,9.8 m/s² upward,Depends on initial velocity,B,Gravity always acts downward at 9.8 m/s². Option A ignores gravity.,Projectile Motion,Medium,Physics,Force and Motion
Which law explains why a passenger leans outward in a turning car?,Newton’s First Law,Newton’s Second Law,Newton’s Third Law,Law of Conservation of Momentum,A,Inertia (First Law) causes the lean. Option C refers to action-reaction pairs.,Newton's Laws,Medium,Physics,Force and Motion
What is the work done by the centripetal force in circular motion?,Zero,Equal to kinetic energy,Equal to potential energy,Dependent on radius,A,Centripetal force is perpendicular to motion (no work done). Option B confuses energy types.,Work and Energy,Medium,Physics,Force and Motion
