Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The reaction of methane with chlorine in the presence of sunlight is an example of which type of reaction?,Substitution reaction,Addition reaction,Elimination reaction,Polymerization reaction,A,"Methane reacts with chlorine through a substitution reaction, replacing H with Cl. Addition is incorrect as it involves unsaturated compounds.",Alkanes: Chemical Properties,Easy,Chemistry,Hydrocarbons
Which alkene will produce 2-butanol upon hydration?,1-Butene,2-Butene,Isobutene,1-Pentene,B,"2-Butene upon hydration gives 2-butanol. 1-Butene gives 2-butanol too, but it's not the only product.",Alkenes: Chemical Properties,Medium,Chemistry,Hydrocarbons
The general formula for alkynes is,CnH2n+2,CnH2n,CnH2n-2,CnHn,C,Alkynes have the general formula CnH2n-2 due to two hydrogen atoms being less than alkanes for each triple bond.,Alkynes: General Formula,Easy,Chemistry,Hydrocarbons
The major product of the reaction of 1-propene with HBr is,1-Bromopropane,2-Bromopropane,"1,2-Dibromopropane",Bromobenzene,B,"The reaction follows Markovnikov's rule, giving 2-bromopropane as the major product due to the more stable secondary carbocation.",Alkenes: Electrophilic Addition,Medium,Chemistry,Hydrocarbons
Catalytic hydrogenation of alkenes results in,Alkanes,Alkynes,Alkenes,Alcohols,A,"Catalytic hydrogenation adds hydrogen to alkenes, forming alkanes. It's a reduction reaction.",Alkenes: Reduction,Easy,Chemistry,Hydrocarbons
Benzene is an example of,Aromatic hydrocarbon,Aliphatic hydrocarbon,Saturated hydrocarbon,Unsaturated aliphatic hydrocarbon,A,"Benzene is aromatic due to its planar, ring-shaped molecule with delocalized electrons, following Hückel's rule.",Aromatic Hydrocarbons,Easy,Chemistry,Hydrocarbons
The process of converting alkanes into alkyl halides by reaction with halogens in the presence of light is called,Halogenation,Hydrogenation,Dehydrogenation,Cracking,A,Halogenation involves the substitution of hydrogen atoms in alkanes with halogen atoms in the presence of light.,Alkanes: Halogenation,Easy,Chemistry,Hydrocarbons
"The reaction of an alkene with cold, dilute KMnO4 results in the formation of",Diol,Alcohol,Aldehyde,Carboxylic acid,A,"Cold, dilute KMnO4 oxidizes alkenes to diols. It's a syn addition, resulting in a vicinal diol.",Alkenes: Oxidation,Medium,Chemistry,Hydrocarbons
Which of the following alkanes has the highest boiling point?,Methane,Ethane,Propane,Butane,D,Boiling points of alkanes increase with molecular weight due to increased London dispersion forces.,Alkanes: Physical Properties,Medium,Chemistry,Hydrocarbons
The hybridization of carbon atoms in alkynes is,sp,sp2,sp3,dsp2,A,"Alkyne carbon atoms are sp hybridized, resulting in a linear geometry around the triple bond.",Alkynes: Structure,Easy,Chemistry,Hydrocarbons
The reaction of 1-butyne with 2 moles of HCl gives,"1,1-Dichlorobutane","2,2-Dichlorobutane","1,2-Dichlorobutane",2-Chlorobutane,B,"The addition follows Markovnikov's rule twice, resulting in 2,2-dichlorobutane.",Alkynes: Electrophilic Addition,Medium,Chemistry,Hydrocarbons
Aromatic compounds are characterized by,Presence of a triple bond,Presence of a benzene ring,High reactivity,Saturated structure,B,Aromatic compounds are typically characterized by the presence of a benzene ring or similar structure with delocalized electrons.,Aromatic Hydrocarbons: Characteristics,Easy,Chemistry,Hydrocarbons
The product of the reaction between benzene and nitric acid in the presence of sulfuric acid is,Nitrobenzene,Phenol,Benzaldehyde,Benzoic acid,A,Nitration of benzene gives nitrobenzene. The reaction is an electrophilic aromatic substitution.,Aromatic Hydrocarbons: Electrophilic Substitution,Medium,Chemistry,Hydrocarbons
Which of the following is a test for unsaturation?,Baeyer's test,Tollens' test,Fehling's test,Benedict's test,A,"Baeyer's test involves the reaction with cold, dilute KMnO4, decolorizing it if unsaturation is present.",Alkenes and Alkynes: Tests for Unsaturation,Easy,Chemistry,Hydrocarbons
The major product of the dehydrohalogenation of 2-bromobutane is,1-Butene,2-Butene,Isobutene,1-Pentene,B,"The reaction follows Saytzeff's rule, favoring the more substituted alkene, which is 2-butene.",Alkenes: Preparation,Medium,Chemistry,Hydrocarbons
The combustion of hydrocarbons produces,CO2 and H2O,CO and H2O,CO2 and H2,CO and H2,A,"Complete combustion of hydrocarbons yields CO2 and H2O, releasing energy.",Hydrocarbons: Combustion,Easy,Chemistry,Hydrocarbons
The reaction of ethyne with HgSO4/H2SO4 gives,Acetaldehyde,Ethanol,Acetone,Ethanoic acid,A,"The reaction involves the hydration of ethyne to form acetaldehyde, catalyzed by HgSO4 in acidic medium.",Alkynes: Hydration,Medium,Chemistry,Hydrocarbons
The process of breaking large hydrocarbon molecules into smaller ones is called,Cracking,Reforming,Isomerization,Alkylation,A,"Cracking involves breaking larger hydrocarbons into smaller, more useful hydrocarbons, often under thermal or catalytic conditions.",Industrial Processes: Cracking,Easy,Chemistry,Hydrocarbons
The addition of HBr to an unsymmetrical alkene in the presence of peroxide results in,Markovnikov product,Anti-Markovnikov product,Rearranged product,No reaction,B,"The presence of peroxide initiates a free-radical mechanism, resulting in the anti-Markovnikov addition of HBr.",Alkenes: Free-Radical Addition,Hard,Chemistry,Hydrocarbons
Benzene reacts with chlorine in the presence of AlCl3 to give,Chlorobenzene,Dichlorobenzene,Hexachlorobenzene,Benzene hexachloride,A,"The reaction is an electrophilic aromatic substitution, resulting in chlorobenzene. AlCl3 acts as a catalyst.",Aromatic Hydrocarbons: Halogenation,Medium,Chemistry,Hydrocarbons
A sample of 44.8 dm³ of ethane (C₂H₆) is completely burned in excess oxygen at STP. Calculate the volume of CO₂ produced.,22.4 dm³,44.8 dm³,67.2 dm³,89.6 dm³,C,"1 mole of C₂H₆ produces 2 moles of CO₂. At STP, 1 mole = 22.4 dm³. Distractor B ignores molar ratio.",Combustion Stoichiometry,Medium,Chemistry,Hydrocarbons
An unknown hydrocarbon with formula CₓHᵧ contains 82.76% carbon by mass. Calculate its empirical formula.,CH₂,C₂H₅,C₃H₈,C₄H₁₀,B,Carbon mass ratio: (12x)/(12x + y) = 0.8276. Solving gives x/y = 2/5. Distractor C miscalculates ratio.,Percentage Composition,Hard,Chemistry,Hydrocarbons
How many grams of O₂ are required to burn 11.2 g of propane (C₃H₈)?,24.0 g,32.0 g,40.0 g,48.0 g,D,Balanced equation: C₃H₈ + 5O₂ → 3CO₂ + 4H₂O. Molar mass ratio gives 48.0 g O₂. Distractor B uses wrong stoichiometry.,Combustion Stoichiometry,Medium,Chemistry,Hydrocarbons
"A hydrocarbon (C₃H₆) reacts with H₂ to form C₃H₈. If 2.24 dm³ of H₂ is consumed at STP, what mass of C₃H₆ reacted?",1.4 g,2.8 g,4.2 g,5.6 g,B,1:1 mole ratio between C₃H₆ and H₂. 0.1 mol H₂ = 0.1 mol C₃H₆ = 2.8 g. Distractor A halves molar mass.,Addition Reactions,Medium,Chemistry,Hydrocarbons
Calculate the molar mass of an alkene that produces 11.2 dm³ CO₂ (at STP) when 4.2 g is burned completely.,28 g/mol,42 g/mol,56 g/mol,70 g/mol,C,Moles of CO₂ = 0.5. Carbon atoms = 0.5. Molar mass = 4.2/0.35 = 12 g/mol × n. Distractor B ignores H₂O product.,Empirical Formula from Combustion,Hard,Chemistry,Hydrocarbons
What volume of CO₂ (at STP) is produced by burning 6.0 g of ethene (C₂H₄)?,3.0 dm³,6.0 dm³,9.0 dm³,12.0 dm³,C,1 mole C₂H₄ → 2 moles CO₂. 0.214 mol C₂H₄ → 0.428 mol CO₂ = 9.0 dm³. Distractor B divides by 2.,Combustion Stoichiometry,Medium,Chemistry,Hydrocarbons
A hydrocarbon sample (4.4 g) produces 13.2 g CO₂ and 5.4 g H₂O. Calculate its empirical formula.,CH₂,C₂H₄,C₃H₆,C₄H₁₀,B,Carbon: 13.2 g CO₂ → 3.6 g C. Hydrogen: 5.4 g H₂O → 0.6 g H. Ratio 3.6:0.6 = 6:1 → C₂H₄. Distractor A miscounts H.,Empirical Formula from Combustion,Hard,Chemistry,Hydrocarbons
What is the % composition of carbon in benzene (C₆H₆)?,50%,75%,92%,95%,C,(6×12)/(78) × 100 = 92%. Distractor B uses 6/7.5 ratio instead of mass.,Percentage Composition,Easy,Chemistry,Hydrocarbons
"25 cm³ of a hydrocarbon reacts with 125 cm³ O₂. After reaction, 75 cm³ CO₂ is produced. What is the hydrocarbon?",CH₄,C₂H₂,C₂H₄,C₃H₆,D,Volume ratio 1:5 O₂ to 3 CO₂. Balanced equation: 2C₃H₆ + 9O₂ → 6CO₂ + 6H₂O. Distractor C uses wrong CO₂ ratio.,Combustion Volume Ratios,Hard,Chemistry,Hydrocarbons
A 100 g sample of C₄H₁₀ is burned. How many moles of O₂ are consumed?,18.2 mol,25.0 mol,32.5 mol,40.0 mol,A,Molar mass C₄H₁₀ = 58 g/mol. 100/58 = 1.72 mol. Balanced equation uses 13/2 O₂ per mole. Distractor B uses 1 instead of 13/2.,Combustion Stoichiometry,Medium,Chemistry,Hydrocarbons
Calculate the mass of 11.2 dm³ of pentane (C₅H₁₂) vapor at STP.,17.2 g,34.4 g,51.6 g,68.8 g,B,"At STP, 22.4 dm³ = 72 g pentane. 11.2 dm³ = 36 g. Distractor A uses half molar mass.",Gas Volume to Mass,Medium,Chemistry,Hydrocarbons
A hydrocarbon with formula C₅H₁₂O produces 0.2 mol CO₂ and 0.3 mol H₂O per mole. What is its functional group?,Alcohol,Ether,Aldehyde,Ketone,A,Moles H₂O > CO₂ implies excess H for alcohols. Distractor B has H ratio for ethers.,Combustion Analysis,Hard,Chemistry,Hydrocarbons
What volume of H₂ (at STP) reacts with 2.8 g of 1-pentene (C₅H₁₀)?,0.56 dm³,1.12 dm³,2.24 dm³,4.48 dm³,B,1 mole C₅H₁₀ (70 g) reacts with 1 mole H₂ (22.4 dm³). 2.8 g = 0.04 mol → 0.896 dm³. Distractor A rounds incorrectly.,Addition Reactions,Medium,Chemistry,Hydrocarbons
