Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The nuclear force between two nucleons is a result of exchange of,Photons,Pions,Gluons,W and Z bosons,B,"Nuclear force is due to exchange of pions (π mesons) between nucleons, a concept introduced by Yukawa.",NET,Conceptual,Medium,Physics,Nuclear Physics
The binding energy per nucleon is maximum for,Uranium,Iron,Oxygen,Hydrogen,B,"Iron has the highest binding energy per nucleon, making it the most stable nucleus.",NET,Conceptual,Medium,Physics,Nuclear Physics
"In a nuclear reactor, the function of a moderator is to",Absorb neutrons,Slow down neutrons,Accelerate neutrons,Reflect neutrons,B,"Moderators slow down neutrons to increase the probability of fission, using materials like water or graphite.",NET,Conceptual,Medium,Physics,Nuclear Physics
"The half-life of a radioactive substance is 2 years. After 6 years, its activity will be", 1/8, 1/4, 1/2, 1/16,A,"After 3 half-lives (6 years), activity reduces to (1/2)³ = 1/8 of the original.",NET,Conceptual,Medium,Physics,Nuclear Physics
The mass defect in a nucleus is 0.1 u. The binding energy is,931 MeV,93.1 MeV,9.31 MeV,0.931 MeV,B,Binding energy = mass defect * 931 MeV/u = 0.1 u * 931 MeV/u = 93.1 MeV.,NET,Conceptual,Medium,Physics,Nuclear Physics
"The radius of a nucleus is given by R = R₀A^(1/3), where R₀ = 1.2 fm. The radius of ²⁷Al is",3.6 fm,3.0 fm,2.7 fm,4.2 fm,A,R = 1.2 * (27)^(1/3) = 1.2 * 3 = 3.6 fm.,NET,Conceptual,Medium,Physics,Nuclear Physics
The energy released in the fission of ²³⁵U is about,200 MeV,20 MeV,2 MeV,0.2 MeV,A,Fission of ²³⁵U releases approximately 200 MeV of energy per nucleus.,NET,Conceptual,Medium,Physics,Nuclear Physics
A nucleus undergoes alpha decay. The resulting nucleus has,"Z decreased by 2, A decreased by 4","Z increased by 2, A decreased by 4","Z decreased by 4, A decreased by 2","Z increased by 4, A increased by 2",A,"Alpha decay reduces Z by 2 and A by 4, as an alpha particle (²He) is emitted.",NET,Conceptual,Medium,Physics,Nuclear Physics
The activity of a radioactive sample is measured in,Becquerel,Curie,Rutherford,All of the above,D,"Activity is measured in Becquerel (Bq), Curie (Ci), or Rutherford (Rd), all units of radioactivity.",NET,Conceptual,Medium,Physics,Nuclear Physics
"In beta decay, a neutron is converted into a proton and",An electron and an antineutrino,A positron and a neutrino,An electron and a neutrino,A positron and an antineutrino,A,"Beta minus decay converts a neutron to a proton, an electron, and an antineutrino.",NET,Conceptual,Medium,Physics,Nuclear Physics
The Q-value of a nuclear reaction is a measure of,Energy released,Energy absorbed,Both energy released and absorbed,Reaction rate,C,Q-value indicates energy released (Q > 0) or absorbed (Q < 0) in a nuclear reaction.,NET,Conceptual,Medium,Physics,Nuclear Physics
The fusion reaction ²H + ²H → ³He + n releases,3.27 MeV,17.6 MeV,23.8 MeV,0.42 MeV,A,This fusion reaction releases 3.27 MeV of energy.,NET,Conceptual,Medium,Physics,Nuclear Physics
The decay constant of a radioactive substance is 0.1 /year. Its half-life is,6.93 years,0.693 years,69.3 years,693 years,A,Half-life = ln(2) / decay constant = 0.693 / 0.1 = 6.93 years.,NET,Conceptual,Medium,Physics,Nuclear Physics
A nucleus with an excess of neutrons is likely to decay by,Beta minus decay,Beta plus decay,Alpha decay,Gamma decay,A,"Excess neutrons lead to beta minus decay, converting a neutron to a proton.",NET,Conceptual,Medium,Physics,Nuclear Physics
The nuclear reaction ¹⁴N + ¹H → ¹⁵O is an example of,Nuclear fission,Nuclear fusion,Radiative capture,Spallation,C,"This reaction is an example of radiative capture, where a nucleus captures a nucleon.",NET,Conceptual,Medium,Physics,Nuclear Physics
The mass of a nucleus is less than the sum of its nucleons due to,Mass defect,Nuclear binding energy,Both mass defect and nuclear binding energy,Nuclear force,C,"Mass defect and binding energy are related; the mass defect is the difference in mass, and binding energy is the energy equivalent.",NET,Conceptual,Medium,Physics,Nuclear Physics
The energy spectrum of beta particles is,Discrete,Continuous,Line spectrum,Band spectrum,B,Beta decay results in a continuous energy spectrum due to the sharing of energy between the beta particle and antineutrino.,NET,Conceptual,Medium,Physics,Nuclear Physics
The control rods in a nuclear reactor are made of,Cadmium,Graphite,Uranium,Water,A,Cadmium is used in control rods due to its high neutron absorption cross-section.,NET,Conceptual,Medium,Physics,Nuclear Physics
The process of combining two light nuclei to form a heavier nucleus is called,Nuclear fission,Nuclear fusion,Radioactive decay,Nuclear reaction,B,"Nuclear fusion combines light nuclei to form a heavier nucleus, releasing energy.",NET,Conceptual,Medium,Physics,Nuclear Physics
The Geiger-Nuttall law relates the decay constant of a radioactive substance to its,Half-life,Range of alpha particles,Energy of alpha particles,Disintegration constant,C,The Geiger-Nuttall law relates the energy of alpha particles to the decay constant.,NET,Conceptual,Medium,Physics,Nuclear Physics
The binding energy per nucleon is maximum for the nucleus with mass number,56,208,12,238,A,"Binding energy per nucleon is maximum for iron (Fe-56), indicating highest stability. This is due to optimal nucleon arrangement.",ECAT,Conceptual,Medium,Physics,Nuclear Physics
"A nucleus of mass number 220 initially at rest emits an alpha particle. If Q value of reaction is 5.5 MeV, the kinetic energy of alpha particle is",5.4 MeV,5.6 MeV,5.38 MeV,5.42 MeV,C,"Using conservation of momentum and energy, kinetic energy of alpha is Q * (A-4)/A = 5.5 * 216/220 = 5.38 MeV.",ECAT,Conceptual,Medium,Physics,Nuclear Physics
