Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
2,The book revealed to Hazrat Daud (A.S.) was?,Zaboor,Taurat,Quran,Injeel,A
3,The Umayyad Dynasty was the first Muslim dynasty after the Caliphate. Who was the founder of the Umayyad Dynasty?,Amir Mu'awiyah (R.A.),Abd al-Malik,Yazid ibn Mu'awiyah,None of these,A
4,Who was the first female to embrace Islam?,Khadijah (RA),Fatimah (RA),Aisha (RA),Zaynab (RA),A
5,Who served as the guide for the Prophet (PBUH) and Abu Bakr (RA) during the Hijrah to Madinah?,Sa'd ibn Ubadah,Utbah ibn Usayd,Waraqah ibn Nawfal,Abdullah ibn Urayqit,D
6,The Treaty of Hudaybiyyah was for how many years?,5 years,10 years,15 years,20 years,B
7,Who was the first female market administrator appointed by Umar (RA)?,Hafsa bint Harun,Al-Shifa' bint Abdullah,Rabia bint Abdullah,None of these,B
8,Illat (the effective cause) is a fundamental component of which source of Islamic law?,Qiyas (Analogical Reasoning),Ijma (Consensus),Hadith,Sunnah,A
9,"Which companion was known for his extreme generosity in trade, famously donating a huge caravan for the poor?",Abd al-Rahman ibn Awf,Uthman ibn Affan,Talha ibn Ubaydullah,Zubayr ibn al-Awwam,A
10,"What is the real name of the Holy Prophet's (PBUH) uncle, Hazrat Abu Talib:",Abd-e-Manaf,Abdullah,Abd-e-Kaab,None of these,A
11,Ahad traditions are those that are:,Strong,Weak by definition,Narrated by a small number of people,Abrogated,C
12,Who is the angel who guards the gates of Hell?,Rizwan,Malik,Israel,None of these,B
13,"The ""Kitab al-Hayawan"" (Book of Animals) is a famous zoological encyclopedia written by:",Al-Biruni,Ibn Sina,Al-Jahiz,Ibn al-Baitar,C
14,How many Ahadith does Al-Muwatta contain?,1720,1920,2370,1820,A
15,On which date is the Wuquf-e-Arafat (Standing at Arafat) performed during Hajj?,On 9th Dhul-Hijjah,On 3rd Ramadan,On 2nd Safar,On 18th Shawwal,A
16,Who was the first commander of a Muslim army sent for an expedition?,Ali (RA),Hamza (RA),Umar (RA),Sa'd (RA),B
17,How many sacred months (Ashhur al-Hurum) are there in Islam?,4,6,7,2,A
18,How many Madni Surahs of the Holy Quran are there:,26,28,30,32,B
19,"According to Hadith, maintaining good relations with neighbors is a sign of what?",Sign of faith,Sign of beauty,Sign of wisdom,None of these,A
20,A person who denies a fundamental and well-known tenet of Islam is referred to as a:,Kafir (disbeliever),Fasiq (sinner),Munafiq (hypocrite),Murtad (apostate),A
21,The Shab-e-Miraj incident takes place on?,27 Rajab,17 Rajab,17 Ramazan,None of these,A
