Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Who is the first woman umpire to be elected to the Official ICC umpire's Panel?,Pam Postema,Kathy Cross,Doris Turner,Courtney Young,B
2,China’s President Xi Jinping has secured a historic _________ term as the Communist Party’s leader in October 2022?,Second,Third,Fourth,None of These,B
3,Which country recently joined the Eurozone?,Lithuania,Croatia,Senegal,None of these,A
4,Which nation has announced its intention of withdrawing itself from the Open Skies Treaty?,UK,Russia,Japan,None of these,B
5,Which of the following gases is used for refrigeration?,Chlorine,Ammonia,Phosphine,Carbon dioxide,B
6,Which country has recently voted to join the European Union’s Defence policy?,Vatican City,Switzerland,Denmark,None of These,C
7,Which two countries kept silent on the extraordinary secured vote managed by the US enabling the motion to pass due to which Pakistan was put on a watchlist by FATF?,"China, Turkey","Turkey, Saudi Arabia","China, Saudi Arabia",None of these,C
8,"A USA secretary of state said: ""It will respond quickly and appropriately if ____ government attacked with chemical weapons again.""",the Turkey,the Syria,the Russia,the Iran,B
9,Who is the winner of the women’s Italian open final 2022?,Lga swiatek,Maria sherapova,Sania Mirza,Serena Williams,A
10,Which country recently hosted the International Solar Alliance’s Fifth Assembly in October 2022?,Bangladesh,India,Nepal,Thailand,B
11,China has signed a 25-year Strategic Cooperation Pact with which country:,Pakistan,Iran,Sri Lanka,India,D
12,The current DG ISPR is:,Asif Ghafoor,Asim Saleem,Babar Iftikhar,None of these,C
13,Motor-vehicle token tax was imposed by ___________.,Provincial Excise Department,FBR,Customs Authorities,Income Tax Department,A
14,How many votes did Pakistan require to exit the Grey List of the FATF?,10,11,12,None of these,D
15,"Which country’s astronauts set up a new lab in space on July 26, 2022?",USA,china,Russia,France,B
17,Who became the first Pakistani Wicket Keeper and the 9th in the world to score a World Cup century?,Kamran Akmal,Sarfraz Ahmed,Umar Akmal,Adnan Akmal,B
18,What is the theme of the ‘World Food Safety Day 2022’?,Prevent Food-borne risks,"Safer Food, Better Health",Manage Food-borne Infections,Safe Food to Children,B
20,Who is the newly appointed ombudsperson on harassment of women? (Updated-2019),Kashmala Tariq,Hajara Farooqi,Marvi Memon,None of these,A
21,Our galaxy is known as ___________.,Solar System,Milky Way,Ursa Minor,Water ways,B
23,Giorgia Meloni was elected as the first female Prime Minister of __________?,South Africa,Italy,Tunisia,Argentina,B
24,North Korea cut off its hotlines with which nation in June 2020:,South Korea,US,Japan,China,A
26,"The newly elected Prime Minister of the United Kingdom, Rishi Sunak, belongs to _______ origin?",Indian,Pakistani,Sri Lankan,None of these,A
27,"In which country were public cinemas opened after more than 35 years, after a resolution was passed on December 11, 2017?",Saudi Arabia,Yemen,Syria,Iran,A
29,The first FIFA’s semi-final was played between Argentina and Croatia. Argentina defeated Croatia in the first semi-final by ________ goals.,2,1,4,3,D
30,"After the Ukraine crisis, which of the following countries submitted applications to join NATO?",Finland,Sweden,Belarus,Both A & B,D
32,"Who is the first Black person ever to lead a US congressional caucus, succeeding Nancy Pelosi as the Democrats' leader in The House of Representatives?",Jerrold Nadler,Queen Johnson,Hakeem Jeffries,Yvette Clarke,C
33,"Who was appointed as the new Test team Captain of Pakistan on July 5, 2017?",Sarfraz Ahmad,Shoaib Malik,Rumman Raees,Azhar Ali,A
35,"Dr. Arif Alvi issued an ordinance, ""Protection of Parents Ordinance"", in:",on 07-May-2021,on 08-May-2021,on 09-May-2021,None of these,B
36,Who became the fastest batsman to score 9000 ODI Runs in October 2017?,David Miller,Virat Kohli,Fakhar Zaman,David Warner,B
38,Exercise KAKADU 2022 is being held at __________?,India,Vietnam,China,Australia,D
39,Justice Noor Muhammad Meskanzai is the Chief Justice of:,Federal Shariat Court,Punjab High Court,Sindh High Court,None of these,A
40,The theme of the Tokyo Olympics 2020 was:,United by Emotion,United by Peace,Moving Forward,None of these,A
41,The 800 MW Al Kharsaah Solar Power Plant belongs to which country?,Saudi Arabia,Yemen,Iraq,Qatar,D
42,Who was the founder of the Republican Party of the USA?,Alexander Hamilton,Franklin Roosevelt,George Washington,Abraham Lincoln,D
43,When did the Commonwealth Games 2022 start?,"on 20 April, 2022","on 4 May, 2022","on 28 July, 2022","on 1st August, 2022",C
44,When was the International Day of Rural Woman celebrated in 2017?,On 12 March,On 15 October,On 2 May,On 14 April,B
45,Hamas was founded by ___________.,Yasser Arafat,Ismail Haniye,Khalid Meshaal,Sheikh Ahmed Yassin,D
46,"On June 5, 2022, which country launched a spacecraft ‘Shenzhou 14’?",USA,China,Russia,India,B
48,COP 27 is going to be held in __________?,January 2023,on 1 December 2022,on 1 October 2022,on 1 November 2022,D
49,Which country's person became the world’s oldest to sail solo across the Pacific?,Maldives,Mongolia,China,Japan,D
51,Who has been awarded the Nobel Peace Prize 2022 in Physiology or medicine?,Dr. Svante Pääbo,David Julius,Adam Patapoutian,None of these,A
52,The President of the newly elected UN 75th General assembly was?,Joaha Nile,Eric Magolous,Volkan Bozkir,Nile Green,C
54,The Panama Papers whistleblower has been threatened by which country in retribution?,Russia,North Korea,Iran,None of These,A
55,The country traditionally known for its neutrality is ___________.,Sweden,Switzerland,France,China,B
56,"Which member of the European Union adopted the Euro Currency on January 1, 2023?",Spain,Greece,Croatia,None of these,C
