Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The type of bond between two atoms of the same element is,ionic,covalent,coordinate,hydrogen,B,"Atoms of the same element have the same electronegativity, resulting in a covalent bond due to equal sharing of electrons.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
Which molecule has a linear shape?,CO2,H2O,NH3,CH4,A,"CO2 has a linear shape due to sp hybridization, resulting in a bond angle of 180 degrees.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond order of O2 is,1,2,1.5,2.5,B,Bond order = (number of bonding electrons - number of antibonding electrons) / 2 = (8 - 4) / 2 = 2.,NET,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of carbon in CH4 is,sp,sp2,sp3,dsp2,C,"CH4 has a tetrahedral geometry, resulting from sp3 hybridization of the carbon atom.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The type of hybridization in SF6 is,sp3d,sp3d2,d2sp3,sp3,B,"SF6 has an octahedral geometry, resulting from sp3d2 hybridization of the sulfur atom.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the highest dipole moment is,CO2,H2O,NH3,CH4,B,"H2O has a bent shape, resulting in a net dipole moment due to the difference in electronegativity between oxygen and hydrogen.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond angle in H2O is,104.5,107,109.5,120,A,"H2O has a bent shape, resulting in a bond angle of 104.5 degrees due to the presence of two lone pairs on oxygen.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The number of sigma bonds in ethene is,4,5,6,7,B,Ethene has 5 sigma bonds: 4 C-H bonds and 1 C-C bond.,NET,Conceptual,Medium,Chemistry,Chemical Bonding
The number of pi bonds in ethyne is,1,2,3,4,B,Ethyne has 2 pi bonds: resulting from the two unhybridized p orbitals on each carbon atom.,NET,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the weakest bond is,F2,Cl2,Br2,I2,D,"I2 has the weakest bond due to the large size of iodine atoms, resulting in a longer and weaker bond.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond length in O2 is,1.21 A,1.43 A,1.54 A,1.78 A,A,O2 has a bond length of 1.21 A due to its bond order of 2.,NET,Conceptual,Medium,Chemistry,Chemical Bonding
The type of bonding in NaCl is,covalent,ionic,coordinate,hydrogen,B,"NaCl is formed by the transfer of an electron from sodium to chlorine, resulting in an ionic bond.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the highest bond energy is,N2,O2,F2,Cl2,A,"N2 has a triple bond, resulting in the highest bond energy due to the strong bonding between nitrogen atoms.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of nitrogen in NH3 is,sp,sp2,sp3,dsp2,C,"NH3 has a trigonal pyramidal geometry, resulting from sp3 hybridization of the nitrogen atom.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond order of NO+ is,2,2.5,3,3.5,C,"NO+ has 8 bonding electrons and 2 antibonding electrons, resulting in a bond order of 3.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The type of bond between carbon and oxygen in CO2 is,single,double,triple,coordinate,B,"CO2 has double bonds between carbon and oxygen, resulting from sp hybridization of carbon.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the lowest dipole moment is,CO2,H2O,NH3,CH4,A,"CO2 is linear, resulting in a zero dipole moment due to the cancellation of individual bond dipoles.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The number of lone pairs on the central atom in XeF4 is,1,2,3,4,B,"XeF4 has 2 lone pairs on xenon, resulting in a square planar geometry.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond angle in NH3 is,107,109.5,120,104.5,A,"NH3 has a trigonal pyramidal geometry, resulting in a bond angle of 107 degrees due to the presence of one lone pair on nitrogen.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The type of hybridization in PCl5 is,sp3,sp3d,sp3d2,dsp3,B,"PCl5 has a trigonal bipyramidal geometry, resulting from sp3d hybridization of the phosphorus atom.",NET,Conceptual,Medium,Chemistry,Chemical Bonding
The bond order of O2 molecule is,1,2,1.5,2.5,B,Bond order = (number of bonding electrons - number of antibonding electrons) / 2 = (8 - 4) / 2 = 2,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
Which of the following has the highest bond angle?,NH3,H2O,CO2,CH4,C,"CO2 has a linear geometry, hence the highest bond angle of 180 degrees",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of carbon in ethene is,sp,sp²,sp³,dsp²,B,"Ethene has a planar, trigonal geometry around each carbon, indicating sp² hybridization",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The number of sigma bonds in the molecule C2H4 is,4,5,6,7,B,C2H4 has 5 sigma bonds: 1 C-C and 4 C-H bonds,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The bond length of a molecule is inversely proportional to,Bond order,Bond energy,Electronegativity,Atomic size,A,Higher bond order results in shorter bond length due to increased attraction between atoms,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The shape of the molecule SF4 is,Tetrahedral,Trigonal bipyramidal,See-saw,Octahedral,C,"SF4 has 5 regions of electron density, with one lone pair, resulting in a see-saw geometry",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The type of hybridization in the molecule BF3 is,sp,sp²,sp³,dsp²,B,"BF3 has a trigonal planar geometry, indicating sp² hybridization",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The number of pi bonds in the molecule C2H2 is,1,2,3,4,B,"C2H2 has 2 pi bonds: 2 bonds between the two C atoms, with one being a sigma bond and the other two being pi bonds",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the largest bond angle is,CH4,NH3,H2O,CO2,D,"CO2 is linear, hence has the largest bond angle of 180 degrees",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of nitrogen in ammonia is,sp,sp²,sp³,dsp²,C,"Ammonia has a tetrahedral electron geometry around N, indicating sp³ hybridization",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The bond order of N2 molecule is,2,3,1.5,2.5,B,Bond order = (number of bonding electrons - number of antibonding electrons) / 2 = (8 - 2) / 2 = 3,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule that has a zero dipole moment is,CO2,H2O,NH3,CH3Cl,A,"CO2 is linear and symmetrical, resulting in a zero dipole moment",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The shape of the molecule ClF3 is,T-shaped,Trigonal bipyramidal,See-saw,Tetrahedral,A,"ClF3 has 5 regions of electron density, with 2 lone pairs, resulting in a T-shaped geometry",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The type of hybridization in the molecule PCl5 is,sp³,dsp³,sp³d,d²sp³,C,"PCl5 has a trigonal bipyramidal geometry, indicating sp³d hybridization",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The bond angle in the molecule H2O is,104.5,109.5,120,180,A,"H2O has a bent geometry due to 2 lone pairs on O, resulting in a bond angle of 104.5 degrees",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The number of sigma bonds in the molecule C6H6 is,12,13,14,15,A,C6H6 has 12 sigma bonds: 6 C-C and 6 C-H bonds,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of sulfur in SF6 is,sp³,dsp³,sp³d²,d²sp³,C,"SF6 has an octahedral geometry, indicating sp³d² hybridization",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The molecule with the shortest C-C bond length is,C2H6,C2H4,C2H2,C6H6,C,"C2H2 has a C≡C triple bond, resulting in the shortest C-C bond length",ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
The bond order of the superoxide ion (O2-) is,1,1.5,2,2.5,B,Bond order = (number of bonding electrons - number of antibonding electrons) / 2 = (8 - 5) / 2 = 1.5,ECAT,Conceptual,Medium,Chemistry,Chemical Bonding
Which of the following molecules has the highest bond order?,O2,O2+,O2-,O22-,B,"Bond order = (number of bonding electrons - number of antibonding electrons) / 2. O2+ has 8 bonding and 3 antibonding electrons, giving it a bond order of 2.5.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Bonding
The hybridization of the central atom in SF4 is,sp3,sp3d,sp3d2,d2sp3,B,"SF4 has 4 bonding pairs and 1 lone pair, requiring 5 hybrid orbitals, hence sp3d hybridization.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Bonding
The type of hybridization in the molecule XeF2 is,sp3,sp3d,sp3d2,d2sp3,B,"XeF2 has 2 bonding pairs and 3 lone pairs, requiring 5 hybrid orbitals, hence sp3d hybridization.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Bonding
"The bond length of O2, O2+, and O2- follows the order",O2+ > O2 > O2-,O2- > O2 > O2+,O2- > O2+ > O2,O2+ < O2 < O2-,D,"Higher bond order corresponds to shorter bond length. O2+ has the highest bond order, followed by O2, then O2-.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Bonding
The number of sigma and pi bonds in the molecule C2H2 are,"3 sigma, 2 pi","2 sigma, 3 pi","3 sigma, 0 pi","2 sigma, 2 pi",A,"C2H2 has 2 C-H sigma bonds and 1 C-C sigma bond, and 2 C-C pi bonds, totaling 3 sigma and 2 pi bonds.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Chemical Bonding
