Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,The dates on which day and night are equal are:,21st March and 24th December,14th January and 23rd September,21st March and 23rd September,14th January and 22nd June,C
2,Ankara is the capital of:,Greece,Egypt,Cyprus,Turkiye,A
3,The strength of wave action depends on all these except:,Intensity of wind,Depth of Sea Water,Strength of wind,Currents in the Sea,D
4,The Karakoram Highway (N-35) starts from:,Haripur,Hasan Abdal,Wah Cantt,Taxila,D
5,What is a gutter margin in MS Word?,Margin that is added to the left margin when printing,Margin that is added to the right margin when printing,Margin that is added to the binding side of the page when printing,Margin that is added to the outside of the page when printing,C
6,Ctrl+Space is commonly used to open,Format menu,Start menu,Taskbar,None of these,D
7,Which one is an Operating System?,Harvard Graphics,Windows 2000,MS-Office,C++,B
8,"Suppose there is text in a document that is Bold, Red in color with Green background; if we want to apply all of these formattings to another paragraph in one go, which option will we use:",Format Button,Format Menu,Format Painter,Format Macro,C
9,Essential business letter elements include the:,Date line and inside address,Message,Signature block,All of the above,D
10,"If the page size increases, the internal fragmentation:",Increases,Decreases,Remains constant,None of these,A
11,Which of the following shortcut key is used to close the program?,Crt+F3,F4,Shift+F4,Alt+F4,D
12,Microsoft Office Inter-Connect is:,An application that supports editing scanned documents,A scanning and OCR application,Business-relationship database,None of these,C
13,Which of the following shortcut keys is used to align the selected text to the left in MS Word?,Ctrl + C,Ctrl + R,Ctrl + L,Alt + L,C
14,Sorting can be done by:,Alphabetically only,Numerically only,Date and Time,All of these,D
15,Which device of computer operation dispenses with the use of the keyboard?,Joystick,Light pen,Mouse,Touch,C
16,Where can you change the Vertical Alignment in a Word Document?,Formatting toolbar,Paragraph dialog box,Page Setup dialog box,Standard toolbar,C
17,Which of these refers to the PowerPoint view used for displaying only the text (title and bullets)?,Slide Sorter view,Slide view,Outline view,Notes page view,C
18,"A repository for data, usually covering a specific topic, is:",Data governance,Data Integration,Data Analysis,Data Mart / Data Warehouse,D
19,A handheld computer is also called a:,Palmtop computer,Laptop computer,Notebook computer,None of these,A
20,What is the shortcut key to display field codes?,Alt + F9,Ctrl + F9,Shift + F9,Space + F9,A
21,The shortcut to add a new slide in PowerPoint is:,Ctrl+M,Ctrl+P,Ctrl+F,Ctrl+H,A
22,The extension of Notepad is:,.xls,.txt,.cdr,None of these,B
23,"For spreadsheets, which software is used?",MS Word,MS Excel,MS PowerPoint,MS Access,B
24,Ctrl+A is used to select ____ text.,Whole,Part of text or highlighted text,Numerical,None of these,A
25,The operating system is the most common type of ______ software.,Communication,Application,System,None of these,C
26,"How much data can a single layer, single-sided DVD store?",4.7 GB,14.7 GB,24.7 GB,34.7 GB,A
27,The chief component of the first-generation computer was:,Transistors,Vacuum Tubes and Valves,Integrated Circuits,None of the above,B
28,Beginning a paragraph with a large dropped initial capital letter is called:,Title case,Drop cap,All caps,None of these,B
29,"To center the selected text, the shortcut key is:",Ctrl+ C,Ctrl+ E,Ctrl+ O,Ctrl+ U,B
30,The Word Count command on the Tools menu displays the number of words as well as the number of all of the above in the current document.,Lines,Characters,Paragraph,All of the above,D
31,"In Excel, the graph that is shaped like a pie and is used to analyze the data is called:",Scatter Chart,Bar Chart,Chart,Line Chart,C
32,From which of the following can the User Account be changed?,Settings,Control Panel,System Restore,Computer Name,B
33,"To create Web Pages we use a term, called:",TCP/IP,WWW,HTML,FTP,C
34,"AND, OR, XOR, NOT, NAND, NOR are which type of gate?",Logic gate,Swing gate,Program gate,Automatic gate,A
35,"What is the shortcut key for ""Clear All Formatting"" of the selected text?",CTRL+Spacebar,CTRL+Delete,CTRL+Enter,Shift+F3,A
36,PROM chips are programmed by plugging them into a:,Chip Kit,ROM burner,PROM Programmer,PROM Reader,C
37,The operating system is like a:,Government,Police,Parliament,All of above,A
38,Which of these is the page setup orientation by default of the slides in PowerPoint?,Landscape,Portrait,Vertical,None of the above,A
39,MS-Word automatically moves the text to the next line when it reaches the right edge of the screen and is called:,Carriage Return,Enter,Word wrap,None of these,C
40,Ctrl + P Shortcut key is used in Ms Word to:,Open Paragraph Dialog Box,Open Page Format Dialog Box,Open Save Dialog Box,Open Print Dialog box,D
41,"To get to the 'Symbol' dialog box, click on the Insert menu and choose 'Symbol'.",Insert,Format,Tool,Table,A
42,Which of the following is not part of a standard office suite?,Database,File manager,Image Editor,Word Processor,B
43,Which key on the keyboard can be used to view a slide show?,F1,F2,F5,F10,C
44,"In MS Word 2007, to select a column of the table from bottom to top, press:",SHIFT + ALT + PAGE UP,ALT + PAGE UP,CTRL + PAGE UP,CTRL + ALT + PAGE UP,A
45,What is meant by a dedicated computer?,Which is used by one person only,Which is assigned one and only one task,Which uses one kind of software,Which is meant for application software,B
46,The ______ option is used to show a specific row or column on every printed page.,Print Titles,Page Layout,Print Preview,None of these,A
47,SQL is a query language and has types:,Data definition language,Data manipulation language,Data control language,All of the above,D
48,How can we add a Chart to the presentation in MS PowerPoint?,Insert > Illustration > Chart,Design > Illustration > Chart,Insert > Macros > Chart,Layout > Object > Chart,A
49,"A network which is used for sharing data, software, and hardware among several users owning microcomputers is called:",WAN,MAN,LAN,VAN,C
50,CC stands for:,Cut Copy,Common Copy,Combined Copy,Carbon Copy,D
51,When you link data maintained in an Excel workbook to a Word document:,The Word document cannot be edited,The Word document contains a reference to the original source application,The Word document must contain a hyperlink,The Word document contains a copy of the actual data,B
52,The basic language of a computer consists of:,Opcode,Operand,Both A & B,None of these,C
53,In what respect are human beings superior to computers?,Diligence,Intelligence,Slavery,Reliability,B
54,Ctrl + M Shortcut is used in Microsoft Word to:,New Document,Close Document,Right Indent,Left Indent,D
55,Maximum zoom percentage in MS PowerPoint is:,200,400,600,800,B
56,"The main elements of the Word document window are the insertion point, end mark, mouse pointer, rulers, scroll bars, and status bar.",Word toolbar,Formatting toolbar,Word document window,Graphics toolbar,C
57,Which menu in MS Word can be used to change character size and typeface?,Views,Tool,Format,Data,C
58,"Fourth-generation mobile technology provides enhanced capabilities allowing the transfer of both voice and non-voice data, including full-motion video, high-speed internet access, and video conferencing.",Video data and information,Voice and non-voice,Music and video,Video and audio,B
59,A light pen is what type of device?,Output,Internal device,Input optical device,None of these,C
60,Which shortcut key is used for previewing the page before printing:,Ctrl+F2,Ctrl+F3,Ctrl+F9,Ctrl+F10,A
61,Which of the following computer languages is written in binary codes only?,Machine language,Assembly Language,High-Level Language,Low-Level Language,A
62,GPS stands for:,Grade Positioning System,Global Post System,Guarantee Positioning System,Global Positioning System,D
63,Which file starts MS Word?,Winword.exe,MSWord.exe,Word.exe,Word356.exe,A
64,"In MS Access, which data type is appropriate to store large text and numbers?",Text,Memo,OLE,None of these,B
65,"In the context of animations, what is a trigger in Microsoft PowerPoint?",An action button that advances to the next slide,An item on the slide that performs an action when clicked,The name of a motion path,All of above,B
66,A small or intelligent device is so-called because it contains within it a:,Computer,Microcomputer,Programmable,Sensor,D
67,Storage is also known as:,Secondary,Auxiliary,Mass,All of the Above,D
68,PowerPoint is called _______ software:,Presentation,Graphic,Word processing,Spreadsheet,A
69,.docx is a:,File extension,File name,File address,File path,A
70,Who invented the QWERTY keyboard?,Christopher Latham Sholes,George Orville,Isaac Newton,Kurt Keplan,A
71,A file which contains ready-made styles that can be used for a presentation is called?,Auto style,Wizard,Template,Pre formatting,C
72,Which of the following memories must be refreshed many times per second?,Static RAM,Dynamic RAM,EPROM,ROM,B
73,Ctrl + R Shortcut is used in Microsoft Word to:,Re-Open the last closed document,Re-Print the last printed page,Re-Apply the last paragraph formatting,Right-align the selected Paragraph,D
74,You can activate a cell by:,Pressing the tab key,Clicking the cell,Pressing an arrow key,All of these,D
75,Which shortcut key is used to open an existing file in MS Word?,Ctrl+N,Ctrl+O,Ctrl+R,Ctrl+1,B
76,What is the use of Document Map in Ms Word?,To quickly format the document,To quickly print the required page,To quickly navigate the document,To quickly correct spelling mistakes,C
77,What PowerPoint feature will you use to apply motion effects to different objects of a slide:,Animation Objects,Animation Scheme,Slide Transition,Slide Design,A
78,Why is it unethical to share copyrighted files with your friends?,"It is not unethical, because it is legal",It is unethical because the files are being given for free,Sharing copyrighted files without permission breaks copyright laws,It is not unethical because the files are being given for free,C
79,Which term is not used by intranet?,IP,HTTP,TCP,BSNL,D
80,"To connect to the internet, it is a must to have an:",Internet Service Provider,Internet connection and a Modem,All of these,None of these,A
81,A computer program is also known as:,Software,Process,Procedure,Compiler,A
82,The device used to carry digital data on analogue lines is called a:,Modem,Multiplexer,Modulator,Demodulator,A
83,How do you activate a cell in MS Excel?,Pressing the Tab key,Clicking the cell,Pressing an arrow key,All of the above,D
84,"In MS Word 2007, ____ is used to move directly to a specific location in a document.",Subdocuments,Bookmarks,Cross-references,Outlines,B
85,An abacus was the first:,Electronic computer,Mechanical computer,Electronic calculator,Mechanical calculator,D
86,"In Excel, which key is used to select the entire column?",Ctrl+Space,Shift+Space,Alt+Space,None of these,A
87,"After typing header text, how can you quickly enter footer text?",Click on Switch between Header & Footer then type the text,Press the PageDown key and type the text for the footer,Both of above,None of above,A
88,____ maintain(s) a database of webpages containing information on a variety of topics.,Newsgroup,Newsserver,Search Engines,World Wide Web,C
89,An Excel workbook is a collection of:,Workbooks,Worksheets,Charts,Worksheets and Charts,B
90,One Megabyte is equal to:,'1024 Bytes,'1024 Kilobytes,'1024 Gigabits,'1024 Bits,B
91,Background colour on a document is not visible in:,Web Preview,Print Preview,Reading Preview,Editing Preview,B
92,What is a Windows registry?,Windows register to store the clipboard,The Windows Registry is a hierarchical database that stores low-level settings for the OS,A Microsoft program to enable or disable a particular function,An application to edit the system configuration,D
93,Window key + Shift + M:,Minimize all applications,Utility Manager,Un-Minimize all applications,Show system properties,A
94,How do you create a new presentation in PowerPoint?,Ctrl + N,Ctrl + M,Ctrl+ S,None of these,A
95,"In the context of animations, what is a trigger in Powerpoint?",An action button that advances to the next slide,An item on the slide that performs an action when clicked,The name of a motion path,All of above,B
96,Which enables us to send the same letter to different persons?,Status bar,Mail merge,Menu bar,Title bar,B
97,Which key do you press while clicking to select more than one file or folder?,Ctrl,Shift,Alt,None of these,A
98,"To minimize all the windows on the desktop, the shortcut key is:",Windows+A,Windows+M,Windows+N,Windows+A,B
99,An analog signal is measured in?,Volts,Pulses,Hertz,Watts,A
100,A bit can be:,1 and 0,1 or 0,1 only,0 only,B
101,Which of the following is a valid cell address?,A5,5A,A5A,5-A,A
102,"Which of the following describes the size, weight, and spacing in MS Word documents?",Font,Colour,Alphabet,None of these,A
103,The most common type of storage devices are:,Magnetic storage,Flash memory,Optical,Both A and B,D
104,Servers are computers that provide resources to other computers connected to a:,Network,Mainframe,Supercomputer,Client,A
105,"In MS Excel 2016, mainly ________ types of 'Page Orientation' are available.",2,3,4,None of these,A
106,The shortcut to switch to the next worksheet tab in Excel is:,Ctrl + PgDn,Ctrl + PgUp,Ctrl + Home,Ctrl + End,A
107,Who is the father of the Internet?,Charles Babbage,Vint Cerf,Martin Cooper,Howard Aiken,B
108,Name the Desktop database application that is part of the MS Office suite.,MS WORD,MS EXCEL,MS POWERPOINT,MS ACCESS,D
109,The process of transferring files from the internet to your computer is called:,Downloading,Uploading,Forwarding,FTP,A
110,ANSI stands for:,American Nation Standard Instruction Codes,American National Standard Institute,Asian National Standard Instruction Codes,Asian Nations Standard Instruction Codes,B
111,Which of the following is not true of FORTRAN?,It was developed for scientific and mathematical applications,It is one of the oldest high-level languages,It is a problem-oriented language,It requires extensive internal documentation,D
112,LCD stands for:,Light Clear Display,Liquid Crystal Display,Light crystal display,None of these,B
113,Which shortcut key is used to insert an endnote in MS-Word 2016?,Ctrl+D,Alt+Shift+D,Alt+Ctrl+D,Shift+Ctrl+D,C
114,Hyperlinks are:,Pictures,Text,Drawing Objects,All of these,D
115,A wireless technology built in electronic gadgets used for exchanging data over short distances is?,Bluetooth,Wi-Fi,Modem,USB,A
116,Personal logs or journal entries posted on the web are known as:,Smart logs,Photo,Blogs,None of these,C
117,A screen element of MS Word that is usually located below the title bar that provides categorized options is:,Menu bar,Tool Bar,Status Bar,All of the above,A
